date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2023-09-01,3.857,3.862,CLOSE,149786.9228,13000,0.0,199992.9228,-3.538599999997061e-05,-7.077199999999721,64.99999999999861,0.0,0.0,0.2510388832619231,1.7195134205394424e-12,2023-08-31,False,0.250965,13000,13000,3.857,3.861,20.0772,52.00000000000004,50193.0,FILLED,200000.0,0,149786.9228,13000.0
2023-10-09,3.757,3.754,CLOSE,415.49811999997473,52700,0.0,198251.29811999996,-0.0023531965321222925,-467.6246800000372,-249.10000000000173,0.0,0.0,0.9979041846185114,-3.529976311256178e-11,2023-09-28,False,0.751715558896234,39700,39700,3.757,3.761,59.724680000000006,158.80000000000015,149311.7,FILLED,149786.9228,13000,415.49811999997473,52700.0
2023-11-01,3.68,3.642,CLOSE,42.0981199999747,52800,0.0,192339.69812,-0.0005954660463262096,-114.60000000000582,-109.20000000001187,0.0,0.0,0.9997811262032151,6.048495038157853e-12,2023-10-31,False,0.0018955346553209274,100,100,3.68,3.684,5.0,0.40000000000000036,368.40000000000003,FILLED,415.49811999997473,52700,42.0981199999747,52800.0
2024-02-01,3.2,3.218,CLOSE,172366.59859999997,0,0.0,172366.59859999997,-0.00828677995855831,-1440.2995200000005,-1161.5999999999892,0.0,0.0,0.0,-1.1056044968427159e-11,2024-01-31,False,0.9774306154732831,-52800,-52800,3.2,3.196,67.49952,211.2000000000002,168748.80000000002,FILLED,3685.298119999975,52800,172366.59859999997,0.0
2024-08-01,3.502,3.483,CLOSE,503.88099999996484,49000,0.0,171170.88099999996,-0.006937060948651874,-1195.7176000000036,-930.9999999999845,0.0,0.0,0.9970562691676514,2.8990143619012088e-12,2024-07-31,False,0.9966780188003317,49000,49000,3.502,3.5060000000000002,68.7176,196.00000000002194,171794.0,FILLED,172366.59859999997,0,503.88099999996484,49000.0
2024-09-02,3.381,3.332,CLOSE,160.38099999996484,49100,0.0,163761.58099999995,-0.017696999051915352,-2950.3000000000175,-2944.900000000003,0.0,0.0,0.9990206433094954,-1.4598100506191258e-11,2024-08-30,False,0.002037035152564997,100,100,3.381,3.3850000000000002,5.0,0.40000000000004476,338.5,FILLED,503.88099999996484,49000,160.38099999996484,49100.0
2024-10-08,4.656,4.412,CLOSE,228433.13535999993,0,0.0,228433.13535999993,0.09823263203643062,20432.454359999974,20769.300000000003,0.0,0.0,0.0,-3.387867764104158e-11,2024-09-30,False,0.9982258118035164,-49100,-49100,4.656,4.651,91.34563999999999,245.49999999999477,228364.09999999998,FILLED,160.38099999996484,49100,228433.13535999993,0.0
2025-01-02,4.02,3.909,CLOSE,114480.07235999992,28300,0.0,225104.77235999992,-0.014570403697146017,-3328.363000000012,-3141.2999999999934,0.0,0.0,0.49143649350571256,3.382183422218077e-12,2024-12-31,False,0.49864701029685177,28300,28300,4.02,4.025,45.56300000000001,141.5000000000221,113907.50000000001,FILLED,228433.13535999993,0,114480.07235999992,28300.0
2025-02-05,3.93,3.887,CLOSE,348.4379599999229,57300,0.0,223073.53795999993,-0.008774274322216002,-1974.6343999999808,-1813.000000000005,0.0,0.0,0.9984380130284104,2.4286350708280224e-11,2025-01-27,False,0.5054783735133294,29200,29000,3.93,3.934,45.6344,116.0000000000001,114086.0,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,114480.07235999992,28300,348.4379599999229,57300.0
2025-07-01,3.98,3.988,CLOSE,206.6379599999227,58600,0.0,233903.43795999992,0.0014728584852088389,344.0,354.1999999999876,0.0,0.0,0.9991165672390191,1.240785252321075e-11,2025-06-30,False,0.02218596926477098,1300,1300,3.98,3.984,5.0,5.200000000000005,5179.2,FILLED,5390.8379599999225,57300,206.6379599999227,58600.0
2025-09-01,4.607,4.616,CLOSE,269775.9670799999,0,0.0,269775.9670799999,-0.0001826029335597612,-49.27087999996729,351.6000000000133,0.0,0.0,0.0,1.3130829756846651e-11,2025-08-29,False,0.9981507002459112,-58600,-58600,4.607,4.602,107.87088000000001,292.99999999999375,269677.2,FILLED,206.6379599999227,58600,269775.9670799999,0.0
2025-11-03,4.752,4.763,CLOSE,422.0685999999405,56600,0.0,270007.8685999999,0.0008596077794107426,231.901520000014,622.6000000000068,0.0,0.0,0.9984368285184118,1.1368683772161603e-12,2025-10-31,False,0.9980362702959272,56600,56600,4.752,4.757,107.69847999999999,282.999999999994,269246.19999999995,FILLED,269775.9670799999,0,422.0685999999405,56600.0
2026-02-02,4.68,4.6,CLOSE,351.36859999993976,58100,0.0,267611.3685999999,-0.023410512250056525,-6415.100000000035,-6402.600000000038,0.0,0.0,0.9986870191582738,3.90087961932295e-12,2026-01-30,False,0.025810598928691537,1500,1500,4.68,4.6850000000000005,5.0,7.500000000001172,7027.500000000001,FILLED,7383.868599999941,56600,351.36859999993976,58100.0
2026-08-14,4.737,4.737,OPEN_TERMINAL,275170.5969199999,0,0.0,275170.5969199999,0.00023383080410099844,64.32831999997143,464.8000000000004,0.0,0.0,0.0,-3.518607627484016e-11,2026-08-13,False,0.9976707692746526,-58100,-58100,4.737,4.732,109.97168,290.4999999999938,274929.2,FILLED,351.36859999993976,58100,275170.5969199999,0.0
