date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,decision_action,execution_exit_reasons,forecast_age_trading_days,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2024-05-06,3.64,3.648,CLOSE,14.210840000014286,54900,0.0,200289.41084000003,0.0014470542000000197,289.4108400000259,439.2000000000004,0.0,0.0,0.9999290484707084,1.3443468560581096e-11,2024-04-30,False,0.999729,TARGET_100,,0.0,55500,54900,3.64,3.642,39.98916,109.7999999999879,199945.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,14.210840000014286,54900.0
2024-10-08,4.656,4.412,CLOSE,191679.47012,13700,0.0,252123.87012,0.08484276156631343,19717.95928000001,19879.900000000005,0.0,0.0,0.23974088598287457,-2.69579913947382e-11,2024-09-30,False,0.7499301403315485,TARGET_25,,0.0,-41200,-41200,4.656,4.6530000000000005,38.340720000000005,123.59999999996809,191703.6,FILLED,14.210840000014286,54900,191679.47012,13700.0
2024-12-02,3.997,4.031,CLOSE,123282.89354,30800,0.0,247437.69354,0.0038318441827014382,944.5234199999832,992.399999999988,0.0,0.0,0.5017618707310231,-1.0516032489249483e-12,2024-11-29,False,0.2774847925130402,TARGET_50,,0.0,17100,17100,3.997,3.999,13.676580000000003,34.200000000003826,68382.90000000001,FILLED,191679.47012,13700,123282.89354,30800.0
2025-02-05,3.93,3.887,CLOSE,60751.58978000001,46700,0.0,242274.48978,-0.005516837989063883,-1344.0037599999923,-1299.700000000003,0.0,0.0,0.7492447932295053,7.172928917498211e-12,2025-01-27,False,0.2558817782773664,TARGET_75,,0.0,15900,15900,3.93,3.932,12.50376,31.799999999996498,62518.799999999996,FILLED,123282.89354,30800,60751.58978000001,46700.0
2025-03-03,3.995,3.981,CLOSE,384.81884000001446,61800,0.0,246410.61884,-0.003481077777602426,-860.7709400000167,-818.5000000000197,0.0,0.0,0.9984383025300956,-3.659295089164516e-13,2025-02-28,False,0.24403673849206936,TARGET_100,,0.0,15200,15100,3.995,3.997,12.07094,30.199999999996674,60354.7,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,60751.58978000001,46700,384.81884000001446,61800.0
2025-06-03,3.946,3.957,CLOSE,244075.271,0,0.0,244075.271,-0.003981815071077532,-975.7478400000255,-803.3999999999938,0.0,0.0,0.0,-1.779199010343291e-11,2025-05-30,False,0.9979184286732674,TARGET_0,,0.0,-61800,-61800,3.946,3.944,48.74784,123.60000000001384,243739.19999999998,FILLED,384.81884000001446,61800,244075.271,0.0
2025-07-01,3.98,3.988,CLOSE,61264.91623999999,45900,0.0,244314.11624,0.0009785720569781553,238.8452399999951,367.20000000000033,0.0,0.0,0.7492371002426365,5.044853423896711e-12,2025-06-30,False,0.7488419422875495,TARGET_75,,0.0,45900,45900,3.98,3.982,36.55476,91.80000000001027,182773.80000000002,FILLED,244075.271,0,61264.91623999999,45900.0
2025-08-01,4.148,4.133,CLOSE,233.01229999999487,60600,0.0,250692.8123,-0.005105988255701632,-1286.6039400000009,-1230.3000000000065,0.0,0.0,0.9990705266024095,7.347011887759436e-12,2025-07-31,False,0.2424706220951247,TARGET_100,,0.0,14700,14700,4.148,4.151,12.20394,44.10000000000167,61019.7,FILLED,61264.91623999999,45900,233.01229999999487,60600.0
2026-02-02,4.68,4.6,CLOSE,189.01229999999578,62200,0.0,286309.0123,-0.023414128676088053,-6864.400000000023,-6854.60000000004,0.0,0.0,0.9993398311199441,1.7280399333685637e-11,2026-01-30,False,0.025722394232971377,TARGET_100,,0.0,1600,1600,4.68,4.683,5.0,4.800000000000182,7492.799999999999,FILLED,7686.812299999995,60600,189.01229999999578,62200.0
2026-08-14,4.737,4.737,OPEN_TERMINAL,294584.92134,0,0.0,294584.92134,0.0008565441210239833,252.10904000001028,497.6000000000004,0.0,0.0,0.0,1.693933882052079e-11,2026-08-13,False,0.998726005580395,研究终点统一开盘清仓,研究终点统一开盘清仓,9.0,-62200,-62200,4.737,4.734,58.89096,186.60000000000707,294454.8,FILLED,189.01229999999578,62200,294584.92134,0.0
