date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2020-02-03,3.73,3.659,CLOSE,59918.98999999999,37500,0.0,197131.49,-0.014342550000000065,-2868.5100000000093,-2662.5000000000064,0.0,0.0,0.696045568366576,-2.8137492336099967e-12,2020-01-23,False,0.700125,37500,37500,3.73,3.734,56.010000000000005,150.00000000000014,140025.0,FILLED,200000.0,0,59918.98999999999,37500.0
2020-03-02,3.948,4.076,CLOSE,156114.09655999998,13100,0.0,209509.69655999998,0.010140505053626736,2103.2065599999914,2239.3,0.0,0.0,0.25485980303879835,-8.65441052155802e-12,2020-02-28,False,0.462730525353804,-24400,-24400,3.948,3.944,38.49344000000001,97.60000000000008,96233.6,FILLED,59918.98999999999,37500,156114.09655999998,13100.0
2020-06-01,3.898,3.968,CLOSE,362.02063999997335,53000,0.0,210666.02063999997,0.018897991450947726,3907.324079999991,4129.199999999992,0.0,0.0,0.998281542325145,-2.5579538487363607e-13,2020-05-29,False,0.7514788140293301,40300,39900,3.898,3.902,62.27592000000001,159.60000000000014,155689.80000000002,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,156114.09655999998,13100,362.02063999997335,53000.0
2020-07-01,4.187,4.272,CLOSE,166739.0432,13200,0.0,223129.44319999998,0.006011931846894081,1333.4225600000063,1599.0000000000177,0.0,0.0,0.2527250513929486,-1.56035184772918e-11,2020-06-30,False,0.7488250239311636,-39800,-39800,4.187,4.182,66.57744000000001,198.99999999999577,166443.6,FILLED,362.02063999997335,53000,166739.0432,13200.0
2020-08-03,4.79,4.825,CLOSE,172476.0432,12000,0.0,230376.0432,0.004083873376264258,937.0,948.0000000000022,0.0,0.0,0.25132821623181695,-2.2879476091475226e-12,2020-07-31,False,0.024968795180821807,-1200,-1200,4.79,4.785,5.0,5.999999999999872,5742.0,FILLED,166739.0432,13200,172476.0432,12000.0
2020-09-01,4.866,4.908,CLOSE,230784.71039999998,0,0.0,230784.71039999998,-0.0007764533280391062,-179.33280000000377,-96.00000000000009,0.0,0.0,0.0,-4.959588295605499e-12,2020-08-31,False,0.25266381258954596,-12000,-12000,4.866,4.861,23.332800000000002,59.99999999999872,58332.0,FILLED,172476.0432,12000,230784.71039999998,0.0
2021-02-01,5.348,5.411,CLOSE,57781.33671999996,32300,0.0,232556.63671999995,0.007677832369955784,1771.9263199999696,2034.899999999991,0.0,0.0,0.751538646520894,-1.4097167877480388e-11,2021-01-29,False,0.7493312693907127,32300,32300,5.348,5.354,69.17368,193.80000000000734,172934.2,FILLED,230784.71039999998,0,57781.33671999996,32300.0
2021-03-01,5.381,5.418,CLOSE,115808.11671999996,21500,0.0,232295.11671999996,0.01038276014207895,2387.0800000000163,2475.100000000014,0.0,0.0,0.5014612517249304,4.746425474877469e-12,2021-02-26,False,0.2506610491914346,-10800,-10800,5.381,5.375,23.220000000000002,64.80000000000246,58050.0,FILLED,57781.33671999996,32300,115808.11671999996,21500.0
2021-05-06,5.109,5.061,CLOSE,169368.18411999996,11000,0.0,225039.18411999996,-0.004516199561484524,-1020.9326000000001,-936.5000000000032,0.0,0.0,0.2473835844086334,5.4782844927103724e-12,2021-04-30,False,0.23745232043467546,-10500,-10500,5.109,5.103,21.4326,63.00000000000239,53581.5,FILLED,115808.11671999996,21500,169368.18411999996,11000.0
2021-06-01,5.333,5.346,CLOSE,114354.48743999997,21300,0.0,228224.28744,0.0006054874412180222,138.1033200000238,221.89999999999904,0.0,0.0,0.4989381335233057,2.7114310796605423e-11,2021-05-31,False,0.24115868280130043,10300,10300,5.333,5.339,21.99668,61.80000000000234,54991.700000000004,FILLED,169368.18411999996,11000,114354.48743999997,21300.0
2021-07-01,5.273,5.254,CLOSE,282.4768799999729,42900,0.0,225679.07687999995,-0.002775918385600318,-628.2105600000359,-453.000000000017,0.0,0.0,0.9987483249049703,-1.4011902749189176e-11,2021-06-30,False,0.5030516087232252,21700,21600,5.273,5.279,45.61056,129.6000000000049,114026.4,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,114354.48743999997,21300,282.4768799999729,42900.0
2021-08-02,4.856,4.993,CLOSE,52167.41459999997,32200,0.0,212942.01459999997,0.017443334354031448,3650.7377200000046,3725.0000000000136,0.0,0.0,0.7550158680615772,-1.014655026665423e-11,2021-07-30,False,0.24882304180193626,-10700,-10700,4.856,4.851,20.76228,53.49999999999886,51905.7,FILLED,282.4768799999729,42900,52167.41459999997,32200.0
2021-09-01,4.88,4.949,CLOSE,104796.35459999996,21400,0.0,210704.95459999994,0.0068511094693095576,1433.7399999999907,1508.8000000000097,0.0,0.0,0.5026393432515897,-2.0193624550302047e-11,2021-08-31,False,0.2515486911698,-10800,-10800,4.88,4.875,21.060000000000002,53.99999999999885,52650.0,FILLED,52167.41459999997,32200,104796.35459999996,21400.0
2021-12-01,4.911,4.924,CLOSE,52665.910759999955,32000,0.0,210233.91075999994,0.0016301553181641282,342.1561599999841,416.00000000002524,0.0,0.0,0.7494889831539946,-3.2869706956262235e-11,2021-11-30,False,0.24826892366166353,10600,10600,4.911,4.916,20.843840000000004,53.000000000008285,52109.600000000006,FILLED,104796.35459999996,21400,52665.910759999955,32000.0
2022-02-07,4.625,4.626,CLOSE,50430.910759999955,33000,0.0,203088.91075999994,0.011429629470901093,2295.0,2305.0000000000023,0.0,0.0,0.7516806280989088,-2.3803181647963356e-12,2022-01-28,False,0.02280047883306281,1000,1000,4.625,4.63,5.0,4.999999999999893,4630.0,FILLED,55065.910759999955,32000,50430.910759999955,33000.0
2022-04-01,4.187,4.269,CLOSE,141562.04371999996,11200,0.0,189374.84371999995,-0.0013187457227942234,-250.06703999999445,-104.59999999999161,0.0,0.0,0.2524770400375542,-5.172751116333529e-12,2022-03-31,False,0.48338640702327124,-21800,-21800,4.187,4.182,36.467040000000004,108.99999999999767,91167.6,FILLED,50430.910759999955,33000,141562.04371999996,11200.0
2022-05-05,3.98,4.0,CLOSE,139963.44371999995,11600,0.0,186363.44371999995,-0.0008931537069175599,-166.60000000000582,-159.9999999999964,0.0,0.0,0.24897586712184422,-9.42890210353653e-12,2022-04-29,False,0.00856138792560423,400,400,3.98,3.984,5.0,1.6000000000000014,1593.6,FILLED,141562.04371999996,11200,139963.44371999995,11600.0
2022-08-01,4.206,4.238,CLOSE,94887.72063999996,22300,0.0,189395.12063999998,0.0025391090879312017,479.67692000002717,551.2000000000082,0.0,0.0,0.4989959597725781,1.780620095814811e-11,2022-07-29,False,0.23871244199293282,10700,10700,4.206,4.211,18.023080000000004,53.49999999999886,45057.700000000004,FILLED,139963.44371999995,11600,94887.72063999996,22300.0
2022-09-01,4.13,4.107,CLOSE,46902.53423999996,33900,0.0,186129.83423999997,-0.005886740933695345,-1102.1863999999769,-1024.999999999992,0.0,0.0,0.7480117336830442,1.3955059330328368e-11,2022-08-31,False,0.25652089001735867,11600,11600,4.13,4.135,19.186400000000003,57.999999999998764,47966.0,FILLED,94887.72063999996,22300,46902.53423999996,33900.0
2022-11-01,3.585,3.703,CLOSE,84130.03727999996,23500,0.0,171150.53727999996,0.020234759693613658,3394.5030400000105,3450.9999999999977,0.0,0.0,0.5084442116453052,1.2825296380469808e-11,2022-10-31,False,0.22110970723965254,-10400,-10400,3.585,3.581,14.896960000000002,41.60000000000004,37242.4,FILLED,46902.53423999996,33900,84130.03727999996,23500.0
2022-12-01,3.98,3.956,CLOSE,177528.66287999996,0,0.0,177528.66287999996,0.008464769266003813,1490.1255999999994,1621.4999999999989,0.0,0.0,0.0,6.252776074688882e-13,2022-11-30,False,0.5259258155661691,-23500,-23500,3.98,3.976,37.3744,94.00000000000009,93436.0,FILLED,84130.03727999996,23500,177528.66287999996,0.0
2023-02-01,4.164,4.19,CLOSE,133319.58631999994,10600,0.0,177733.58631999994,0.0011543118540722208,204.9234399999841,275.6000000000073,0.0,0.0,0.24989086710957908,-1.48929757415317e-11,2023-01-31,False,0.2489254370708074,10600,10600,4.164,4.1690000000000005,17.676560000000006,53.000000000008285,44191.40000000001,FILLED,177528.66287999996,0,133319.58631999994,10600.0
2023-03-01,4.067,4.12,CLOSE,44107.11559999995,32500,0.0,178007.11559999996,0.008697853820526236,1534.9292800000112,1680.1000000000026,0.0,0.0,0.7522171209205304,6.23856521997368e-12,2023-02-28,False,0.5054520660034999,21900,21900,4.067,4.072,35.67072,109.49999999999767,89176.8,FILLED,133319.58631999994,10600,44107.11559999995,32500.0
2023-05-04,4.013,4.025,CLOSE,293.3971199999505,43400,0.0,174978.39711999998,0.0003360487604457951,58.781520000018645,130.80000000000496,0.0,0.0,0.9983232380406437,1.2519763004092965e-11,2023-04-28,False,0.25093850031948395,10900,10900,4.013,4.018,17.51848,54.499999999998835,43796.2,FILLED,44107.11559999995,32500,293.3971199999505,43400.0
2023-07-03,3.89,3.927,CLOSE,84585.86663999995,21700,0.0,169801.76663999993,0.006100350280253242,1029.569519999961,1150.0999999999985,0.0,0.0,0.5018552026061537,-3.7559289012278896e-11,2023-06-30,False,0.4986193271500708,-21700,-21700,3.89,3.886,33.73048,86.80000000000008,84326.2,FILLED,293.3971199999505,43400,84585.86663999995,21700.0
2023-08-01,4.08,4.066,CLOSE,129800.27363999994,10600,0.0,172899.87363999995,-0.0017827803076494453,-308.7930000000051,-235.1999999999929,0.0,0.0,0.249274907451575,-1.3386625141720288e-11,2023-07-31,False,0.26127548690344926,-11100,-11100,4.08,4.075,18.093,55.49999999999882,45232.5,FILLED,84585.86663999995,21700,129800.27363999994,10600.0
2024-01-02,3.502,3.453,CLOSE,166864.24211999995,0,0.0,166864.24211999995,-0.00015238522219684913,-25.43151999998372,31.799999999996498,0.0,0.0,0.0,1.510613856225973e-11,2023-12-29,False,0.22213319347975546,-10600,-10600,3.502,3.498,14.831520000000001,42.39999999999533,37078.8,FILLED,129800.27363999994,10600,166864.24211999995,0.0
2024-05-06,3.64,3.648,CLOSE,266.8297999999486,45700,0.0,166980.42979999995,0.000696300648502346,116.18768000000273,365.6000000000003,0.0,0.0,0.9984020295053765,2.5863755581667647e-12,2024-04-30,False,0.9980017161510245,46300,45700,3.64,3.644,66.61232000000001,182.80000000000015,166530.80000000002,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,166864.24211999995,0,266.8297999999486,45700.0
2024-07-01,3.487,3.501,CLOSE,39957.14731999995,34300,0.0,160041.44731999995,0.0026231697736571746,418.7175200000056,480.1999999999928,0.0,0.0,0.7503325045536088,1.2818190953112207e-11,2024-06-28,False,0.2487502879430146,-11400,-11400,3.487,3.483,15.882480000000003,45.60000000000004,39706.200000000004,FILLED,266.8297999999486,45700,39957.14731999995,34300.0
2024-08-01,3.502,3.483,CLOSE,120029.30563999998,11400,0.0,159735.50564,-0.0034067657140207652,-546.0416799999657,-422.4000000000042,0.0,0.0,0.24857466623285926,2.8393287720973603e-11,2024-07-31,False,0.5004143434662057,-22900,-22900,3.502,3.498,32.04168000000001,91.5999999999899,80104.20000000001,FILLED,39957.14731999995,34300,120029.30563999998,11400.0
2024-09-02,3.381,3.332,CLOSE,158511.70651999998,0,0.0,158511.70651999998,-0.0011745516384601418,-186.3991199999873,-125.40000000000137,0.0,0.0,0.0,9.045209026226075e-12,2024-08-30,False,0.24277696369386367,-11400,-11400,3.381,3.3770000000000002,15.399120000000002,45.59999999999498,38497.8,FILLED,120029.30563999998,11400,158511.70651999998,0.0
2024-11-01,3.964,3.979,CLOSE,119212.79323999997,9900,0.0,158604.89323999998,0.0005878854126666333,93.18671999999788,148.50000000000122,0.0,0.0,0.24836623382351836,-3.311129148642067e-12,2024-10-31,False,0.2478252292050335,9900,9900,3.964,3.968,15.71328,39.60000000000004,39283.2,FILLED,158511.70651999998,0,119212.79323999997,9900.0
2024-12-02,3.997,4.031,CLOSE,158727.68095999997,0,0.0,158727.68095999997,-0.0005982286162118378,-95.01227999999537,-39.60000000000443,0.0,0.0,0.0,9.094947017729282e-12,2024-11-29,False,0.24896038484556737,-9900,-9900,3.997,3.993,15.81228,39.60000000000004,39530.7,FILLED,119212.79323999997,9900,158727.68095999997,0.0
