date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2020-02-03,3.73,3.659,CLOSE,60022.01000000001,37500,0.0,197234.51,-0.013827449999999963,-2765.4899999999907,-2662.5000000000064,0.0,0.0,0.6956820081840647,2.4087398742267396e-11,2020-01-23,False,0.69975,37500,37500,3.73,3.732,27.990000000000002,75.0000000000084,139950.0,FILLED,200000.0,0,60022.01000000001,37500.0
2020-03-02,3.948,4.076,CLOSE,156285.15352000002,13100,0.0,209680.75352000003,0.01046334464381915,2171.243520000018,2239.3,0.0,0.0,0.25465188913920495,1.262634441445698e-11,2020-02-28,False,0.46273595376908216,-24400,-24400,3.948,3.946,19.256480000000003,48.799999999994625,96282.40000000001,FILLED,60022.01000000001,37500,156285.15352000002,13100.0
2020-06-01,3.898,3.968,CLOSE,253.95352000001003,53100,0.0,210954.75352,0.01945104525343644,4024.999999999971,4136.199999999992,0.0,0.0,0.9987961706680578,-2.9544366952904966e-11,2020-05-29,False,0.7523548942577754,40300,40000,3.898,3.9,31.200000000000003,79.99999999999119,156000.0,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,156285.15352000002,13100,253.95352000001003,53100.0
2020-07-01,4.187,4.272,CLOSE,167162.16520000002,13200,0.0,223552.5652,0.0065140666419960525,1446.8116800000134,1599.9000000000176,0.0,0.0,0.25224671409854166,3.694822225952521e-13,2020-06-30,False,0.75001734116562,-39900,-39900,4.187,4.184,33.38832,119.70000000000454,166941.6,FILLED,253.95352000001003,53100,167162.16520000002,13200.0
2020-08-03,4.79,4.825,CLOSE,172901.5652,12000,0.0,230801.5652,0.004086796968881812,939.3999999999942,948.0000000000022,0.0,0.0,0.2508648498541465,-7.844391802791506e-12,2020-07-31,False,0.024933355966012385,-1200,-1200,4.79,4.787,5.0,3.6000000000001364,5744.4,FILLED,167162.16520000002,13200,172901.5652,12000.0
2020-09-01,4.866,4.908,CLOSE,231245.89400000003,0,0.0,231245.89400000003,-0.0006209061323737552,-143.6711999999825,-96.00000000000009,0.0,0.0,0.0,8.29913915367797e-12,2020-08-31,False,0.2523027389436427,-12000,-12000,4.866,4.863,11.671200000000002,35.999999999990706,58356.00000000001,FILLED,172901.5652,12000,231245.89400000003,0.0
2021-02-01,5.348,5.411,CLOSE,57838.81952000005,32400,0.0,233155.21952000004,0.008256689392288186,1909.325520000013,2041.199999999991,0.0,0.0,0.7519299819276032,2.5792701308091637e-11,2021-01-29,False,0.7497317984811439,32400,32400,5.348,5.351,34.67448,97.20000000000368,173372.4,FILLED,231245.89400000003,0,57838.81952000005,32400.0
2021-03-01,5.381,5.418,CLOSE,115909.60304000005,21600,0.0,232938.40304000006,0.010585684383785043,2439.983520000009,2484.000000000014,0.0,0.0,0.5024023453097336,-4.000355602329364e-12,2021-02-26,False,0.2501576131129358,-10800,-10800,5.381,5.378,11.616480000000001,32.40000000000123,58082.4,FILLED,57838.81952000005,32400,115909.60304000005,21600.0
2021-05-06,5.109,5.061,CLOSE,226177.14512000003,0,0.0,226177.14512000003,-0.00219371006752922,-497.25792000003275,-410.40000000000276,0.0,0.0,0.0,-2.7540636438061483e-11,2021-04-30,False,0.48743767686503126,-21600,-21600,5.109,5.106,22.05792,64.80000000000246,110289.59999999999,FILLED,115909.60304000005,21600,226177.14512000003,0.0
2021-06-01,5.333,5.346,CLOSE,113565.02720000003,21100,0.0,226365.62720000005,0.000833338310552989,188.48208000001614,274.2999999999979,0.0,0.0,0.498311521034674,2.063416104647331e-11,2021-05-31,False,0.49779388602798363,21100,21100,5.333,5.336,22.517920000000004,63.3000000000024,112589.6,FILLED,226177.14512000003,0,113565.02720000003,21100.0
2021-07-01,5.273,5.254,CLOSE,108.34040000003006,42600,0.0,223928.7404,-0.0023962885116136645,-537.8868000000366,-450.7000000000168,0.0,0.0,0.9995161835867674,-1.7337242752546445e-11,2021-06-30,False,0.5045427995712042,21500,21500,5.273,5.276,22.6868,64.50000000000244,113434.0,FILLED,113565.02720000003,21100,108.34040000003006,42600.0
2021-08-02,4.856,4.993,CLOSE,52025.05498000003,31900,0.0,211301.75498000003,0.017558956399508663,3646.214580000029,3688.7000000000144,0.0,0.0,0.7537878708819798,1.5788259588589426e-11,2021-07-30,False,0.25088714018607916,-10700,-10700,4.856,4.853,10.38542,32.10000000000122,51927.1,FILLED,108.34040000003006,42600,52025.05498000003,31900.0
2021-09-01,4.88,4.949,CLOSE,104198.51820000002,21200,0.0,209117.31820000004,0.006992811192324977,1452.1632200000458,1494.7000000000096,0.0,0.0,0.5017221954790734,3.745981302927248e-11,2021-08-31,False,0.25125007191375437,-10700,-10700,4.88,4.877,10.436779999999999,32.10000000000122,52183.899999999994,FILLED,52025.05498000003,31900,104198.51820000002,21200.0
2021-12-01,4.911,4.924,CLOSE,0.8828400000347756,42400,0.0,208778.48284000004,0.002240702750825996,466.7646400000376,551.2000000000335,0.0,0.0,0.999995771403317,6.551204023708124e-12,2021-11-30,False,0.5001005267499157,21200,21200,4.911,4.914,20.835359999999998,63.60000000000241,104176.79999999999,FILLED,104198.51820000002,21200,0.8828400000347756,42400.0
2022-03-01,4.588,4.609,CLOSE,49480.12114000003,32300,0.0,198350.82114000004,0.006901515033557404,1359.5383000000147,1399.1000000000117,0.0,0.0,0.7505423932423453,4.1318060084449826e-12,2022-02-28,False,0.23422190153889327,-10100,-10100,4.588,4.585,9.261700000000001,30.30000000000115,46308.5,FILLED,3180.882840000035,42400,49480.12114000003,32300.0
2022-04-01,4.187,4.269,CLOSE,138581.49730000005,11000,0.0,185540.49730000005,-0.0009747057793239033,-181.02383999997983,-99.29999999999177,0.0,0.0,0.25309299416219677,1.4367174117069226e-11,2022-03-31,False,0.4824550309110786,-21300,-21300,4.187,4.184,17.82384,63.90000000000242,89119.2,FILLED,49480.12114000003,32300,138581.49730000005,11000.0
2022-05-05,3.98,4.0,CLOSE,46578.90046000003,34100,0.0,182978.90046000003,0.001271724292578158,232.4031599999871,297.00000000000387,0.0,0.0,0.7454411391537333,-1.1581846592889633e-11,2022-04-29,False,0.5044058168083487,23100,23100,3.98,3.982,18.396840000000005,46.20000000000517,91984.20000000001,FILLED,138581.49730000005,11000,46578.90046000003,34100.0
2022-06-01,4.089,4.083,CLOSE,330.05254000002606,45400,0.0,185698.25254000004,-0.0016963683297673837,-315.5479200000118,-272.4000000000103,0.0,0.0,0.9982226405715426,-1.9184653865522705e-13,2022-05-31,False,0.24858155623750752,11300,11300,4.089,4.0920000000000005,9.247920000000002,33.900000000001285,46239.600000000006,FILLED,46578.90046000003,34100,330.05254000002606,45400.0
2022-07-01,4.52,4.493,CLOSE,205360.83818000005,0,0.0,205360.83818000005,0.0017931597037725844,367.5856400000048,544.7999999999803,0.0,0.0,0.0,-1.0658141036401503e-11,2022-06-30,False,0.9977315512420297,-45400,-45400,4.52,4.517,41.01436,136.19999999996483,205071.80000000002,FILLED,330.05254000002606,45400,205360.83818000005,0.0
2022-08-01,4.206,4.238,CLOSE,154421.75240000006,12100,0.0,205701.55240000004,0.001659100259911117,340.7142199999944,387.20000000000033,0.0,0.0,0.24929223626024513,-4.568789790937444e-12,2022-07-29,False,0.24799713738682988,12100,12100,4.206,4.2090000000000005,10.185780000000003,36.300000000001376,50928.90000000001,FILLED,205360.83818000005,0,154421.75240000006,12100.0
2022-09-01,4.13,4.107,CLOSE,102748.91990000007,24600,0.0,203781.11990000008,-0.0036510064093352446,-746.7324999999837,-698.8999999999938,0.0,0.0,0.4957878337776275,1.156053031081683e-11,2022-08-31,False,0.25275844606272774,12500,12500,4.13,4.133,10.332500000000001,37.50000000000142,51662.5,FILLED,154421.75240000006,12100,102748.91990000007,24600.0
