report_month,category,listed_publication_date,publication_date_status,days_after_report_month_end,category_scope,current_fund_count,previous_fund_count_same_report,current_shares_100m,previous_shares_100m_same_report,current_nav_100m,previous_nav_100m_same_report,share_change_100m,share_log_growth_same_report,nav_change_100m,nav_log_growth_same_report,count_change,source_url,raw_path,source_sha256,cash_net_subscription_amount,original_first_publication_proven
2020-02,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,276,OPEN_ENDED_SUBCATEGORY,1161,1151,10098.82,9680.18,14002.7,13411.63,418.6399999999994,0.042338089181770296,591.0700000000015,0.04312792717543208,10,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430364952995.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430364952995.pdf,311ffd4d79ea456b367ae8a473d123a7ba9778faaec14af05ab62aeb87af8e7d,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-02,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,276,OPEN_ENDED_SUBCATEGORY,2649,2623,16071.13,15765.34,21271.45,20541.02,305.78999999999905,0.019210635112535675,730.4300000000003,0.03494193555265826,26,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430364952995.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430364952995.pdf,311ffd4d79ea456b367ae8a473d123a7ba9778faaec14af05ab62aeb87af8e7d,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-03,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,245,OPEN_ENDED_SUBCATEGORY,1188,1161,11090.61,10098.82,14086.82,14002.7,991.7900000000009,0.09368021901945671,84.11999999999898,0.005989440294625854,27,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430366469115.pdf,dae39b62e825a422eed531bb81b0ab3c22271f8c1298e16c4987d1e1e732fe36,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-03,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,245,OPEN_ENDED_SUBCATEGORY,2702,2649,17061.64,16071.13,21083.64,21271.45,990.5100000000002,0.05980817410569053,-187.8100000000013,-0.008868413733369745,53,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430366469115.pdf,dae39b62e825a422eed531bb81b0ab3c22271f8c1298e16c4987d1e1e732fe36,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-04,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,215,OPEN_ENDED_SUBCATEGORY,1223,1188,10977.13,11090.61,14940.89,14086.82,-113.48000000000138,-0.010284786778759084,854.0699999999997,0.05886214109197183,35,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430368020022.pdf,3be0a8ea9ff899c654d49119968498293aa3eb8fd6470e142314fd44de4412ca,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-04,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,215,OPEN_ENDED_SUBCATEGORY,2760,2702,17638.84,17061.64,23154.9,21083.64,577.2000000000007,0.03327062003469215,2071.260000000002,0.09370903691344991,58,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430368020022.pdf,3be0a8ea9ff899c654d49119968498293aa3eb8fd6470e142314fd44de4412ca,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-05,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,184,OPEN_ENDED_SUBCATEGORY,1244,1223,11027.71,10977.13,14954.77,14940.89,50.57999999999993,0.004597178537084687,13.880000000001019,0.0009285629417321834,21,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430369656072.pdf,98c6c986cfe24203741c87627e485f5939b7da2542f3cb18381adf1e366a353b,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-05,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,184,OPEN_ENDED_SUBCATEGORY,2793,2760,18012.1,17638.84,24112.26,23154.9,373.2599999999984,0.02094046549903566,957.359999999997,0.04051400363687989,33,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430369656072.pdf,98c6c986cfe24203741c87627e485f5939b7da2542f3cb18381adf1e366a353b,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-06,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,154,OPEN_ENDED_SUBCATEGORY,1262,1244,10231.84,11027.71,15382.81,14954.77,-795.869999999999,-0.07490676917877154,428.03999999999905,0.028220339708552526,18,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430371432501.pdf,0388b999c5998baf1d2836a8c05a2b23cc2ec61a1f2b87a23f77a669d9775735,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-06,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,154,OPEN_ENDED_SUBCATEGORY,2848,2793,18559.93,18012.1,26728.89,24112.26,547.8300000000017,0.02996120152098513,2616.630000000001,0.1030245780751129,55,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430371432501.pdf,0388b999c5998baf1d2836a8c05a2b23cc2ec61a1f2b87a23f77a669d9775735,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-07,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,123,OPEN_ENDED_SUBCATEGORY,1281,1262,10464.21,10231.84,17545.2,15382.81,232.36999999999898,0.022456436383102917,2162.3900000000012,0.1315297560288057,19,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430373149066.pdf,c909433ace2976748cf246635cfc3bd249d0d38ca438d3bd2e1b04106c135039,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-07,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,123,OPEN_ENDED_SUBCATEGORY,2905,2848,20728.68,18559.93,32130.99,26728.89,2168.75,0.11051329278895104,5402.100000000002,0.18407598206428302,57,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430373149066.pdf,c909433ace2976748cf246635cfc3bd249d0d38ca438d3bd2e1b04106c135039,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-08,股票基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,92,OPEN_ENDED_SUBCATEGORY,1308,1281,10873.79,10464.21,18021.18,17545.2,409.58000000000175,0.03839444309578643,475.97999999999956,0.02676732460392387,27,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430375010941.pdf,83cead315c9ac007a78634201500b9ed7c0644d55decbff97ff90cd00d644695,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2020-08,混合基金,2020-12-01,SUSPECT_MIGRATION_OR_LATE_REPUBLICATION_DATE,92,OPEN_ENDED_SUBCATEGORY,2963,2905,22439.37,20728.68,34620.06,32130.99,1710.6899999999987,0.0792987568059099,2489.069999999996,0.07461229787080709,58,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231126430375010941.pdf,83cead315c9ac007a78634201500b9ed7c0644d55decbff97ff90cd00d644695,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
