period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,GAP_RECOVERY,2020,-0.042629781599998785,-0.04245812860785464,-0.03347905908662918,0.14100561884744245,-0.23743067375812182,-0.1333220949750271,243,0.3204096958095938,77,2994.5563200000006,9117.699999999935,False,3.745981302927248e-11
evaluation,BASE,GAP_RECOVERY,2021,-0.22578175667637837,-0.22496600379627202,-0.2506004267207584,0.09062851860529424,-2.7651387287060776,-0.2756467217759335,243,0.33636007384651617,83,2720.24594,7927.200000000026,False,3.3082869776990265e-11
evaluation,BASE,GAP_RECOVERY,2022,-0.22067558577067783,-0.22067558577067783,-0.24586582922274058,0.08164314047840215,-3.011469521897946,-0.22067558577067783,242,0.22226182268221187,74,1927.34416,6223.399999999971,False,3.218758592993254e-11
evaluation,BASE,GAP_RECOVERY,2023,-0.1233761529303503,-0.1233761529303503,-0.12991298746405322,0.05882918724399857,-2.20830838483675,-0.15860360114100838,242,0.2268312440279728,65,1435.0425200000002,4290.100000000117,False,1.7763568394002505e-11
evaluation,BASE,GAP_RECOVERY,2024,0.08508714338830037,0.08508714338830037,0.09382968532686187,0.15836438863385696,0.5924923282076933,-0.14525112397065623,242,0.3666485507890953,84,1799.44756,5555.000000000021,False,1.688249540165998e-11
evaluation,BASE,GAP_RECOVERY,2025,-0.08403669452111324,-0.08370576100925095,-0.0837793914602993,0.08532462621152076,-0.9818899323696911,-0.11313147492934175,243,0.3527019321900364,84,1787.1330000000003,5673.699999999924,False,1.98667748918524e-11
evaluation,BASE,GAP_RECOVERY,2026,-0.13120434122609026,-0.2042211139236988,-0.22367963064348387,0.09648611319465422,-2.318257241767272,-0.1500056473089838,149,0.28009786633894956,49,917.04434,2877.299999999934,False,1.837463514675619e-11
evaluation,BASE,REARM_RIDGE,2020,0.14651901299999998,0.1458740750762057,0.14288469424867903,0.11689409592113564,1.2223431228304151,-0.05909123879892578,243,0.1850578611758003,6,265.5974,806.4000000000228,False,2.6147972675971687e-11
evaluation,BASE,REARM_RIDGE,2021,0.017270358341628506,0.017198679221842646,0.022025763444818554,0.09985505380594627,0.22057735292619654,-0.10591213630792772,243,0.32847385068446155,10,463.84116000000006,1335.599999999973,False,3.370814738445915e-11
evaluation,BASE,REARM_RIDGE,2022,0.005564228918978942,0.005564228918978942,0.0065956464013599,0.04594419374642978,0.1435577787644262,-0.030540113727666924,242,0.08245669997850574,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
evaluation,BASE,REARM_RIDGE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
