model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
ABLATE_100_NO_EPISODE,evaluation,BASE,89,0,89,113
ABLATE_100_NO_EPISODE,evaluation,STRESS,89,0,89,113
ABLATE_100_NO_EPISODE,earlier_diagnostic,BASE,26,0,26,61
ABLATE_100_NO_EPISODE,earlier_diagnostic,STRESS,27,0,27,62
ABLATE_100_NO_REBOUND,evaluation,BASE,52,0,52,75
ABLATE_100_NO_REBOUND,evaluation,STRESS,53,0,53,75
ABLATE_100_NO_REBOUND,earlier_diagnostic,BASE,9,0,9,44
ABLATE_100_NO_REBOUND,earlier_diagnostic,STRESS,11,0,11,45
ABLATE_100_CORE_ONLY,evaluation,BASE,66,0,66,77
ABLATE_100_CORE_ONLY,evaluation,STRESS,66,0,66,78
ABLATE_100_CORE_ONLY,earlier_diagnostic,BASE,26,0,26,45
ABLATE_100_CORE_ONLY,earlier_diagnostic,STRESS,27,0,27,46
ABLATE_105_NO_EPISODE,evaluation,BASE,73,0,73,111
ABLATE_105_NO_EPISODE,evaluation,STRESS,73,0,73,111
ABLATE_105_NO_EPISODE,earlier_diagnostic,BASE,10,0,10,61
ABLATE_105_NO_EPISODE,earlier_diagnostic,STRESS,10,0,10,61
ABLATE_105_NO_REBOUND,evaluation,BASE,59,0,59,75
ABLATE_105_NO_REBOUND,evaluation,STRESS,62,0,62,75
ABLATE_105_NO_REBOUND,earlier_diagnostic,BASE,10,0,10,45
ABLATE_105_NO_REBOUND,earlier_diagnostic,STRESS,14,0,14,45
ABLATE_105_CORE_ONLY,evaluation,BASE,50,0,50,74
ABLATE_105_CORE_ONLY,evaluation,STRESS,50,0,50,74
ABLATE_105_CORE_ONLY,earlier_diagnostic,BASE,10,0,10,45
ABLATE_105_CORE_ONLY,earlier_diagnostic,STRESS,10,0,10,45
