cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,HEIKIN_PRICE_STATE,2020—2021,0.13317916960000034,0.06423506898726623,0.07064692423039634,0.1302080554415803,0.5425695360460482,-0.1771674395681457,486,0.552575141467488,128,5927.96608,17659.20000000019,False,5.184119800105691e-11
BASE,HEIKIN_PRICE_STATE,2022—2023,-0.09895537184961034,-0.050766294240248935,-0.04804225052538419,0.09024009924643156,-0.5323825098439701,-0.10683049225369427,484,0.42035616327359054,117,4970.03322,15243.199999999975,False,3.8767211663071066e-11
BASE,HEIKIN_PRICE_STATE,2024—终点,0.07003140337094903,0.026173405144346514,0.03602900204248636,0.14332287664190227,0.25138346987345367,-0.14503053975033697,634,0.5365712861211623,175,7798.1571,24202.699999999943,False,3.603872755775228e-11
BASE,HEIKIN_CONFIRMED_REFERENCE,2020—2021,0.12796725119999997,0.06179491080033797,0.06084038975141301,0.04216699316163649,1.4428439210307642,-0.03669869753596011,486,0.050741057722051584,40,595.14976,1735.6000000000006,False,4.2028602820209926e-11
BASE,HEIKIN_CONFIRMED_REFERENCE,2022—2023,-0.006728432844061897,-0.00336989451655731,-0.003360538853021844,0.0054863821601605165,-0.6125236549186219,-0.009984816604852115,484,0.008302690716081853,11,111.99038,343.3000000000036,False,3.1093350116861984e-11
BASE,HEIKIN_CONFIRMED_REFERENCE,2024—终点,0.09979737484075338,0.03697716454405475,0.03659390011566894,0.023826040454816483,1.5358783674133907,-0.014543276249273719,634,0.051386104516657725,49,819.0473599999999,2425.4999999999573,False,4.0962788716569776e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2020—2021,0.19704896469999975,0.09369249907210299,0.09076581360350951,0.04919274213688075,1.845105795301064,-0.026560198049483116,486,0.08197532503229543,21,327.30706000000004,972.6000000000131,False,4.0245140553452075e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2022—2023,0.0004741558756059021,0.00023704984148927602,0.0002817303588174558,0.009469783286594194,0.029750454713814267,-0.010410860630406027,484,0.012434703166298848,7,73.58244000000002,241.09999999999982,False,2.4783730623312294e-11
BASE,TREND_NOISE_REFERENCE_BLEND,2024—终点,0.11221772980630187,0.041431746182644565,0.041087877947695285,0.03135213002725374,1.3105290744832478,-0.02676498395427396,634,0.08314855590488958,38,603.73786,1763.199999999939,False,7.855760486563668e-11
BASE,EPISODE_BUDGET_NONINCREASING,2020—2021,0.20105976289999977,0.09551567426879781,0.09235751449859815,0.047652925816216704,1.9381289378703392,-0.018275498903423965,486,0.07617513008152899,19,302.94742,889.80000000001,False,3.9960923459148034e-11
