period,cost,year,return_difference_vs128
evaluation,BASE,2020,0.01267440280000029
evaluation,BASE,2021,-0.07052491298113578
evaluation,BASE,2022,0.007383449370301325
evaluation,BASE,2023,0.0
evaluation,BASE,2024,0.007620501518450493
evaluation,BASE,2025,0.007696709550216993
evaluation,BASE,2026,6.248858091330994e-06
evaluation,STRESS,2020,0.012931012799999614
evaluation,STRESS,2021,-0.0699623288676412
evaluation,STRESS,2022,0.007383490755779279
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,0.007301974866115779
evaluation,STRESS,2025,0.007622352942170674
evaluation,STRESS,2026,-2.4740537851036803e-07
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,0.0
earlier_diagnostic,BASE,2018,0.0
earlier_diagnostic,BASE,2019,0.0060129514198740686
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,0.0
earlier_diagnostic,STRESS,2018,0.0
earlier_diagnostic,STRESS,2019,0.00625040332615516
