model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
IDLE_RSI2_OPPORTUNITY,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-85802.24869999953,-39451.59999999995,1133.2000000000007,11756.248700000002,35727.59999999977,-0.851595567283874
IDLE_RSI2_OPPORTUNITY,evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,-31429.803579999716,13625.70000000007,9371.1,13462.10358,40964.499999999716,-1.0417980177507102
IDLE_RSI2_OPPORTUNITY,evaluation,BASE,BUY_HOLD,29553.96348000047,100342.10000000002,-9543.500000000002,15141.236520000002,46103.399999999696,0.16694182043961314
IDLE_RSI2_OPPORTUNITY,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-127810.77100000012,-51127.69999999998,-310.2999999999993,20436.271000000004,55936.499999999985,-1.0182462214112669
IDLE_RSI2_OPPORTUNITY,evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-81006.59887999989,170.20000000004075,7720.3,23754.598880000005,65142.5,-1.218543764423053
IDLE_RSI2_OPPORTUNITY,evaluation,STRESS,BUY_HOLD,-26841.67960000006,85724.3,-11256.000000000002,27041.479600000006,74268.5,-0.08247187278210238
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-2577.8157400001655,34688.60000000012,4447.2,10573.315740000002,31140.30000000013,-0.491277762369556
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,22512.39113999973,61441.10000000009,4447.2,10992.70886,32383.200000000135,-0.5206046454489207
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,BUY_HOLD,76505.20461999965,136488.60000000003,-11397.999999999996,12300.195380000001,36285.200000000164,0.2987674090302289
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-44923.641799999576,24350.800000000076,4340.099999999999,19075.2418,54539.29999999995,-0.6283208860632837
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-20381.390519999608,52135.300000000076,4340.099999999999,19909.39052,56947.39999999994,-0.6617079282527
IDLE_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,BUY_HOLD,33749.67164000051,132078.40000000002,-11505.099999999999,22506.72836,64316.8999999999,0.14969926210546308
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-62181.91621999972,-27810.19999999975,-2330.699999999999,7775.616220000002,24265.399999999794,-0.683192069869004
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,-7809.471099999908,25267.100000000268,5907.200000000001,9481.4711,29502.299999999737,-0.8733945203358403
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,BASE,BUY_HOLD,53174.29596000028,111983.50000000022,-13007.400000000001,11160.604040000002,34641.19999999971,0.33534531785448307
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-91777.31615999999,-36576.5999999998,-3108.3999999999996,13869.616160000001,38222.700000000186,-0.8072364900406689
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-44973.14403999975,14721.300000000221,4922.2,17187.944040000002,47428.7000000002,-1.0075340330524551
IDLE_TREND_RSI2_OPPORTUNITY,evaluation,STRESS,BUY_HOLD,9191.775240000075,100275.40000000018,-14054.100000000002,20474.824760000003,56554.70000000019,0.1285378585884956
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-27944.53335999977,-3482.9999999998254,0.0,6264.73336,18196.80000000004,-0.4643819785839419
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,-2854.3264799998724,23269.500000000146,0.0,6684.126480000001,19439.700000000044,-0.49370886166330663
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,BASE,BUY_HOLD,51138.48700000005,98317.0000000001,-15845.199999999997,7991.613,23341.700000000073,0.325663192815843
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-54975.16616000002,-11333.49999999984,0.0,11500.96616,32140.700000000215,-0.5902180921644972
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,-30432.914880000055,16451.00000000016,0.0,12335.114880000001,34548.80000000021,-0.6236051343539134
IDLE_TREND_RSI2_OPPORTUNITY,earlier_diagnostic,STRESS,BUY_HOLD,23698.147280000063,96394.10000000012,-15845.199999999997,14932.452720000001,41918.30000000016,0.18780205600424965
