period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2020,0.2560113681000015,0.25483374504884554,0.23895240890351008,0.15476143531483064,1.5440048641149524,-0.1351635583577017,243,0.4323692459597826,55,2071.8263800000004,6132.500000000006,False,3.3651303965598345e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2021,0.02812737248822917,0.02801001585535341,0.03586957095036308,0.12848293458846827,0.27917770609189124,-0.14497773128702293,243,0.4502963583314164,51,2013.9400800000003,5921.7000000000635,False,5.126565838509123e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2022,-0.19476388458503402,-0.19476388458503402,-0.20500400457969625,0.15199587262780992,-1.3487471800085427,-0.23444961972820572,242,0.5484369601687659,55,2495.166,8083.499999999949,False,3.743139131984208e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2023,-0.027026918334970913,-0.027026918334970913,-0.02015465822018403,0.12123949487139102,-0.16623838825428777,-0.10181490583834926,242,0.5806272512325338,63,2653.3981400000002,7992.3999999999705,False,3.19033688356285e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2024,0.12685209710927944,0.12685209710927944,0.12725561290377152,0.12600245427164442,1.0099455097074972,-0.09026453356577395,242,0.6266516023509474,47,1605.68944,4752.79999999989,False,3.9527492390334373e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2025,0.18868855509450608,0.18784331836700202,0.1786525082513255,0.11306084406181123,1.5801448302796572,-0.07580468829632153,243,0.4770613955924427,63,2496.87158,7564.299999999988,False,8.86757334228605e-11
evaluation,BASE,IDLE_RSI2_OPPORTUNITY,2026,0.04341618644856766,0.07146518986430235,0.07977578847149751,0.1471430319728536,0.5421649085375333,-0.07933246505590032,149,0.5795478237925644,42,1890.0806600000003,5946.599999999837,False,6.45741238258779e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2020,0.05808607609999866,0.05784025558400416,0.06995234179805697,0.16519012772389824,0.42346563176569835,-0.11967778022631244,243,0.3830891362220005,48,1544.78478,4684.900000000001,False,4.5929482439532876e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2021,0.05983848859761037,0.05958504510995593,0.06444134740312121,0.11476110462156289,0.561526029360065,-0.08556389944237348,243,0.35582443719867524,44,1417.4456800000003,4116.600000000011,False,3.212363708371413e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2022,0.004281031399577153,0.004281031399577153,0.00536829125793592,0.04700775209073033,0.11420012698276881,-0.03059835225506212,242,0.08687980183067505,9,263.34998,900.399999999978,False,2.319211489520967e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2023,0.018445906189029082,0.018445906189029082,0.020360792119012094,0.06478604218776375,0.31427744976305516,-0.03617849147313514,242,0.1515110722919828,24,1073.4400400000002,3727.399999999974,False,2.2282620193436742e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2024,0.08801475316612045,0.08801475316612045,0.0904457440508053,0.11130835521913032,0.8125692260275228,-0.0917803168059884,242,0.4575896177201578,35,1261.6574999999998,3883.0999999999212,False,3.491607003525132e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2025,0.2005178333345895,0.1996152994059649,0.18905164734826163,0.11768263831413367,1.6064531697838096,-0.08991545049873396,243,0.5388471302217595,76,3475.4321,10677.800000000001,False,8.105871529551223e-11
evaluation,BASE,IDLE_TREND_RSI2_OPPORTUNITY,2026,0.022674427675332037,0.03708678467451187,0.04656233141824212,0.14293623933760255,0.32575595687994896,-0.07939862413980629,149,0.5728508652875564,44,2210.2297200000003,6941.399999999836,False,6.548361852765083e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2020,0.24552272180000004,0.24439787566163013,0.2231849227364153,0.09577095960907298,2.3304029075978017,-0.026046373619159912,243,0.19033790364673708,17,343.65564,1112.9000000000024,False,3.7971403799019754e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2021,0.12083578233120924,0.12030973733857317,0.1158905953713032,0.06764940863510281,1.7131058158454968,-0.04035974893668249,243,0.20477458948335994,24,571.4575,1640.100000000055,False,5.016431714466307e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2022,0.004275409371451082,0.004275409371451082,0.005362179192994199,0.04699669807942054,0.11409693472363863,-0.030587599670722443,242,0.08686057909790135,9,327.78310000000005,1120.6999999999725,False,7.275957614183426e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2023,0.00788782945139554,0.00788782945139554,0.007929946593508985,0.01212052279079571,0.6542578014482151,-0.006755715584477647,242,0.027837124279290203,4,195.26048,714.0000000000271,False,4.160938260611147e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2024,0.10917487927707983,0.10917487927707983,0.10911385269615437,0.10573710554395163,1.0319353091313732,-0.06616422222891942,242,0.3502656739743753,21,720.5062200000001,2154.299999999955,False,1.0095391189679503e-10
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2025,0.1608022911053998,0.16009020980776525,0.14973913300685798,0.04924492492437142,3.0407018233213257,-0.008759073720699073,243,0.2101468514565566,23,669.0521000000001,1921.1000000000156,False,6.247447004170681e-11
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,2026,0.013017516819944638,0.021228296518870992,0.02515486486921391,0.09138598458509475,0.2752595486432689,-0.06718111998958119,149,0.2915321853355517,17,643.00854,2003.0999999999003,False,1.0400214023320586e-10
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2020,0.17258751790000013,0.17181949375682565,0.1608802588460303,0.06798754308783836,2.366319645323507,-0.026483519129743897,243,0.16763710901076354,16,264.59642,857.9000000000109,False,4.4565240386873484e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2021,0.10614481281781389,0.10568569493589822,0.10207258719108799,0.05675709853977637,1.7984109444839527,-0.018156697877418578,243,0.10880055869427979,14,230.08348,651.3000000000222,False,2.8194335754960775e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2022,0.0005069497618647745,0.0005069497618647745,0.0005962075389406296,0.013403821071565685,0.04448041612592097,-0.010408719095561675,242,0.024880653513770373,7,79.292,260.9999999999999,False,4.0245140553452075e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2023,0.005599359419785036,0.005599359419785036,0.005634972588653087,0.010148384164781555,0.5552581078087696,-0.006278402133468089,242,0.02405796907230943,5,177.83202,649.8000000000161,False,3.2599700716673397e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2024,0.04392608149421343,0.04392608149421343,0.04472001403940051,0.059037669257317044,0.757482715729974,-0.03380112805132886,242,0.24679234143856593,20,339.20814,1004.0999999999863,False,5.6843418860808015e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2025,0.13334614433903008,0.13276248407669683,0.12539769598952205,0.03776285318347245,3.3206626464444287,-0.007923887275823766,243,0.17986354381804853,14,395.66446,1141.4999999999982,False,5.417177817435004e-11
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,2026,0.017629423804647684,0.028790211232956418,0.029243582325638794,0.041611968394970146,0.7027685412058906,-0.026797077967117083,149,0.12086407300149374,17,278.19218,863.6999999999525,False,5.0590642786119133e-11
evaluation,BASE,BUY_HOLD,2020,0.2814884467999998,0.2801811402090982,0.27355207408866355,0.22973862748596008,1.1907099693340903,-0.16055455715202166,243,0.9980743079350705,1,39.91064,145.2000000000055,False,2.7284841053187847e-11
evaluation,BASE,BUY_HOLD,2021,-0.03909048117061911,-0.03893278801219865,-0.02383188177217863,0.17830056468572633,-0.13366128040135403,-0.16951436057712796,243,0.9850610403433633,0,0.0,0.0,False,8.185452315956354e-11
evaluation,BASE,BUY_HOLD,2022,-0.1955425417304226,-0.1955425417304226,-0.19953602070306542,0.18977907942455732,-1.0514121014186222,-0.2688464292333853,242,0.9646426639612224,0,0.0,0.0,False,2.8194335754960775e-11
evaluation,BASE,BUY_HOLD,2023,-0.0916107335204824,-0.0916107335204824,-0.08841361175105267,0.12407304945822596,-0.7125932032549951,-0.18895188368823768,242,0.9467762506277704,0,0.0,0.0,False,2.6147972675971687e-11
evaluation,BASE,BUY_HOLD,2024,0.15920797025504138,0.15920797025504138,0.16860164826666224,0.205190869607964,0.8216820202029026,-0.11679840124068283,242,0.9267134558125625,0,0.0,0.0,False,2.830802259268239e-11
evaluation,BASE,BUY_HOLD,2025,0.19000526796167636,0.1891536772596284,0.1826290577328328,0.13628707555074462,1.3400321123247918,-0.09414639544678001,243,0.9266042470655912,0,0.0,0.0,False,2.773958840407431e-11
evaluation,BASE,BUY_HOLD,2026,0.020090666215121258,0.03283455662211168,0.04677594553211755,0.1705115478268411,0.2743271416409857,-0.08979668519913939,149,0.9004276520099145,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2020,0.21665773640000008,0.21567625696077433,0.20724294703950352,0.15487438196415002,1.3381357485415224,-0.13532882139607713,243,0.43252233922946676,55,4072.8527200000008,10932.0000000001,False,4.412470389070222e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2021,-0.00010529567697374255,-0.00010486238415068701,0.008169500556125567,0.1287193733942286,0.06346752894068908,-0.15398477913023675,243,0.4502998427766501,51,3840.02176,10518.299999999866,False,4.354205884737894e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2022,-0.22293406921378575,-0.22293406921378575,-0.2404931513760076,0.1525610525915059,-1.5763731784149835,-0.25416711626900707,242,0.5485783132919013,55,4624.18004,12967.49999999996,False,2.773958840407431e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2023,-0.0694810318372632,-0.0694810318372632,-0.06471737798560817,0.12156362963917962,-0.5323745118313737,-0.11617768844297463,242,0.5806704260793064,63,4720.613600000001,13179.399999999958,False,3.3367086871294305e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2024,0.0952896619939235,0.0952896619939235,0.09885996811181275,0.12619498033034707,0.7833906535190381,-0.0991006031990461,242,0.6266679463530893,47,2748.84872,7881.299999999994,False,4.035882739117369e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2025,0.14898396517191648,0.14832749169185908,0.144851816991797,0.11352914453275553,1.2758998368916998,-0.07715588479879544,243,0.47775013166413705,63,4152.5098,11241.70000000004,False,4.101252670807298e-11
evaluation,STRESS,IDLE_RSI2_OPPORTUNITY,2026,0.02136162272854458,0.03492539557328359,0.04515029944558644,0.14767824957253312,0.30573425386797115,-0.08534396600536724,149,0.5801289721846922,42,3053.92448,8032.300000000062,False,3.7687186704715714e-11
evaluation,STRESS,IDLE_TREND_RSI2_OPPORTUNITY,2020,0.0302724709999995,0.03014603379080216,0.04346227722490185,0.16544005404746023,0.2627071024313961,-0.12902381099055046,243,0.3832227034584883,48,3043.7058,8218.500000000018,False,3.2457592169521376e-11
evaluation,STRESS,IDLE_TREND_RSI2_OPPORTUNITY,2021,0.034672532951722644,0.0345274122817452,0.040572254366927275,0.11534566377569803,0.3517449467872876,-0.1000649773915021,243,0.3557678110382612,44,2721.3687600000003,7673.699999999966,False,3.458922037680168e-11
