model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
SELECTED_MIX_BAND00_FULL,evaluation,BASE,ADD_GATE_EXPOSURE_105,-6671.656400000327,-7122.899999999965,1092.800000000001,531.4563999999996,110.10000000002765,0.0556567512348376
SELECTED_MIX_BAND00_FULL,evaluation,BASE,ADD_GATE_BAND20_LOWER01,10334.844620000047,9721.400000000023,1911.4000000000015,687.8553799999995,610.1000000000095,0.04521629608029931
SELECTED_MIX_BAND00_FULL,evaluation,BASE,INTENT_MIX_BAND_00,8419.203140000114,10229.099999999977,-2612.2999999999993,-95.80313999999998,-706.5999999999676,0.049466694124152166
SELECTED_MIX_BAND00_FULL,evaluation,BASE,INTENT_MIX_BAND_20,7263.566100000113,8371.899999999994,-1131.3999999999996,329.93389999999954,-352.99999999996726,0.06704217927698664
SELECTED_MIX_BAND00_FULL,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,5159.2503199998755,7392.200000000012,-2955.1000000000004,247.44967999999926,-969.5999999999513,0.05954410560384282
SELECTED_MIX_BAND00_FULL,evaluation,BASE,BUY_HOLD,141880.59416000018,167499.09999999998,-12725.7,3586.00584,9306.79999999985,1.0020686854808933
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,ADD_GATE_EXPOSURE_105,-7914.7218399998965,-8321.399999999936,1024.3999999999996,387.02184000000125,230.6999999999971,0.044803027089484804
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,8387.237439999764,8338.00000000003,1827.2000000000007,692.9625599999999,1085.0000000000036,0.0371959566951956
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,INTENT_MIX_BAND_00,8704.526719999849,9455.399999999994,-2506.6000000000004,-420.9267199999995,-1334.800000000003,0.050573388720611456
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,INTENT_MIX_BAND_20,7350.509279999766,7770.5,-1120.5999999999985,5.290720000000874,-705.9000000000124,0.06582126889826889
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,6234.014479999954,6973.200000000041,-2838.9000000000015,-312.3144799999991,-1787.4000000000087,0.06224382693408659
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,BUY_HOLD,127878.09767999992,163221.5,-12899.600000000002,6200.602320000001,16243.20000000004,0.9364635597349209
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,5822.5625799998525,6557.200000000012,-7.699999999999818,400.6374199999998,326.2999999999911,-0.0009225657527422992
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,ADD_GATE_BAND20_LOWER01,8933.185080000025,9720.800000000017,172.79999999999973,458.7149199999999,501.6999999999871,-0.01657237439386483
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,3923.522279999859,3701.8000000000175,-110.5,-73.32227999999986,-258.900000000006,0.04046095423580054
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,-3637.310339999909,-3140.7999999999593,38.90000000000009,354.7103400000003,180.69999999998163,-0.02648853563044007
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,TWO_CLOSE_ZERO_EXIT,-2383.134620000026,-2479.6999999999534,-35.0,234.1346199999998,-365.70000000001255,0.04181256298365299
