period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,4540.8000000000175,80.82624,211.20000000002364,0.0,2,1,1,2020-02-07,2020-02-06,False,4248.773759999994,0.02125016095565881
evaluation,BASE,2,2020-07-01,2020-06-30,204093.81060000003,33602.99999999997,88.28336000000002,292.2000000000111,0.0,9,1,1,2020-07-14,2020-07-13,False,33222.51663999996,0.1627806181007233
evaluation,BASE,3,2020-08-19,2020-08-18,237216.4338,-8912.099999999977,93.02674000000002,292.2000000000111,0.0,16,1,1,2020-09-10,2020-09-09,False,-9297.326739999988,-0.03919343441373322
evaluation,BASE,4,2021-01-05,2021-01-04,227380.26695999998,6917.399999999994,92.26616000000001,256.1999999999718,3074.3999999999996,12,1,1,2021-01-21,2021-01-20,False,9643.333840000023,0.04241060127568787
evaluation,BASE,5,2021-02-03,2021-02-02,237388.26815999998,-4406.399999999965,94.00319999999999,259.2000000000098,0.0,12,1,1,2021-02-26,2021-02-25,False,-4759.603199999975,-0.020049866983283253
evaluation,BASE,6,2021-06-08,2021-06-07,232894.5696,-4796.0,92.12720000000002,263.9999999999709,0.0,30,1,1,2021-07-21,2021-07-20,False,-5152.127199999971,-0.02212214397634444
evaluation,BASE,7,2021-10-29,2021-10-28,227699.5308,1288.0,91.26400000000001,276.00000000001046,0.0,16,1,1,2021-11-22,2021-11-19,False,920.7359999999894,0.004043644695995084
evaluation,BASE,8,2021-11-25,2021-11-24,228591.40914,3656.0,92.09464,274.2000000000104,0.0,10,1,1,2021-12-09,2021-12-08,False,3289.70535999999,0.014391202943174568
evaluation,BASE,9,2022-05-13,2022-05-12,231865.3638,5287.100000000006,93.72692,290.499999999968,0.0,6,1,1,2022-05-23,2022-05-20,False,4902.873080000038,0.021145344865864082
evaluation,BASE,10,2022-06-08,2022-06-07,236669.32439999998,-1468.999999999971,94.28719999999998,339.00000000001285,0.0,2,1,1,2022-06-10,2022-06-09,False,-1902.2871999999838,-0.008037742976715
evaluation,BASE,11,2022-08-10,2022-08-09,234265.3437,-1281.0999999999767,93.36434000000001,334.20000000001266,0.0,12,1,1,2022-08-26,2022-08-25,False,-1708.6643399999894,-0.007293713671058846
