cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,2020—2021,0.1565986604999994,0.07513088270235341,0.07337095170097221,0.04318863586090352,1.6988485567656286,-0.02370661194737582,486,0.06539784591578739,19,261.4679,741.2000000000089,False,3.5697667044587433e-11
BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,2022—2023,0.000497517781795548,0.0002487279580992039,0.0002936709046256203,0.00949784824893018,0.03091973012505215,-0.010437887092428082,484,0.01247255784215009,7,71.51432,233.69999999999985,False,2.914646302087931e-11
BASE,JOINT_DOWNSIDE_REFERENCE_PAIR,2024—终点,0.12034189300969958,0.044328874844735994,0.043831927803282926,0.030234652131924222,1.4497248922206578,-0.023701790478320925,634,0.07373238902887466,30,535.09592,1554.5999999999337,False,5.056222107668873e-11
BASE,DOWNSIDE_REFERENCE_RISK,2020—2021,0.1968037772999994,0.09358094565059773,0.09283675644359195,0.0829356636122736,1.1193828131358088,-0.07705222299235799,486,0.18458650472791538,22,506.74454000000003,1511.2000000000107,False,3.8198777474462986e-11
BASE,DOWNSIDE_REFERENCE_RISK,2022—2023,0.011595764287532733,0.005781171173696577,0.0060072893001865135,0.022075800965626984,0.27212101203214023,-0.031203325312090215,484,0.04499353370482722,7,155.3291,543.3999999999817,False,4.2518877307884395e-11
BASE,DOWNSIDE_REFERENCE_RISK,2024—终点,0.14876753199948745,0.054364613169545994,0.054850094592379536,0.062192370888988505,0.8819424924366575,-0.05901359134282678,634,0.17535654288113534,30,912.7763199999999,2722.0999999999594,False,6.332356861094013e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020—2021,0.11117704309999968,0.0538951985571874,0.05308355371565837,0.03444049645739012,1.5413120940731355,-0.011568221205928538,486,0.0443828641116421,11,200.79138,576.5000000000282,False,3.205968823749572e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022—2023,0.0007454493459376382,0.00037265523700598504,0.0004131831642703587,0.009023770807832943,0.045788304365144285,-0.00982083030256035,484,0.011362785966179444,6,64.53476,221.89999999999947,False,3.6266101233195513e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024—终点,0.11941762267172473,0.0439999303416302,0.043500811252148074,0.029697546892362512,1.464794766039596,-0.0230773650701304,634,0.07010398957776136,28,495.79248000000007,1464.0999999999367,False,4.695266397902742e-11
BASE,EQUAL_REFERENCE_PAIR,2020—2021,0.1525942957999983,0.07327577420966161,0.07180740033037696,0.04678432775840354,1.5348601502023014,-0.040476716239777125,486,0.11596197448693579,22,328.74084,980.6000000000149,False,3.5697667044587433e-11
BASE,EQUAL_REFERENCE_PAIR,2022—2023,0.006726832787784,0.003357779053804914,0.00345995388735415,0.014705506621343628,0.23528287575841556,-0.01917695689366574,484,0.027929782038266165,10,102.43818,353.6999999999947,False,2.3419488570652902e-11
BASE,EQUAL_REFERENCE_PAIR,2024—终点,0.1399653253164583,0.051273548169000684,0.05095409257342162,0.04376638535547658,1.1642289432761126,-0.03948762313040663,634,0.12415875853957674,37,649.8140000000001,1932.99999999994,False,6.912159733474255e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
BASE,COVARIANCE_REFERENCE_PAIR,2020—2021,0.16264949399999867,0.07792795517364969,0.07596885538585915,0.04315849692072987,1.7602294057041135,-0.021434055636740654,486,0.07334831017578296,20,269.4012,793.4000000000086,False,3.5697667044587433e-11
BASE,COVARIANCE_REFERENCE_PAIR,2022—2023,-9.375172875647501e-05,-4.6876963103072394e-05,2.3664926909028328e-05,0.011895679050085609,0.001989371670956272,-0.013732048780833499,484,0.01785800505524905,6,64.80008000000001,215.6000000000013,False,2.0691004465334117e-11
BASE,COVARIANCE_REFERENCE_PAIR,2024—终点,0.11675571280934825,0.043051626867043294,0.042616102481569086,0.030508406790551522,1.3968642405399985,-0.025098419148467742,634,0.07477900816962584,32,532.4512,1575.2999999999274,False,4.0813574742060155e-11
