period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,-18872.228180000093,-9368.600000000035,-12457.599999999999,-706.7718200000003,-2247.2000000000094,0.4404168400872649
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,10326.440479999728,10581.999999999985,118.40000000000003,106.95951999999988,266.9999999999777,0.04908752854766707
evaluation,BASE,EQUAL_REFERENCE_PAIR,-5265.085120000236,-357.40000000000873,-5858.400000000001,-212.91488000000015,-737.800000000007,0.1686481284032788
evaluation,BASE,COVARIANCE_REFERENCE_PAIR,-368.6256600001652,1357.0000000000146,-1778.9999999999998,1.4256599999999935,-54.79999999999518,0.0069656418150954025
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,-16007.145079999871,-9201.800000000017,-12250.3,-1443.15492,-4001.8000000000447,0.4376521615766771
evaluation,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,10003.227240000037,10531.199999999983,102.39999999999998,181.2727600000003,449.09999999999127,0.05259466615629327
evaluation,STRESS,EQUAL_REFERENCE_PAIR,-4241.192080000008,-250.70000000001164,-5798.8,-464.90791999999965,-1343.4000000000233,0.17328979197983374
evaluation,STRESS,COVARIANCE_REFERENCE_PAIR,-289.3903200001805,1377.100000000013,-1773.9,-18.409679999999753,-88.99999999999181,0.007819597744960216
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,-21914.67604000008,-21652.20000000001,-119.0,21.076040000000035,122.39999999997235,-0.15383395548025414
earlier_diagnostic,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,19821.870239999786,19725.600000000006,-189.0,-51.670240000000035,-233.59999999995125,0.3457837669434557
earlier_diagnostic,BASE,EQUAL_REFERENCE_PAIR,-2377.7073400002264,-2332.2999999999884,0.0,14.807340000000067,30.600000000015825,-0.018577367681963275
earlier_diagnostic,BASE,COVARIANCE_REFERENCE_PAIR,2036.5141599999624,1781.300000000003,0.0,-65.8141599999999,-189.400000000001,0.04621589903481749
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,-22561.5357200001,-22266.0,-119.0,41.23572000000013,135.30000000000655,-0.1532760573613533
earlier_diagnostic,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,25937.860599999956,25671.300000000025,-189.0,-100.5605999999998,-354.9999999999882,0.4052715731006163
earlier_diagnostic,STRESS,EQUAL_REFERENCE_PAIR,998.275239999959,1093.0000000000146,0.0,32.22476000000006,62.50000000001637,0.012166436303761241
earlier_diagnostic,STRESS,COVARIANCE_REFERENCE_PAIR,2112.625880000007,1665.5,0.0,-110.12588000000005,-337.00000000000455,0.0459408629969259
