cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,KERNEL_CONTINUATION_EXIT,2020—2021,0.04874765530000007,0.023983523195468964,0.03186232711602494,0.1282616323994441,0.2484166661531047,-0.17450085171536361,486,0.29101754315219036,16,694.16894,2079.000000000033,False,2.4414248400717042e-11
BASE,KERNEL_CONTINUATION_EXIT,2022—2023,-0.01862601561136459,-0.009356782495011774,-0.009141562133212322,0.02284007012166218,-0.40024229717851,-0.025657513286456365,484,0.024732670735095913,6,248.39804,801.0000000000225,False,2.6858515411731787e-11
BASE,KERNEL_CONTINUATION_EXIT,2024—终点,-0.016704536174544656,-0.00640940714563797,-0.004817129759860169,0.056947572227442324,-0.08458885201674769,-0.11598921860552158,634,0.11294690477586405,32,1338.90738,3905.80000000002,False,2.948752353404416e-11
BASE,REARM_RIDGE,2020—2021,0.1663198072000002,0.07962104264508806,0.08245522884674879,0.1086663946818792,0.7587923487121885,-0.10591213630792773,486,0.25676585593013096,16,729.43856,2141.999999999996,False,3.370814738445915e-11
BASE,REARM_RIDGE,2022—2023,0.005564228918978942,0.0027782551087647826,0.00329782320067995,0.032454496432216574,0.10161375350770512,-0.030540113727666924,484,0.04122834998925287,6,282.86591999999996,968.7999999999935,False,2.1827872842550278e-11
BASE,REARM_RIDGE,2024—终点,0.20707404360082232,0.0744794591835167,0.07471553416941837,0.0764354412650291,0.9774985652317071,-0.06698872331367774,634,0.1684463548693552,26,1365.41982,4075.8999999997973,False,5.3006488087703474e-11
BASE,REARM_NONE,2020—2021,0.04400220419999838,0.02167373207146734,0.03260098195186103,0.1496076638227211,0.21790983910083542,-0.1690496354794326,486,0.4183391228564302,9,380.55916,1126.800000000035,False,2.7284841053187847e-11
BASE,REARM_NONE,2022—2023,-0.02843483412254672,-0.014319947509612387,-0.012434896104338955,0.06313473880943042,-0.19695806680808756,-0.11206205692438281,484,0.18144360545945995,5,202.9059,669.4000000000328,False,2.773958840407431e-11
BASE,REARM_NONE,2024—终点,0.23248055417211846,0.08305639228313215,0.08892454618756561,0.13553448234509594,0.6561027470569978,-0.12525382746917782,634,0.4402765724393236,14,666.8427200000001,2078.200000000024,False,7.02584657119587e-11
BASE,PANIC_LEARNED_HALF,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
BASE,PANIC_LEARNED_HALF,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
BASE,PANIC_LEARNED_HALF,2024—终点,0.13180497389751084,0.048394673069243534,0.04804920910390732,0.039818332111038364,1.2067107424267831,-0.03388600456308931,634,0.09226087694246554,27,694.01986,2054.4999999999045,False,4.369127282188856e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,KERNEL_CONTINUATION_EXIT,2020—2021,0.037603988599999395,0.01855111695930982,0.02654365133222805,0.1282665848500811,0.2069412806402576,-0.17841208880968254,486,0.29103230956811943,16,1380.9022800000002,3645.2000000000153,False,2.7341684472048655e-11
STRESS,KERNEL_CONTINUATION_EXIT,2022—2023,-0.02265475794066367,-0.011392270888328362,-0.011193334214915307,0.023053257555872453,-0.48554240925764447,-0.029000726221765125,484,0.024729803920803727,6,490.53344000000004,1387.2000000000232,False,3.035438567167148e-11
STRESS,KERNEL_CONTINUATION_EXIT,2024—终点,-0.038828733070351826,-0.015002795595529002,-0.013494764174115173,0.05708719974773026,-0.2363886166031767,-0.12099557211903592,634,0.1129429072316364,32,2607.02284,7133.700000000019,False,3.387867764104158e-11
STRESS,REARM_RIDGE,2020—2021,0.1534213118000006,0.0736591720527704,0.07691879291146698,0.10868793563756615,0.7077031361416465,-0.1097248154870254,486,0.25684944139663235,16,1451.2376400000003,3926.700000000021,False,2.6830093702301383e-11
