cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_TREND_REBOUND__RIDGE,趋势突破与震荡反弹切换＋线性退出,0.045845358500000925,0.006785871994890112,0.010819157913374577,0.09021544403115994,0.11992578465431812,-0.2082835039702082,1604,0.15531341296591009,132,5447.9283,17075.50000000008,False,4.11262135457946e-11,-0.029471599650726862,False
BASE,S1_TREND_REBOUND__TREE,趋势突破与震荡反弹切换＋两层树退出,0.17935632860000056,0.02520163318494618,0.028985810562629718,0.09067407671794243,0.31967031385161104,-0.17442827735844046,1604,0.14664673737486114,132,5782.334280000001,18137.00000000005,False,3.565503448044183e-11,-0.011055838460670795,False
BASE,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,趋势突破与震荡反弹切换＋原退出,0.3582429613000024,0.047279697919939204,0.05203133868232328,0.10825268371873686,0.48064710171538644,-0.17429679488992103,1604,0.23671361548244163,106,5250.707740000001,16296.500000000065,False,5.2523319027386606e-11,0.011022226274322228,False
BASE,R2_Z_CONFIRM__RIDGE,偏离均值后首日回升＋线性退出,0.015851817600000064,0.002375668128674563,0.0039510083535485565,0.05613309394471097,0.07038643473741452,-0.21988095175918565,1604,0.08812246228823052,52,2154.03648,6341.400000000147,False,3.7061909097246826e-11,-0.033881803516942414,False
BASE,R2_Z_CONFIRM__TREE,偏离均值后首日回升＋两层树退出,0.02392342210000012,0.0035732649869976542,0.004916668160662788,0.051996220807856895,0.09455818296547917,-0.1882999117294467,1604,0.08312835236699594,52,2129.81558,6271.000000000093,False,3.7061909097246826e-11,-0.03268420665861932,False
BASE,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,偏离均值后首日回升＋原退出,0.16770488200000178,0.023667072559537716,0.025817734284865886,0.06970302346044423,0.37039618947831143,-0.15391242204842237,1604,0.1340446327381231,50,2260.0236000000004,6703.400000000063,False,3.282707439211663e-11,-0.01259039908607926,False
BASE,D60_INTRA__RIDGE,六十日日内强于隔夜＋线性退出,0.006933353299999373,0.0010429884269780242,0.0062377954537709964,0.10223122672040409,0.06101653725461958,-0.2683710551530366,1604,0.3101114125615342,144,5900.029340000001,18120.199999999724,False,3.9619862945983186e-11,-0.03521448321863895,False
BASE,D60_INTRA__TREE,六十日日内强于隔夜＋两层树退出,0.07533378359999982,0.011018319649775503,0.0151544508252045,0.09176899339048972,0.1651369407608104,-0.23879695261087092,1604,0.24034140300758927,188,7929.543280000001,24230.500000000044,False,3.5356606531422585e-11,-0.025239151995841473,False
BASE,D60_INTRA__CLOSE_NEXT_OPEN,六十日日内强于隔夜＋原退出,0.4200536540000012,0.05433505743075152,0.06166879936140185,0.13251919008289367,0.46535750273471077,-0.21761332792034557,1604,0.4569487661241972,36,1731.0692000000001,5338.199999999964,False,5.093170329928398e-11,0.01807758578513454,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,S1_TREND_REBOUND__RIDGE,趋势突破与震荡反弹切换＋线性退出,-0.0454779186000015,-0.006997701453795927,-0.002956489446954204,0.09031242038974631,-0.03273624418651802,-0.23266287750405634,1604,0.1553174315623479,132,10410.38372,29185.400000000074,False,3.629452294262592e-11,-0.04308264596753857,False
STRESS,S1_TREND_REBOUND__TREE,趋势突破与震荡反弹切换＋两层树退出,0.025049583200001464,0.0037397175256973134,0.007760023161253842,0.0899017750667841,0.0863166845759081,-0.2038648554461374,1604,0.14225532379162445,132,10657.68336,29881.200000000143,False,4.243361217959318e-11,-0.03234522698804533,False
STRESS,S1_TREND_REBOUND__CLOSE_NEXT_OPEN,趋势突破与震荡反弹切换＋原退出,0.26155696080000185,0.03567645456455206,0.04088555401048567,0.10822206191252165,0.3777931531514747,-0.1972793291889378,1604,0.23666456310844947,106,10110.40784,28249.50000000005,False,4.058620106661692e-11,-0.00040848994919058523,False
STRESS,R2_Z_CONFIRM__RIDGE,偏离均值后首日回升＋线性退出,-0.006469627799999989,-0.0009787828141485779,0.0005964992261733644,0.05608114118853664,0.010636360343810066,-0.23002082364045665,1604,0.0887225271491921,52,4250.025560000001,11628.200000000066,False,3.572608875401784e-11,-0.037063727327891226,False
STRESS,R2_Z_CONFIRM__TREE,偏离均值后首日回升＋两层树退出,-0.012823800399999039,-0.0019453807867773445,-0.0005959626584982078,0.05201643818638537,-0.011457198517952221,-0.20543277051535946,1604,0.08311604930640412,52,4183.560080000001,11406.000000000091,False,2.76543232757831e-11,-0.03803032530051999,False
STRESS,R2_Z_CONFIRM__CLOSE_NEXT_OPEN,偏离均值后首日回升＋原退出,0.1276542904000001,0.018291073337305782,0.020548926908292454,0.06965614253699935,0.2950052380143998,-0.1693117977204964,1604,0.13399032179493472,50,4440.04192,12120.90000000008,False,3.041122909053229e-11,-0.017793871176436864,False
STRESS,D60_INTRA__RIDGE,六十日日内强于隔夜＋线性退出,-0.08825360160000023,-0.013842945463387766,-0.00872541030092564,0.10240460207727509,-0.08520525566166837,-0.30256873756287217,1604,0.3101518405846704,144,11222.52032,31035.49999999997,False,3.5697667044587433e-11,-0.049927889977130414,False
