period,cost,cycle_id,entry_origin,locked_anchor_date,holding_closes,maximum_weighted_price_error
evaluation,BASE,1,2020-02-04,2019-01-02,29,8.881784197001252e-16
evaluation,BASE,2,2020-04-07,2019-01-02,1,0.0
evaluation,BASE,3,2020-04-14,2019-01-02,60,6.661338147750939e-16
evaluation,BASE,4,2022-01-17,2022-01-14,6,4.440892098500626e-16
evaluation,BASE,5,2022-02-07,2022-01-28,4,0.0
evaluation,BASE,6,2022-02-23,2022-02-14,1,4.440892098500626e-16
evaluation,BASE,7,2022-03-16,2022-03-15,8,4.440892098500626e-16
evaluation,BASE,8,2022-04-14,2022-03-15,2,0.0
evaluation,BASE,9,2022-04-27,2022-04-26,5,0.0
evaluation,BASE,10,2022-08-05,2022-04-26,13,2.220446049250313e-16
evaluation,BASE,11,2022-09-13,2022-04-26,1,0.0
evaluation,BASE,12,2022-10-26,2022-10-25,1,0.0
evaluation,BASE,13,2022-11-01,2022-10-31,19,4.440892098500626e-16
evaluation,BASE,14,2023-03-21,2022-10-31,24,4.440892098500626e-16
evaluation,BASE,15,2023-05-15,2022-10-31,2,4.440892098500626e-16
evaluation,BASE,16,2023-06-16,2022-10-31,1,0.0
evaluation,BASE,17,2023-07-25,2022-10-31,13,6.661338147750939e-16
evaluation,BASE,18,2023-12-19,2023-12-18,1,0.0
evaluation,BASE,19,2023-12-27,2023-12-20,5,2.220446049250313e-16
evaluation,BASE,20,2024-01-11,2024-01-10,1,0.0
evaluation,BASE,21,2024-01-18,2024-01-17,2,4.440892098500626e-16
evaluation,BASE,22,2024-07-11,2024-02-02,8,4.440892098500626e-16
evaluation,BASE,23,2024-07-31,2024-02-02,1,0.0
evaluation,BASE,24,2024-09-25,2024-02-02,5,4.440892098500626e-16
evaluation,BASE,25,2025-04-09,2024-02-02,60,6.661338147750939e-16
evaluation,STRESS,1,2020-02-04,2019-01-02,29,8.881784197001252e-16
evaluation,STRESS,2,2020-04-07,2019-01-02,1,0.0
evaluation,STRESS,3,2020-04-14,2019-01-02,60,6.661338147750939e-16
evaluation,STRESS,4,2022-01-17,2022-01-14,6,4.440892098500626e-16
evaluation,STRESS,5,2022-02-07,2022-01-28,4,0.0
evaluation,STRESS,6,2022-02-23,2022-02-14,1,4.440892098500626e-16
evaluation,STRESS,7,2022-03-16,2022-03-15,8,4.440892098500626e-16
evaluation,STRESS,8,2022-04-14,2022-03-15,2,0.0
evaluation,STRESS,9,2022-04-27,2022-04-26,5,0.0
evaluation,STRESS,10,2022-08-05,2022-04-26,13,2.220446049250313e-16
evaluation,STRESS,11,2022-09-13,2022-04-26,1,0.0
evaluation,STRESS,12,2022-10-26,2022-10-25,1,0.0
evaluation,STRESS,13,2022-11-01,2022-10-31,19,4.440892098500626e-16
evaluation,STRESS,14,2023-03-21,2022-10-31,24,4.440892098500626e-16
evaluation,STRESS,15,2023-05-15,2022-10-31,2,4.440892098500626e-16
evaluation,STRESS,16,2023-06-16,2022-10-31,1,0.0
evaluation,STRESS,17,2023-07-25,2022-10-31,13,6.661338147750939e-16
evaluation,STRESS,18,2023-12-19,2023-12-18,1,0.0
evaluation,STRESS,19,2023-12-27,2023-12-20,5,2.220446049250313e-16
evaluation,STRESS,20,2024-01-11,2024-01-10,1,0.0
evaluation,STRESS,21,2024-01-18,2024-01-17,2,4.440892098500626e-16
evaluation,STRESS,22,2024-07-11,2024-02-02,8,4.440892098500626e-16
evaluation,STRESS,23,2024-07-31,2024-02-02,1,0.0
evaluation,STRESS,24,2024-09-25,2024-02-02,5,4.440892098500626e-16
evaluation,STRESS,25,2025-04-09,2024-02-02,60,6.661338147750939e-16
earlier_diagnostic,BASE,1,2015-07-09,2014-03-20,12,2.220446049250313e-16
earlier_diagnostic,BASE,2,2015-10-12,2014-03-20,1,2.220446049250313e-16
earlier_diagnostic,BASE,3,2015-11-04,2014-03-20,42,4.440892098500626e-16
earlier_diagnostic,BASE,4,2016-01-29,2016-01-28,14,4.440892098500626e-16
earlier_diagnostic,BASE,5,2016-03-02,2016-01-28,46,2.220446049250313e-16
earlier_diagnostic,BASE,6,2016-05-31,2016-01-28,7,2.220446049250313e-16
earlier_diagnostic,BASE,7,2016-06-27,2016-01-28,60,4.440892098500626e-16
earlier_diagnostic,BASE,8,2018-06-29,2018-06-28,1,0.0
earlier_diagnostic,BASE,9,2018-07-06,2018-07-05,18,2.220446049250313e-16
earlier_diagnostic,BASE,10,2018-08-07,2018-08-06,6,2.220446049250313e-16
earlier_diagnostic,BASE,11,2018-08-20,2018-08-17,10,4.440892098500626e-16
earlier_diagnostic,BASE,12,2018-09-13,2018-09-12,2,0.0
earlier_diagnostic,BASE,13,2018-10-12,2018-10-11,1,2.220446049250313e-16
earlier_diagnostic,BASE,14,2018-10-19,2018-10-18,5,0.0
earlier_diagnostic,BASE,15,2018-11-01,2018-10-18,6,0.0
earlier_diagnostic,BASE,16,2018-12-03,2018-10-18,3,0.0
earlier_diagnostic,BASE,17,2018-12-13,2018-10-18,1,4.440892098500626e-16
earlier_diagnostic,BASE,18,2018-12-24,2018-12-21,1,2.220446049250313e-16
earlier_diagnostic,BASE,19,2019-01-04,2019-01-02,60,2.220446049250313e-16
earlier_diagnostic,BASE,20,2019-05-10,2019-01-02,1,0.0
earlier_diagnostic,BASE,21,2019-06-11,2019-01-02,41,4.440892098500626e-16
earlier_diagnostic,STRESS,1,2015-07-09,2014-03-20,12,2.220446049250313e-16
earlier_diagnostic,STRESS,2,2015-10-12,2014-03-20,1,2.220446049250313e-16
earlier_diagnostic,STRESS,3,2015-11-04,2014-03-20,42,4.440892098500626e-16
earlier_diagnostic,STRESS,4,2016-01-29,2016-01-28,14,4.440892098500626e-16
earlier_diagnostic,STRESS,5,2016-03-02,2016-01-28,46,2.220446049250313e-16
earlier_diagnostic,STRESS,6,2016-05-31,2016-01-28,7,2.220446049250313e-16
