cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,MARGINAL_MONOTONE_EXIT,原八因素保序曲线等权平均后固定版本退出,0.4587038519000002,0.0778325843687236,0.0834914349024375,0.13004626394777294,0.6420133294714869,-0.1379164435416316,1219,0.27810545717301216,18,912.52962,2665.800000000002,False,5.661604518536478e-11,0.03887135617207968,False
BASE,ENTRY_VINTAGE_EXIT,第128轮进入时固定原退出模型,0.5253358870999989,0.08743256979403936,0.09094515634307851,0.11872124747234686,0.7660394266347471,-0.1379164435416316,1219,0.22567561959003382,18,926.92258,2698.600000000003,False,5.638867150992155e-11,0.04847134159739544,False
BASE,VINTAGE_REFERENCE_RISK,第131轮固定版本与普通波动预算,0.31118657249999926,0.05525921391988411,0.055183569293453694,0.05278706036029318,1.0453995527844013,-0.03954736653045395,1219,0.11842000438341128,33,485.98550000000006,1418.3000000000072,False,5.67297320230864e-11,0.016297985723240184,False
BASE,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.2940723642999991,0.05251039130251532,0.05250124030284173,0.05136491082550617,1.0221226798425842,-0.04197791619990116,1219,0.11337488663855581,37,546.8271400000001,1602.2000000000269,False,4.604316927725449e-11,0.013549163105871398,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,MARGINAL_MONOTONE_EXIT,原八因素保序曲线等权平均后固定版本退出,0.43824537619999865,0.07481455243709655,0.08068255356216407,0.13001311921476083,0.6205724010735365,-0.1391665613986051,1219,0.2780370454158312,18,1811.02476,5188.100000000004,False,7.003109203651547e-11,0.03611428035140987,False
STRESS,ENTRY_VINTAGE_EXIT,第128轮进入时固定原退出模型,0.5412832430000003,0.08968020172113511,0.09308895844684163,0.1193833489138116,0.7797482588132696,-0.1391665613986051,1219,0.23052089796794356,18,1842.4514,5252.900000000003,False,7.003109203651547e-11,0.05097992963544844,False
STRESS,VINTAGE_REFERENCE_RISK,第131轮固定版本与普通波动预算,0.31967028759999794,0.05661119068058205,0.05648916402425103,0.05325989979110238,1.0606321875522593,-0.0403384696273853,1219,0.121262865242272,33,967.14248,2786.8999999999896,False,4.6270542952697724e-11,0.017910918594895374,False
STRESS,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.3067993049999977,0.05455730048699888,0.05448751824980971,0.05220161461796962,1.0437899028328752,-0.04331005882257805,1219,0.11705214487437679,37,1088.239,3111.7000000000075,False,4.6270542952697724e-11,0.015857028401312208,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
