period,cost,comparison,terminal_nav_difference,sharpe_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,ENTRY_VINTAGE_EXIT,-122758.67482000013,-0.9406490056662872,-115878.90000000001,-6398.700000000001,137.27482000000055,343.80000000005475
evaluation,BASE,VINTAGE_REFERENCE_RISK,-65478.39828000005,-0.8023969723862773,-59043.4,-2771.8999999999996,931.8982800000003,2731.200000000026
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-76607.47040000005,-1.3477631016256382,-76762.99999999997,5291.5999999999985,1285.1704000000004,3850.900000000065
evaluation,BASE,BUY_HOLD,-63456.46199999997,-0.3446708039658216,-38928.8,-15786.200000000003,2204.0620000000004,6537.400000000007
evaluation,STRESS,ENTRY_VINTAGE_EXIT,-121573.67156000016,-0.9619708410190964,-114447.50000000001,-6256.5,249.47155999999995,620.1999999999898
evaluation,STRESS,VINTAGE_REFERENCE_RISK,-67861.14388000025,-0.8175824666932513,-58465.000000000015,-2780.8999999999996,1800.74388,4814.500000000004
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-80356.22144,-1.362338365047592,-76181.99999999999,5138.4,2521.3214399999997,6791.300000000037
evaluation,STRESS,BUY_HOLD,-70578.11572000009,-0.4173980208448948,-38631.80000000002,-15960.500000000002,4316.91572,11668.90000000007
earlier_diagnostic,BASE,ENTRY_VINTAGE_EXIT,-13326.407039999845,-0.12402609716326018,-13373.599999999991,0.0,-14.392960000000016,-32.80000000000109
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,29503.45588000008,-0.4033862233129144,29882.50000000003,1295.0,426.54411999999996,1247.4999999999948
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,32926.29752000002,-0.3801093503710973,33060.60000000003,1295.0,365.7024799999999,1063.5999999999751
earlier_diagnostic,BASE,BUY_HOLD,49278.57613999999,0.36329134331893487,67619.1,-15124.199999999997,827.52386,2388.800000000008
earlier_diagnostic,STRESS,ENTRY_VINTAGE_EXIT,-20607.573360000155,-0.15917585773973308,-20703.800000000003,0.0,-31.426639999999907,-64.79999999999927
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,23715.017719999887,-0.4400597864787228,25665.100000000006,1295.0,843.88228,2401.2000000000144
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,26289.214239999943,-0.4232175017593387,27793.4,1295.0,722.78576,2076.3999999999965
earlier_diagnostic,STRESS,BUY_HOLD,45493.48675999991,0.342864626892812,66948.2,-15124.199999999997,1641.01324,4689.50000000001
