拟合收盘,成熟参考周期,状态行数,周期目标平均值,周期截距,新周期使用的平均截距
2017-03-01,1,59,0.02092881846220858,-0.0005713473358004879,0.02074629519537237
2017-03-01,2,52,0.09501125267143296,0.2280974612069224,0.02074629519537237
2017-03-01,3,6,-0.03344760127158214,-0.06277470985158966,0.02074629519537237
2017-03-01,4,59,0.17983739018447756,0.2938754644463661,0.02074629519537237
2017-03-01,5,25,-0.08038605495456558,-0.038691836662886135,0.02074629519537237
2017-03-01,6,59,0.024250487101779742,0.04821627045734839,0.02074629519537237
2017-03-01,8,1,-0.025405979073243636,-0.14840779093086212,0.02074629519537237
2017-03-01,9,59,0.027753862878604908,-0.03144933604692499,0.02074629519537237
2017-03-01,10,59,0.008058596622428638,-0.021515219117426508,0.02074629519537237
2017-03-01,11,59,-0.009137820667817292,-0.059316004211423225,0.02074629519537237
2017-04-05,1,59,0.02092881846220858,-0.0005713473358004879,0.02074629519537237
2017-04-05,2,52,0.09501125267143296,0.2280974612069224,0.02074629519537237
2017-04-05,3,6,-0.03344760127158214,-0.06277470985158966,0.02074629519537237
2017-04-05,4,59,0.17983739018447756,0.2938754644463661,0.02074629519537237
2017-04-05,5,25,-0.08038605495456558,-0.038691836662886135,0.02074629519537237
2017-04-05,6,59,0.024250487101779742,0.04821627045734839,0.02074629519537237
2017-04-05,8,1,-0.025405979073243636,-0.14840779093086212,0.02074629519537237
2017-04-05,9,59,0.027753862878604908,-0.03144933604692499,0.02074629519537237
2017-04-05,10,59,0.008058596622428638,-0.021515219117426508,0.02074629519537237
2017-04-05,11,59,-0.009137820667817292,-0.059316004211423225,0.02074629519537237
2017-05-02,1,59,0.02092881846220858,-0.0005713473358004879,0.02074629519537237
2017-05-02,2,52,0.09501125267143296,0.2280974612069224,0.02074629519537237
2017-05-02,3,6,-0.03344760127158214,-0.06277470985158966,0.02074629519537237
2017-05-02,4,59,0.17983739018447756,0.2938754644463661,0.02074629519537237
2017-05-02,5,25,-0.08038605495456558,-0.038691836662886135,0.02074629519537237
2017-05-02,6,59,0.024250487101779742,0.04821627045734839,0.02074629519537237
2017-05-02,8,1,-0.025405979073243636,-0.14840779093086212,0.02074629519537237
2017-05-02,9,59,0.027753862878604908,-0.03144933604692499,0.02074629519537237
2017-05-02,10,59,0.008058596622428638,-0.021515219117426508,0.02074629519537237
2017-05-02,11,59,-0.009137820667817292,-0.059316004211423225,0.02074629519537237
2017-06-01,1,59,0.02092881846220858,0.00354763591873453,0.015678196546856506
2017-06-01,2,52,0.09501125267143296,0.23430203381253872,0.015678196546856506
2017-06-01,3,6,-0.03344760127158214,-0.05840981967715979,0.015678196546856506
2017-06-01,4,59,0.17983739018447756,0.29982554694802377,0.015678196546856506
2017-06-01,5,25,-0.08038605495456558,-0.033813769773601766,0.015678196546856506
2017-06-01,6,59,0.024250487101779742,0.05296878258284648,0.015678196546856506
2017-06-01,8,1,-0.025405979073243636,-0.14296489919355218,0.015678196546856506
2017-06-01,9,59,0.027753862878604908,-0.027725252469496503,0.015678196546856506
2017-06-01,10,59,0.008058596622428638,-0.01712711052472109,0.015678196546856506
2017-06-01,11,59,-0.009137820667817292,-0.055013438261685144,0.015678196546856506
2017-06-01,12,59,-0.035002789938302165,-0.08312954734650543,0.015678196546856506
2017-07-03,1,59,0.02092881846220858,0.00354763591873453,0.015678196546856506
2017-07-03,2,52,0.09501125267143296,0.23430203381253872,0.015678196546856506
2017-07-03,3,6,-0.03344760127158214,-0.05840981967715979,0.015678196546856506
2017-07-03,4,59,0.17983739018447756,0.29982554694802377,0.015678196546856506
2017-07-03,5,25,-0.08038605495456558,-0.033813769773601766,0.015678196546856506
2017-07-03,6,59,0.024250487101779742,0.05296878258284648,0.015678196546856506
2017-07-03,8,1,-0.025405979073243636,-0.14296489919355218,0.015678196546856506
2017-07-03,9,59,0.027753862878604908,-0.027725252469496503,0.015678196546856506
2017-07-03,10,59,0.008058596622428638,-0.01712711052472109,0.015678196546856506
2017-07-03,11,59,-0.009137820667817292,-0.055013438261685144,0.015678196546856506
2017-07-03,12,59,-0.035002789938302165,-0.08312954734650543,0.015678196546856506
2017-08-01,1,59,0.02092881846220858,0.00354763591873453,0.015678196546856506
2017-08-01,2,52,0.09501125267143296,0.23430203381253872,0.015678196546856506
2017-08-01,3,6,-0.03344760127158214,-0.05840981967715979,0.015678196546856506
2017-08-01,4,59,0.17983739018447756,0.29982554694802377,0.015678196546856506
2017-08-01,5,25,-0.08038605495456558,-0.033813769773601766,0.015678196546856506
2017-08-01,6,59,0.024250487101779742,0.05296878258284648,0.015678196546856506
2017-08-01,8,1,-0.025405979073243636,-0.14296489919355218,0.015678196546856506
2017-08-01,9,59,0.027753862878604908,-0.027725252469496503,0.015678196546856506
2017-08-01,10,59,0.008058596622428638,-0.01712711052472109,0.015678196546856506
2017-08-01,11,59,-0.009137820667817292,-0.055013438261685144,0.015678196546856506
2017-08-01,12,59,-0.035002789938302165,-0.08312954734650543,0.015678196546856506
2017-09-01,1,59,0.02092881846220858,0.0032579525964017454,0.015816763392372053
2017-09-01,2,52,0.09501125267143296,0.23548265013880457,0.015816763392372053
2017-09-01,3,6,-0.03344760127158214,-0.059232630784760126,0.015816763392372053
2017-09-01,4,59,0.17983739018447756,0.30111743408904734,0.015816763392372053
2017-09-01,5,25,-0.08038605495456558,-0.03393628161803954,0.015816763392372053
2017-09-01,6,59,0.024250487101779742,0.053650616751389615,0.015816763392372053
2017-09-01,8,1,-0.025405979073243636,-0.14226315597871356,0.015816763392372053
2017-09-01,9,59,0.027753862878604908,-0.028239183264845057,0.015816763392372053
2017-09-01,10,59,0.008058596622428638,-0.017040357716266476,0.015816763392372053
2017-09-01,11,59,-0.009137820667817292,-0.05525693914049049,0.015816763392372053
2017-09-01,12,59,-0.035002789938302165,-0.0833476645538094,0.015816763392372053
2017-09-01,13,59,0.01734099869304303,0.015608720189746052,0.015816763392372053
2017-10-09,1,59,0.02092881846220858,0.0032579525964017454,0.015816763392372053
2017-10-09,2,52,0.09501125267143296,0.23548265013880457,0.015816763392372053
2017-10-09,3,6,-0.03344760127158214,-0.059232630784760126,0.015816763392372053
2017-10-09,4,59,0.17983739018447756,0.30111743408904734,0.015816763392372053
2017-10-09,5,25,-0.08038605495456558,-0.03393628161803954,0.015816763392372053
2017-10-09,6,59,0.024250487101779742,0.053650616751389615,0.015816763392372053
2017-10-09,8,1,-0.025405979073243636,-0.14226315597871356,0.015816763392372053
2017-10-09,9,59,0.027753862878604908,-0.028239183264845057,0.015816763392372053
2017-10-09,10,59,0.008058596622428638,-0.017040357716266476,0.015816763392372053
2017-10-09,11,59,-0.009137820667817292,-0.05525693914049049,0.015816763392372053
2017-10-09,12,59,-0.035002789938302165,-0.0833476645538094,0.015816763392372053
2017-10-09,13,59,0.01734099869304303,0.015608720189746052,0.015816763392372053
2017-11-01,1,59,0.02092881846220858,0.0032579525964017454,0.015816763392372053
2017-11-01,2,52,0.09501125267143296,0.23548265013880457,0.015816763392372053
2017-11-01,3,6,-0.03344760127158214,-0.059232630784760126,0.015816763392372053
2017-11-01,4,59,0.17983739018447756,0.30111743408904734,0.015816763392372053
2017-11-01,5,25,-0.08038605495456558,-0.03393628161803954,0.015816763392372053
2017-11-01,6,59,0.024250487101779742,0.053650616751389615,0.015816763392372053
2017-11-01,8,1,-0.025405979073243636,-0.14226315597871356,0.015816763392372053
2017-11-01,9,59,0.027753862878604908,-0.028239183264845057,0.015816763392372053
2017-11-01,10,59,0.008058596622428638,-0.017040357716266476,0.015816763392372053
2017-11-01,11,59,-0.009137820667817292,-0.05525693914049049,0.015816763392372053
2017-11-01,12,59,-0.035002789938302165,-0.0833476645538094,0.015816763392372053
2017-11-01,13,59,0.01734099869304303,0.015608720189746052,0.015816763392372053
2017-12-01,1,59,0.02092881846220858,0.003870030539481005,0.01800962582160404
