cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,MEAN_REBOUND_AUX_25,2020—2021,0.45404358360000113,0.20490884010014573,0.19004216071886845,0.08546853562336339,2.223533600205023,-0.03912123511163822,486,0.21752865787723746,48,1035.78328,3118.5000000000573,False,6.002665031701326e-11
BASE,MEAN_REBOUND_AUX_25,2022—2023,-0.01737340027831574,-0.008724760865235643,-0.007915364777773604,0.041259036149554944,-0.1918456056288408,-0.04919001086266067,484,0.10414848603307414,34,816.9362400000001,2677.6000000000286,False,6.630784810113255e-11
BASE,MEAN_REBOUND_AUX_25,2024—终点,0.3288142169290144,0.11461976199006962,0.11226200846975347,0.08682072891468179,1.2930323192756499,-0.06805860062425798,634,0.3033034231471188,71,2232.93952,6690.599999999875,False,7.474909580196254e-11
BASE,MEAN_REBOUND_AUX_50,2020—2021,0.5041376776999997,0.22540318789792385,0.20726945142334044,0.08947671021979153,2.3164625846681397,-0.039588243594170985,486,0.23627835050262433,48,1149.06446,3460.400000000054,False,6.187406142998952e-11
BASE,MEAN_REBOUND_AUX_50,2022—2023,-0.04663941688321431,-0.023598144657239147,-0.022233659411775908,0.057445585810864765,-0.38703860528080514,-0.07847618956528535,484,0.15142984091859477,34,1118.12084,3540.4000000000583,False,9.305267667514272e-11
BASE,MEAN_REBOUND_AUX_50,2024—终点,0.3533679774498778,0.12243681724088165,0.11942832284160591,0.08882033374089755,1.3446056529127275,-0.07041065378201293,634,0.3241911570431019,72,2429.08364,7291.499999999876,False,1.2377654456940945e-10
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2020—2021,0.39602643430000034,0.1807248016481908,0.16953775905385926,0.08289754534005311,2.0451481205915116,-0.04035974893668246,486,0.19755624656504853,41,915.1131399999999,2753.0000000000573,False,5.016431714466307e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2022—2023,0.012196962522803521,0.006079998073117206,0.006646062893251592,0.03428362103304844,0.19385533654233827,-0.030587599670722443,484,0.05734885168859578,13,523.04358,1834.6999999999996,False,7.275957614183426e-11
BASE,ACCOUNT_VOLATILITY_EXPOSURE,2024—终点,0.304293220214906,0.10672349096379523,0.10495305447736393,0.08453277380708875,1.2415664333560859,-0.06718111998958122,634,0.2827575293702513,61,2032.5668600000004,6078.499999999871,False,1.0400214023320586e-10
BASE,R2_Z_CONFIRM,2020—2021,0.2264571892,0.10699022078897015,0.1035213548627969,0.06117230132272791,1.6922913250663443,-0.04751130662582452,486,0.10217261996402936,12,542.3621600000001,1627.9999999999795,False,3.282707439211663e-11
