cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
BASE,1,2015-06-24,2015-06-23,199908.07362,-14469.900000000023,77.00322000000001,250.19999999997245,0.0,3,1,1,2015-06-29,2015-06-26,False,-14797.103219999995,-0.07401953784081487
BASE,2,2015-08-27,2015-08-26,185037.0,16280.0,77.20864,236.8000000000002,0.0,10,1,1,2015-09-14,2015-09-11,False,15965.991359999998,0.08628539892021594
BASE,3,2015-12-01,2015-11-30,200533.69872000001,9952.399999999994,82.14344,222.3999999999755,0.0,3,1,1,2015-12-04,2015-12-03,False,9647.856560000018,0.04811089917346545
BASE,4,2016-01-13,2016-01-12,210610.6137,-21345.29999999999,79.90706,256.4000000000287,3269.1,10,1,1,2016-01-27,2016-01-26,False,-18412.507060000018,-0.0874244024863217
BASE,5,2016-05-12,2016-05-11,191413.27500000002,-125.0,76.47500000000001,250.00000000000023,0.0,10,1,1,2016-05-26,2016-05-25,False,-451.47500000000025,-0.002358639963712027
BASE,6,2016-09-20,2016-09-19,191717.73588,2423.399999999994,77.11028,230.80000000002582,0.0,10,1,1,2016-10-11,2016-10-10,False,2115.4897199999687,0.011034397575632212
BASE,7,2017-05-10,2017-05-09,194061.70458,4689.899999999994,78.50082,231.6000000000002,0.0,5,1,1,2017-05-17,2017-05-16,False,4379.799179999994,0.022569105993781816
BASE,8,2018-02-13,2018-02-12,198341.06028,6325.0,80.53496,253.00000000001708,0.0,10,1,1,2018-03-06,2018-03-05,False,5991.465039999983,0.030207890547432656
BASE,9,2018-03-28,2018-03-27,202367.66543999998,2140.1999999999825,81.31716,208.799999999977,0.0,10,1,1,2018-04-13,2018-04-12,False,1850.0828400000055,0.009142186010682308
BASE,10,2018-04-19,2018-04-18,206096.11098,601.6999999999825,82.49853999999999,218.7999999999759,0.0,10,1,1,2018-05-07,2018-05-04,False,300.4014600000066,0.0014575794689748328
BASE,11,2018-06-25,2018-06-22,206266.245,-11187.0,80.2074,226.0000000000002,0.0,3,1,1,2018-06-28,2018-06-27,False,-11493.2074,-0.055720253209632045
BASE,12,2018-12-25,2018-12-24,193078.70802000002,3899.7999999999884,77.94568000000001,251.59999999997228,0.0,10,1,1,2019-01-10,2019-01-09,False,3570.2543200000164,0.01849118608992449
BASE,13,2019-04-30,2019-04-29,198040.6002,-10179.99999999997,77.12368000000001,203.6000000000228,0.0,2,1,1,2019-05-07,2019-05-06,False,-10460.723679999994,-0.05282110672981082
STRESS,1,2015-06-24,2015-06-23,199551.7888,-14435.200000000012,153.63712,415.99999999999113,0.0,3,1,1,2015-06-29,2015-06-26,False,-15004.837120000002,-0.07519269664397016
STRESS,2,2015-08-27,2015-08-26,184879.62228,16252.5,154.15644000000003,472.8000000000004,0.0,10,1,1,2015-09-14,2015-09-11,False,15625.543559999998,0.08451739227558096
STRESS,3,2015-12-01,2015-11-30,200324.0976,9934.5,163.9914,444.0000000000004,0.0,3,1,1,2015-12-04,2015-12-03,False,9326.5086,0.046557097781729874
STRESS,4,2016-01-13,2016-01-12,209794.48424000002,-21245.399999999994,159.09168,446.60000000000747,3253.7999999999997,10,1,1,2016-01-27,2016-01-26,False,-18597.291680000002,-0.08864528420454149
STRESS,5,2016-05-12,2016-05-11,190350.50976,-124.20000000001164,151.97112,496.7999999999729,0.0,10,1,1,2016-05-26,2016-05-25,False,-772.9711199999846,-0.0040607777776617004
STRESS,6,2016-09-20,2016-09-19,190541.38608000003,2406.600000000006,153.15144,458.4000000000259,0.0,10,1,1,2016-10-11,2016-10-10,False,1795.0485599999797,0.00942078042429227
STRESS,7,2017-05-10,2017-05-09,192203.75076000002,4641.299999999988,155.37468,458.40000000000043,0.0,5,1,1,2017-05-17,2017-05-16,False,4027.525319999988,0.020954457465447992
STRESS,8,2018-02-13,2018-02-12,196128.42,6250.0,159.16000000000003,450.00000000001705,0.0,10,1,1,2018-03-06,2018-03-05,False,5640.839999999983,0.02876095162547061
STRESS,9,2018-03-28,2018-03-27,199796.8868,2111.5,160.45340000000002,412.00000000000034,0.0,10,1,1,2018-04-13,2018-04-12,False,1539.0465999999997,0.007703055961730829
STRESS,10,2018-04-19,2018-04-18,203230.35964,592.8999999999942,162.58396000000002,431.19999999997646,0.0,10,1,1,2018-05-07,2018-05-04,False,-0.8839599999823236,-4.349546994593527e-06
STRESS,11,2018-06-25,2018-06-22,203497.76656,-11028.600000000006,158.14344,445.6000000000004,0.0,3,1,1,2018-06-28,2018-06-27,False,-11632.343440000006,-0.057162020186449
STRESS,12,2018-12-25,2018-12-24,190170.93796,3837.7999999999884,153.41296,495.20000000000044,0.0,10,1,1,2019-01-10,2019-01-09,False,3189.187039999988,0.016770107326655726
STRESS,13,2019-04-30,2019-04-29,194677.84,-10000.0,151.52,400.00000000000034,0.0,2,1,1,2019-05-07,2019-05-06,False,-10551.52,-0.054199902772703874
