cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
1,2020-02-05,2020-02-04,199940.78016,4540.8000000000175,80.82624,211.20000000002364,0.0,2,1,1,2020-02-07,2020-02-06,False,4248.773759999994,0.02125016095565881,1.0,2020-02-05,199940.78016,8659.200000000012,81.64992000000001,211.2000000000002,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8366.350080000011,0.04184414041650207,both,evaluation,BASE
2,2020-07-01,2020-06-30,204093.81060000003,32775.100000000006,88.11778000000001,292.2000000000111,0.0,10,1,1,2020-07-15,2020-07-14,False,32394.782219999994,0.1587249614516237,2.0,2020-07-01,208284.64860000001,33448.100000000006,89.92718000000002,298.2000000000113,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,33059.972819999995,0.15872496145162374,both,evaluation,BASE
3,2020-08-19,2020-08-18,236242.239,-6159.5,93.18790000000001,291.000000000011,0.0,14,1,1,2020-09-08,2020-09-07,False,-6543.687900000011,-0.027699059777366954,3.0,2020-08-19,241113.213,-11731.5,94.0203,297.00000000001125,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12122.520300000011,-0.050277295670229455,both,evaluation,BASE
4,2021-01-05,2021-01-04,229510.29288,5603.0,92.85464,258.5999999999715,3103.2,9,1,1,2021-01-18,2021-01-15,False,8354.74536000003,0.036402486595092834,4.0,2021-01-05,228445.27992,6949.799999999988,92.69832000000001,257.39999999997167,3088.7999999999997,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9688.501680000016,0.04241060127568783,both,evaluation,BASE
5,2021-02-03,2021-02-02,237937.77803999998,4200.100000000006,95.94414,259.80000000000985,0.0,10,1,1,2021-02-24,2021-02-23,False,3844.3558599999965,0.01615697974347612,5.0,2021-02-03,238487.28791999997,-4426.799999999988,94.4384,260.40000000000987,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-4781.638399999998,-0.02004986698328335,both,evaluation,BASE
6,2021-06-08,2021-06-07,241892.76888,-1828.0,96.31732000000001,274.1999999999698,0.0,2,1,1,2021-06-10,2021-06-09,False,-2198.51731999997,-0.009088809600135783,6.0,2021-06-08,233953.18128,-4817.799999999988,92.54596000000001,265.1999999999708,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5175.545959999959,-0.02212214397634439,both,evaluation,BASE
7,2021-07-07,2021-07-06,238591.30872000003,3502.499999999971,96.06190000000001,280.1999999999691,0.0,10,1,1,2021-07-21,2021-07-20,False,3126.2381000000014,0.013102900171727602,,,,,,,,,,,,,,,,left_only,evaluation,BASE
8,2021-10-29,2021-10-28,243044.49917999998,785.6000000000058,97.29656000000001,294.59999999996757,0.0,2,1,1,2021-11-02,2021-11-01,False,393.70344000003826,0.0016198821258178713,7.0,2021-10-29,228689.52876,1293.600000000035,91.66080000000001,277.2000000000105,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,924.7392000000243,0.004043644695995238,both,evaluation,BASE
9,2021-11-25,2021-11-24,243597.40974,-3214.1999999999825,96.71820000000001,292.2000000000111,0.0,3,1,1,2021-11-30,2021-11-29,False,-3603.1181999999935,-0.01479128289519058,8.0,2021-11-25,229591.80918,3672.0,92.49768,275.40000000001044,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,3304.1023199999895,0.014391202943174567,both,evaluation,BASE
10,2022-05-13,2022-05-12,239846.9598,-1682.7999999999884,95.53496000000001,240.4000000000002,0.0,2,1,1,2022-05-17,2022-05-16,False,-2018.7349599999884,-0.008416762762735624,9.0,2022-05-13,233062.6032,5314.399999999965,94.21088,291.9999999999678,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4928.189119999997,0.02114534486586391,both,evaluation,BASE
11,2022-06-08,2022-06-07,237925.97568,-1135.999999999971,94.856,340.8000000000129,0.0,4,1,1,2022-06-14,2022-06-13,False,-1571.6559999999838,-0.006605651171580324,10.0,2022-06-08,237925.97568,-1476.7999999999884,94.78783999999999,340.8000000000129,0.0,2.0,1.0,1.0,2022-06-10,2022-06-09,False,-1912.3878400000012,-0.008037742976715072,both,evaluation,BASE
12,2022-08-10,2022-08-09,235527.096,2688.0,94.6624,336.00000000001273,0.0,4,1,1,2022-08-16,2022-08-15,False,2257.337599999987,0.00958419493271376,11.0,2022-08-10,235527.096,-1287.999999999971,93.8672,336.00000000001273,0.0,12.0,1.0,1.0,2022-08-26,2022-08-25,False,-1717.8671999999835,-0.0072937136710588225,both,evaluation,BASE
13,2024-02-19,2024-02-08,238393.26912,988.3999999999942,95.47944000000001,282.3999999999689,0.0,2,1,1,2024-02-21,2024-02-20,False,610.5205600000252,0.0025609806948563947,12.0,2024-02-19,234341.25888,7009.399999999994,95.06412,277.60000000000025,0.0,4.0,1.0,1.0,2024-02-23,2024-02-22,False,6636.735879999994,0.028320816879278145,both,evaluation,BASE
