cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,EPISODE_BUDGET_NONINCREASING,信号段内预算只减不增,0.16747686830000025,0.03121769526124087,0.03153852315363693,0.03991393217816566,0.7901632696286842,-0.041939567876139255,1219,0.0909082096454972,23,354.32634,1048.5000000000296,False,4.0046188587439246e-11,-0.0077435329354030545,False
BASE,EPISODE_BUDGET_NONDECREASING,信号段内预算只增不减,0.3076586437999991,0.054694933606443556,0.054806143231912074,0.05568712838181973,0.9841797346081994,-0.04278014538751365,1219,0.13085043456681617,29,509.87124000000006,1489.6000000000363,False,4.160938260611147e-11,0.015733705409799632,False
BASE,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.2940723642999991,0.05251039130251532,0.05250124030284173,0.05136491082550617,1.0221226798425842,-0.04197791619990116,1219,0.11337488663855581,37,546.8271400000001,1602.2000000000269,False,4.604316927725449e-11,0.013549163105871398,False
BASE,ROBUST_BLOCK_GROWTH_REFERENCE_PAIR,第149轮最弱阶段增长预算,0.26926105449999943,0.04847308297525103,0.04861927363995812,0.050616192487073546,0.9605478257254256,-0.03954736653045395,1219,0.109210684577256,37,540.8891000000001,1618.7000000000212,False,4.604316927725449e-11,0.00951185477860711,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,EPISODE_BUDGET_NONINCREASING,信号段内预算只减不增,0.1699716794000002,0.03165479425901693,0.03196918202426716,0.04008498311382455,0.7975351251486894,-0.0433205730649813,1219,0.0924995151585495,23,706.76412,2032.0000000000139,False,4.0046188587439246e-11,-0.007045477826669741,False
STRESS,EPISODE_BUDGET_NONDECREASING,信号段内预算只增不减,0.3222108819999992,0.05701470780297735,0.05705074298866742,0.05653272721406976,1.009163113122707,-0.04368816422682472,1219,0.1346054315457669,29,1014.8236,2889.3000000000143,False,5.4569682106375694e-11,0.018314435717290675,False
STRESS,TREND_NOISE_REFERENCE_BLEND,第143轮趋势波动连续预算,0.3067993049999977,0.05455730048699888,0.05448751824980971,0.05220161461796962,1.0437899028328752,-0.04331005882257805,1219,0.11705214487437679,37,1088.239,3111.7000000000075,False,4.6270542952697724e-11,0.015857028401312208,False
STRESS,ROBUST_BLOCK_GROWTH_REFERENCE_PAIR,第149轮最弱阶段增长预算,0.2818013365999972,0.05052147255921915,0.05061492407797864,0.0514751868772284,0.9832878159082445,-0.0403384696273853,1219,0.11290094018651245,37,1076.6326800000002,3112.9000000000187,False,4.6270542952697724e-11,0.011821200473532474,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
