cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,IDLE_MONTH_EDGE_OPPORTUNITY,原空仓时补充月内两端,0.2546312197999953,0.046062773892921315,0.05873573996465308,0.16536938804374582,0.35517903681856455,-0.2782481051871124,1219,0.47327606439987957,133,4686.25604,13906.399999999961,False,6.320988177321851e-11,0.007101545696277391,False
BASE,FULL_MONTH_EDGE_OPPORTUNITY,月内两端使用全部预算,0.15688330899999794,0.029353288776743744,0.04392613200000113,0.17301221758218552,0.25389034724750015,-0.2884240614271746,1219,0.5005027243845391,135,4514.1382,13389.90000000004,False,4.263256414560601e-11,-0.00960793941990018,False
BASE,ACCOUNT_VOLATILITY_EXPOSURE,第181轮原账户风险预算,0.6077260729999996,0.098848738911893,0.09853423390767863,0.09219429434315626,1.068767157552337,-0.09681845314544668,1219,0.26969175678391766,63,1811.8854000000001,5421.900000000028,False,7.582912076031789e-11,0.05988751071524907,False
BASE,EPISODE_ACCOUNT_RISK_BUDGET,第182轮区间固定倍率,0.5781172607000007,0.09480123222820798,0.09386832903722869,0.08092378985553354,1.1599596262706424,-0.06298643764915579,1219,0.2585263214988546,51,1508.5478600000001,4490.999999999997,False,7.753442332614213e-11,0.055840004031564056,False
BASE,K2_MONTH_EDGE,原月内两端独立账户,-0.17565198600000168,-0.03762132296335431,-0.02597865867684144,0.15724938415588746,-0.16520674351950262,-0.35521570161876903,1219,0.3150854179007406,122,4233.9972,12600.90000000007,False,3.481659405224491e-11,-0.07658255115999824,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,IDLE_MONTH_EDGE_OPPORTUNITY,原空仓时补充月内两端,0.14436750059999826,0.02713286170047279,0.040517273798505886,0.16562473434862782,0.24463298889415888,-0.2906272385056952,1219,0.473401082629109,132,8819.79988,25282.79999999985,False,4.092726157978177e-11,-0.011567410385213885,False
STRESS,FULL_MONTH_EDGE_OPPORTUNITY,月内两端使用全部预算,0.05556210880000077,0.010792665124380995,0.02579010597890274,0.17334378137363932,0.14878010491367236,-0.30038361435118355,1219,0.501650469930706,134,8492.678240000001,24252.099999999897,False,5.638867150992155e-11,-0.02790760696130568,False
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,第181轮原账户风险预算,0.6041445096000013,0.09836233370222244,0.0981635764664112,0.09298188897756243,1.0557279223494713,-0.10137079705815237,1219,0.2737369335772363,64,3601.4980800000003,10276.199999999939,False,1.1004885891452432e-10,0.05966206161653577,False
STRESS,EPISODE_ACCOUNT_RISK_BUDGET,第182轮区间固定倍率,0.578198129999999,0.09481236959271369,0.09393240694306142,0.08159668971065717,1.1511791382241956,-0.06452135201337061,1219,0.2616537375821861,53,3008.7740000000003,8518.799999999937,False,7.617018127348274e-11,0.05611209750702702,False
STRESS,K2_MONTH_EDGE,原月内两端独立账户,-0.24837027799999908,-0.05510427496637612,-0.04424073478666268,0.1576509617962073,-0.2806245790231963,-0.39512502267503274,1219,0.3151516779090194,122,8102.6556,23186.199999999906,False,3.527134140313137e-11,-0.09380454705206279,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
