model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,43270.640040000144,75651.50000000012,2399.500000000002,8577.859960000002,26202.500000000033,-0.3331559053340928
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,67203.03190000012,98724.20000000013,7030.800000000001,9511.468100000002,29040.50000000003,-0.2814718844619729
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,K2_MONTH_EDGE,126838.16381999984,124433.00000000012,15487.2,3233.1361799999995,9848.899999999983,0.453633145681961
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,BUY_HOLD,158626.85222000015,215445.20000000007,-8277.2,11962.847780000002,36578.29999999995,0.6853814823893943
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,11541.764999999781,69529.50000000003,1454.800000000001,15830.035,43612.50000000009,-0.4028814484599553
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,31405.819599999697,91780.50000000006,5857.799999999999,17628.4804,48604.00000000017,-0.3657859129695048
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,K2_MONTH_EDGE,110361.91955999966,118325.70000000004,14273.5,5944.880440000001,16292.400000000023,0.4456702075040431
IDLE_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,BUY_HOLD,112510.85639999984,206381.5,-9490.900000000001,22435.2436,61944.500000000095,0.5328929001692091
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-70618.97063999998,-59260.100000000035,0.0,2874.37064,8484.499999999935,-0.7135881207337724
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-64697.208180000336,-52104.100000000035,0.0,3177.70818,9415.399999999965,-0.8047805894520779
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,K2_MONTH_EDGE,86056.64116,86596.39999999992,1218.0000000000002,452.2588400000004,1305.4999999998909,0.5203857803380671
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,BUY_HOLD,8464.049719999835,42539.89999999989,-15845.199999999997,4601.25028,13629.399999999967,0.0764570506660125
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-91955.40180000008,-71730.50000000009,0.0,5218.3018,15006.599999999911,-0.8110949334553125
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-86766.12587999992,-64191.10000000008,0.0,5811.02588,16763.999999999913,-0.9065461493300367
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,K2_MONTH_EDGE,78547.55571999989,80143.29999999989,1218.0000000000002,717.1442800000004,2096.599999999944,0.5252575679173552
IDLE_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,BUY_HOLD,-13282.088359999994,35997.099999999875,-15845.199999999997,8649.78836,24784.199999999855,-0.03307478528656563
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,21148.553019999934,51975.100000000035,1703.0,8002.6469799999995,24526.90000000007,-0.45850007995486963
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,45080.94487999991,75047.80000000005,6334.299999999999,8936.25512,27364.900000000067,-0.40681605908274976
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,K2_MONTH_EDGE,104716.07679999963,100756.60000000003,14790.699999999999,2657.9231999999975,8173.300000000021,0.32828897106118415
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,BASE,BUY_HOLD,136504.76519999994,191768.8,-8973.700000000003,11387.6348,34902.69999999999,0.5600373077686175
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-7786.936800000025,46961.29999999999,825.1000000000004,14772.036800000002,40801.300000000076,-0.516202504475223
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,12077.11779999989,69212.30000000002,5228.0999999999985,16570.482200000002,45792.800000000156,-0.47910696898477245
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,K2_MONTH_EDGE,91033.21775999985,95757.5,13643.8,4886.882240000003,13481.200000000012,0.3323491514887755
FULL_MONTH_EDGE_OPPORTUNITY,evaluation,STRESS,BUY_HOLD,93182.15460000004,183813.3,-10120.600000000002,21377.245400000003,59133.30000000008,0.4195718441539415
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-90168.55279999989,-79571.79999999999,73.5,2702.2528,7968.000000000012,-0.8148768103048368
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-84246.79034000024,-72415.79999999999,73.5,3005.59034,8898.900000000041,-0.9060692790231423
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,K2_MONTH_EDGE,66507.0590000001,66284.69999999997,1291.5000000000002,280.14100000000053,788.9999999999691,0.41909709076700274
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,BASE,BUY_HOLD,-11085.532440000068,22228.199999999935,-15771.699999999997,4429.13244,13112.900000000045,-0.02483163890505191
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-109716.48016000012,-90922.90000000001,73.5,4891.180160000001,13975.899999999958,-0.906947817435799
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-104527.20423999996,-83383.5,73.5,5483.904240000001,15733.29999999996,-1.0023990333105233
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,K2_MONTH_EDGE,60786.477359999844,60950.899999999965,1291.5000000000002,390.02264000000105,1065.8999999999905,0.4294046839368687
FULL_MONTH_EDGE_OPPORTUNITY,earlier_diagnostic,STRESS,BUY_HOLD,-31043.166720000037,16804.69999999995,-15771.699999999997,8322.666720000001,23753.4999999999,-0.12892766926705215
