period,model,cost,reused,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,ending_shares,unfilled_requests,source
early,LOG_RISK_RIDGE,BASE,False,1219,242137.812,42137.812000000005,0.03868513417444297,0.4147973252862019,0.1047732990439617,-0.18736337942205872,9,84.688,249.39999999999495,0.47611335870651417,5.411493475548923e-11,33700,0.0,
early,LOG_RISK_RIDGE,STRESS,False,1219,241814.82168000005,41814.82168000005,0.03840993017240102,0.41210273295657657,0.1048296500870139,-0.18743061671599703,9,166.87832,468.3999999999971,0.47645833937640814,4.206412995699793e-11,33600,0.0,
early,PAST_MONTHLY_MEAN,BASE,False,1219,226127.71544,26127.71544,0.02467471795803733,0.26968099921083305,0.11500145736475953,-0.23753148386158585,2,27.08456,77.19999999999399,0.43258012097101156,4.729372449219227e-11,24600,0.0,
early,PAST_MONTHLY_MEAN,STRESS,False,1219,226029.0112,26029.011200000008,0.024585909224728475,0.2688697339944888,0.11504473946604328,-0.2376256120085224,2,54.18880000000001,148.7999999999995,0.43277977839896614,4.160938260611147e-11,24600,0.0,
early,RECENT_DOWNSIDE20,BASE,False,1219,291607.93330000003,91607.93330000003,0.07773513827761613,0.6524900926280662,0.12710952996093533,-0.2198334348633202,37,535.3667,1577.7999999999781,0.6413020881498528,9.811174095375463e-11,54600,0.0,
early,RECENT_DOWNSIDE20,STRESS,False,1219,289234.0276,89234.02759999997,0.07598767011968799,0.6398358514529844,0.12708085790852722,-0.22132470422161188,37,1064.0724,3002.1000000000104,0.6413088350587264,7.139533408917487e-11,54200,0.0,
early,BUY_HOLD,BASE,True,1219,244169.24552000003,44169.245520000026,0.040409305212863345,0.2842607920063479,0.25150799155827147,-0.4501919403512673,1,39.954480000000004,110.79999999998779,0.9631807683409372,4.729372449219227e-11,55400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_BASE\ledger.parquet
early,BUY_HOLD,STRESS,True,1219,244018.44672,44018.44672000001,0.040281711191537006,0.2837540157753378,0.2516753186789463,-0.4504213486795602,1,79.95328,221.6000000000002,0.9638788321706482,5.4569682106375694e-11,55400,,reports\research\510300_simple_core_window_diagnostic_v1\comparators\early_BUY_HOLD_STRESS\ledger.parquet
early,MONTHLY_VOL10,BASE,True,1219,262784.6978800001,62784.69788000011,0.05569613696700304,0.5417186231584091,0.11155083783179685,-0.20646557483715056,32,316.30212000000006,918.4999999999905,0.5982267554730315,6.093614501878619e-11,60500,,reports\research\510300_monthly_single_factor_walkforward_v1\accounts\early\BASE\MONTHLY_VOL10\ledger.parquet
early,MONTHLY_VOL10,STRESS,True,1219,261484.17963999993,61484.17963999993,0.05465686313423346,0.5331382148942462,0.11148459964359042,-0.2072419030240047,32,628.22036,1763.3000000000154,0.5980068137298136,5.3660187404602766e-11,60200,,reports\research\510300_monthly_single_factor_walkforward_v1\accounts\early\STRESS\MONTHLY_VOL10\ledger.parquet
main,LOG_RISK_RIDGE,BASE,False,1624,232731.06772,32731.067719999992,0.022842590223177917,0.2764802882051673,0.09960523985245427,-0.2588702696683248,11,84.43228,270.19999999999794,0.5299220717538564,5.4797055781818926e-11,29600,0.0,
main,LOG_RISK_RIDGE,STRESS,False,1624,232249.21443999995,32249.214439999952,0.022526739761917547,0.273546001377428,0.09951058721685992,-0.25893868392192676,11,166.18556,465.20000000000806,0.5294703745818439,4.229150363244116e-11,29500,0.0,
main,PAST_MONTHLY_MEAN,BASE,False,1624,222643.60981999998,22643.609819999983,0.01611097923497118,0.21802711566965466,0.09323985769624626,-0.23406930864308095,3,25.090180000000004,78.60000000000377,0.5007072597350013,4.274625098332763e-11,28000,0.0,
main,PAST_MONTHLY_MEAN,STRESS,False,1624,222561.23896,22561.238959999988,0.016054951608224455,0.21739373931339714,0.09327135394289264,-0.2342536018267577,3,47.16104,138.89999999999904,0.5008853999400408,4.274625098332763e-11,28000,0.0,
