period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,OBSERVED_RETURN_STATE,1,2020-01-06,2020-01-03,199057.60356000002,-16484.400000000023,76.26204000000001,240.99999999999486,0.0,16,1,1,2020-02-05,2020-02-04,False,-16801.66204000002,-0.08440602991051109
evaluation,BASE,OBSERVED_RETURN_STATE,2,2020-02-10,2020-02-07,181926.378,1927.0,73.1038,188.00000000000017,0.0,1,1,1,2020-02-11,2020-02-10,False,1665.8961999999997,0.00915697997351434
evaluation,BASE,OBSERVED_RETURN_STATE,3,2020-02-14,2020-02-13,184361.76498,1914.7000000000116,74.07554,186.8000000000209,0.0,1,1,1,2020-02-17,2020-02-14,False,1653.8244599999907,0.008970539309923625
evaluation,BASE,OBSERVED_RETURN_STATE,4,2020-02-19,2020-02-18,186235.13958,875.9000000000233,74.59902000000001,276.59999999996955,0.0,1,1,1,2020-02-20,2020-02-19,False,524.7009800000537,0.0028174112639718072
evaluation,BASE,OBSERVED_RETURN_STATE,5,2020-02-25,2020-02-24,184088.41032,-1861.3999999999942,73.19388000000001,272.4000000000103,0.0,3,1,1,2020-02-28,2020-02-27,False,-2206.9938800000045,-0.011988771461297306
evaluation,BASE,OBSERVED_RETURN_STATE,6,2020-03-02,2020-02-28,184501.893,7892.299999999988,75.31775999999999,233.50000000001575,0.0,1,1,1,2020-03-03,2020-03-02,False,7583.482239999973,0.04110246305169331
evaluation,BASE,OBSERVED_RETURN_STATE,7,2020-08-04,2020-08-03,192177.62784,-1821.6000000000058,76.44384000000001,237.600000000009,0.0,3,1,1,2020-08-07,2020-08-06,False,-2135.6438400000147,-0.011112863989444562
evaluation,BASE,OBSERVED_RETURN_STATE,8,2020-08-11,2020-08-10,190121.61672000002,-2382.0,75.50940000000001,238.19999999997378,0.0,1,1,1,2020-08-12,2020-08-11,False,-2695.709399999974,-0.0141788684869541
evaluation,BASE,OBSERVED_RETURN_STATE,9,2020-08-17,2020-08-14,187276.4478,2691.0,75.387,234.00000000000887,0.0,2,1,1,2020-08-19,2020-08-18,False,2381.612999999991,0.01271709832163952
evaluation,BASE,OBSERVED_RETURN_STATE,10,2020-08-24,2020-08-21,189953.9832,-1422.0,75.6346,237.00000000000898,0.0,3,1,1,2020-08-27,2020-08-26,False,-1734.634600000009,-0.009131867470100037
evaluation,BASE,OBSERVED_RETURN_STATE,11,2020-08-28,2020-08-27,187561.10472,2854.2999999999593,75.53338000000001,234.59999999997416,0.0,2,1,1,2020-09-01,2020-08-31,False,2544.1666199999854,0.013564468090535277
evaluation,BASE,OBSERVED_RETURN_STATE,12,2020-09-02,2020-09-01,190519.49628,3444.3000000000175,76.83498,232.2000000000088,0.0,44,1,1,2020-11-11,2020-11-10,False,3135.2650200000085,0.016456399902465713
evaluation,BASE,OBSERVED_RETURN_STATE,13,2020-11-17,2020-11-16,193371.6666,-272.29999999998836,77.23206,233.40000000000884,0.0,1,1,1,2020-11-18,2020-11-17,False,-582.9320599999971,-0.00301456811253442
evaluation,BASE,OBSERVED_RETURN_STATE,14,2020-11-24,2020-11-23,192774.5472,-532.0,76.94240000000002,227.99999999997488,0.0,1,1,1,2020-11-25,2020-11-24,False,-836.9423999999749,-0.004341560709939901
evaluation,BASE,OBSERVED_RETURN_STATE,15,2020-11-27,2020-11-26,192076.40760000004,1617.0,77.09240000000001,231.00000000000875,0.0,2,1,1,2020-12-01,2020-11-30,False,1308.9075999999914,0.00681451520441697
evaluation,BASE,OBSERVED_RETURN_STATE,16,2020-12-02,2020-12-01,193603.51296,-714.3999999999651,77.23792,225.60000000000855,0.0,1,1,1,2020-12-03,2020-12-02,False,-1017.2379199999737,-0.0052542327587317235
evaluation,BASE,OBSERVED_RETURN_STATE,17,2020-12-07,2020-12-04,192386.66963999998,-1645.6000000000058,76.56528,224.4000000000085,0.0,1,1,1,2020-12-08,2020-12-07,False,-1946.5652800000144,-0.010117984180725665
evaluation,BASE,OBSERVED_RETURN_STATE,18,2020-12-15,2020-12-14,190576.20762,2438.399999999994,76.6572,228.60000000000866,0.0,4,1,1,2020-12-21,2020-12-18,False,2133.1427999999855,0.011193122303353691
evaluation,BASE,OBSERVED_RETURN_STATE,19,2020-12-22,2020-12-21,192383.86908000003,-2224.3000000000175,76.44806,226.20000000000857,0.0,1,1,1,2020-12-23,2020-12-22,False,-2526.948060000026,-0.013134926915048327
