period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-56031.834940000146,-55892.1,-2686.6,-661.36506,-1885.4999999999259,-1.054207586832864
evaluation,BASE,VINTAGE_REFERENCE_RISK,-44902.76282000015,-38172.50000000003,-10750.099999999999,-1014.6371800000001,-3005.199999999965,-0.5088414575935032
evaluation,BASE,BUY_HOLD,-42880.82654000007,-18057.90000000003,-23764.4,257.52653999999995,801.0000000000155,-0.051115289173047584
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-53413.9318799999,-55516.6,-2665.5,-1291.7681200000002,-3476.400000000024,-1.0166325729835068
evaluation,STRESS,VINTAGE_REFERENCE_RISK,-40918.85432000016,-37799.60000000003,-10584.8,-2012.34568,-5453.200000000057,-0.4718766746291662
evaluation,STRESS,BUY_HOLD,-43635.82616,-17966.40000000003,-23764.4,503.82616000000013,1401.2000000000094,-0.07169222878080972
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,-29440.296119999985,-30180.899999999972,-644.0000000000001,-357.2038800000001,-1027.4000000000058,-0.3477582238789313
earlier_diagnostic,BASE,VINTAGE_REFERENCE_RISK,-32863.137759999925,-33358.99999999997,-644.0000000000001,-296.36224000000004,-843.4999999999861,-0.3710350968207484
earlier_diagnostic,BASE,BUY_HOLD,-13088.017500000016,4377.600000000002,-17063.199999999997,104.6175,297.800000000027,0.39564246981110085
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,-32663.57891999994,-34788.89999999999,-644.0000000000001,-709.72108,-2059.600000000015,-0.3831631282109539
earlier_diagnostic,STRESS,VINTAGE_REFERENCE_RISK,-35237.77544,-36917.19999999998,-644.0000000000001,-588.62456,-1734.7999999999968,-0.400005412930338
earlier_diagnostic,STRESS,BUY_HOLD,-13459.306399999972,4365.900000000005,-17063.199999999997,208.50639999999999,553.4999999999986,0.3829190004411968
