period,ts_code,status,source_usable,publication_date,reported_send_date,feature_available_session,source_page,source_url,source_sha256,identity_residual,beginning_units,gross_subscription_units,gross_redemption_units,split_delta_units,ending_units,net_subscription_units,net_units_divided_by_beginning_units,quarter_transition_residual
2012Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2012-10-26,2012-10-26,2012-10-29,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2012-10-26/510300_2012_3.pdf,1e32f454ca07a24e9bf6ca106a8f043df1374a71f2427a9caf34f3268bb71e57,0.00,9591787690.0,2709900000.0,3392100000.0,0.0,8909587690.0,-682200000.0,-0.07112334238915999,
2012Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2013-01-21,2013-01-21,2013-01-22,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2013-01-20/510300_20130121_1.pdf,c39527f06cab37c3009881f455033e762a6ed51f2718aad29cd7ccdf2498c770,0.00,8909587690.0,2312100000.0,1841400000.0,0.0,9380287690.0,470700000.0,0.052830727568718726,0.0
2013Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2013-04-18,2013-04-18,2013-04-19,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2013-04-17/510300_2013_1.pdf,d856acde88f7e1dbaaaef4a66f342dda6cdb02f86273ed676019346c9cd3b070,0.00,9380287690.0,3114900000.0,6296400000.0,0.0,6198787690.0,-3181500000.0,-0.3391687019782652,0.0
2013Q2,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,,2013-07-19,,,https://static.cninfo.com.cn/finalpage/2013-07-19/62852479.PDF,595c11f90cfb94adfdf8e3c9b282ca54542fd6ae7146ea545d4ca98d5dbd6795,,,,,,,,,
2013Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2013-10-24,2013-10-24,2013-10-25,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2013-10-23/510300_20131024_1.pdf,e71335ddbae8c5d86a02eae0371f1ae9b03e6d2fa5961eea9109ad196521e204,0.00,7147387690.0,3032100000.0,3966300000.0,0.0,6213187690.0,-934200000.0,-0.13070509681558914,
2013Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2014-01-20,2014-01-20,2014-01-21,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-01-19/510300_20140120_1.pdf,78cd9dd23915dd368161b02ce575f849d888d61dcf72926cdb85465b449707c1,0.00,6213187690.0,1926900000.0,2092500000.0,0.0,6047587690.0,-165600000.0,-0.02665298527300726,0.0
2014Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2014-04-22,2014-04-22,2014-04-23,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-04-22/510300_2014_1.pdf,6d2f200f4cc442532f4be86eab02750fde0175c58a5aa02b41f1eb32c63ac14f,0.00,6047587690.0,2660400000.0,2379600000.0,0.0,6328387690.0,280800000.0,0.04643173681703158,0.0
2014Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2014-07-19,2014-07-19,2014-07-21,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-07-18/510300_20140719_1.pdf,d5c58e5db0d9072a8671a660cdc82d9f6a6fa6e27a9d787ddb704e1bc2c280ef,0.00,6328387690.0,3852000000.0,2093400000.0,0.0,8086987690.0,1758600000.0,0.27789068656127164,0.0
2014Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2014-10-24,2014-10-24,2014-10-27,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-10-23/510300_2014_3.pdf,6529e975b38d987e0c4437d9801f5fc566f63f113eb55cb6bc2df5a6f71bd2af,0.00,8086987690.0,2524500000.0,3951900000.0,0.0,6659587690.0,-1427400000.0,-0.17650577133498765,0.0
2014Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2015-01-22,2015-01-22,2015-01-23,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-01-21/510300_20150122_1.pdf,eb2f9d2ed4a30750a93a420c497a43b8777e016caf3d64bb8cc17e598711cc1f,0.00,6659587690.0,17502300000.0,14667300000.0,0.0,9494587690.0,2835000000.0,0.42570203021082226,0.0
