cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,M1_PRICE_FLOW,-0.09581610390000148,-0.015081408626448023,-0.002181317828895402,0.16119580523730695,-0.013532100451895386,-0.4811005120770873,1604,0.7782091163666027,19,368.42078,1097.0000000000073,False,3.9335645851679146e-11,-0.051338880272065,False
BASE,M2_PRICE_ONLY,-0.08076241139999882,-0.012624730606164168,0.0018300266138580464,0.17040739595609142,0.010739126688665475,-0.4883082873320725,1604,0.8400574004785929,18,338.98228,976.3000000000154,False,5.275069270282984e-11,-0.048882202251781144,False
BASE,M3_FLOW_ONLY,0.06204662310000354,0.009123583663615547,0.02186964722813974,0.15979047473958788,0.1368645237695233,-0.4041569522581467,1604,0.7685776984716964,19,373.27538000000004,1117.500000000023,False,5.4569682106375694e-11,-0.027133887982001427,False
BASE,R1_POSITIVE_FLOW,0.05258112909999996,0.007761498234024916,0.020069239621439697,0.1571307167660503,0.127723210550363,-0.46523517009941273,1604,0.5997037719096284,14,587.97418,1783.1999999999516,False,1.0913936421275139e-10,-0.02849597341159206,False
BASE,R2_NEGATIVE_FLOW,0.18753832249999855,0.026271571560247384,0.03085589142847159,0.09908750954100871,0.31140041334575536,-0.11552741583799904,1604,0.3905568777268921,16,671.5355000000001,2063.900000000037,False,2.913225216616411e-11,-0.009985900085369592,False
BASE,R3_QUARTER_TREND,0.030988226900000963,0.004614920447014735,0.01581829672130612,0.14962559471651202,0.10571919029813209,-0.3482742454791157,1604,0.5708553995176974,12,436.35462,1345.600000000024,False,2.916067387559451e-11,-0.031642551198602244,False
BASE,R4_FLOW_AND_TREND,0.03094217009999872,0.004608149351855817,0.01244876520166109,0.1252884653497139,0.09936082437368218,-0.33861037013950057,1604,0.34030094769248675,12,437.46598000000006,1343.9999999999663,False,2.7284841053187847e-11,-0.03164932229376116,False
BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,M1_PRICE_FLOW,-0.1028804157999991,-0.016246257525725318,-0.0033605702973665977,0.16122006656322466,-0.020844615493622216,-0.4829530334616323,1604,0.7781026690476623,20,724.68316,1967.2999999999724,False,5.411493475548923e-11,-0.052331202039467964,False
STRESS,M2_PRICE_ONLY,-0.08632589180000136,-0.013528652127985718,0.0008799526529452955,0.17020653127770086,0.005169911203405037,-0.48947669789266685,1604,0.8396310595762054,17,639.4783600000001,1729.7999999999736,False,4.18367562815547e-11,-0.04961359664172836,False
STRESS,M3_FLOW_ONLY,0.05515653800000095,0.008133126445662638,0.020905053547394616,0.15989807830546315,0.1307398673513662,-0.40573330572896577,1604,0.7689843765080039,19,734.7924,1997.7999999999956,False,5.4569682106375694e-11,-0.02795181806808001,False
STRESS,R1_POSITIVE_FLOW,0.04255893560000078,0.0063079200507129615,0.01865668225747798,0.15732725859836844,0.1185851862143326,-0.4685648495030792,1604,0.6003619289217117,14,1171.8128800000002,3181.1999999999357,False,5.093170329928398e-11,-0.029777024463029683,False
STRESS,R2_NEGATIVE_FLOW,0.17506232220000345,0.024637592709308733,0.02926974367237805,0.09916131451534028,0.29517300991255024,-0.11807578425572532,1604,0.39074832742440685,16,1336.4355600000001,3644.600000000095,False,3.1803892852622084e-11,-0.011447351804433913,False
STRESS,R3_QUARTER_TREND,0.022490764400000543,0.0033612858198315988,0.014570700323927986,0.1496323876009679,0.09737664791384867,-0.35096145042076077,1604,0.5708451939860594,12,869.0471200000001,2422.4999999999854,False,2.8194335754960775e-11,-0.03272365869391105,False
STRESS,R4_FLOW_AND_TREND,0.02235665819999997,0.003341430266732939,0.011204224422096162,0.12542432694445657,0.08933055249367922,-0.3417359221036272,1604,0.34053755504459504,12,871.9683600000001,2421.599999999965,False,2.6830093702301383e-11,-0.032743514247009706,False
STRESS,BUY_HOLD,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
