period,cost,model,year,net_profit_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2020,0.0,0.0,0.0,0.0,0.0
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2021,-40.4001200000348,-42.60000000000218,0.0,-0.3998800000000102,-1.8000000000000682
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2022,6.135240000032354,4.599999999999568,0.0,-0.33523999999999887,-1.2000000000000455
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2023,0.0,0.0,0.0,0.0,0.0
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2024,-668.6499800000456,-684.5999999999985,0.0,-3.8500200000000007,-12.09999999999917
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2025,-39.90676000001258,-41.80000000000109,0.0,-0.4932399999999859,-1.3999999999999773
evaluation,BASE,OWN_CUSHION_CONTINUOUS,2026,-144.31380000006175,-161.0000000000009,0.0,-4.0861999999999625,-12.599999999999454
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2020,0.0,0.0,0.0,0.0,0.0
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2021,-63.10067999997409,-70.50000000000182,0.0,-1.999319999999983,-5.399999999999864
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2022,3.3268800000078045,-1.9000000000005457,0.0,-1.3268799999999885,-3.900000000000034
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2023,0.0,0.0,0.0,0.0,0.0
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2024,-700.324639999948,-733.2000000000007,0.0,-8.275360000000035,-24.59999999999991
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2025,-38.213360000023386,-41.80000000000109,0.0,-0.9866400000000226,-2.60000000000025
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,2026,-146.52859999999055,-178.0,0.0,-8.57140000000004,-22.89999999999918
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,2020,-1631.5357999999542,-1655.0,0.0,-5.464199999999977,-18.000000000000682
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,2021,-1226.4663000000874,-1171.5,-208.79999999999995,-39.233700000000056,-114.59999999999854
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,2022,-144.89120000001276,-204.10000000000127,0.0,-13.508800000000008,-45.69999999999908
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,2023,0.0,0.0,0.0,0.0,0.0
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,2024,-2787.0824199999624,-2880.899999999998,0.0,-23.01757999999998,-70.79999999999563
