period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,11536.800000000017,82.22016,237.600000000009,0.0,18,1,2,2020-03-02,2020-02-28,False,11216.979840000007,0.056101510812470404
evaluation,BASE,2,2020-07-01,2020-06-30,105609.11760000001,16959.600000000006,45.596880000000006,151.20000000000573,0.0,10,1,1,2020-07-15,2020-07-14,False,16762.80312,0.15872496145162374
evaluation,BASE,3,2020-08-19,2020-08-18,113980.7916,-5545.800000000003,44.44596,140.40000000000532,0.0,17,1,1,2020-09-11,2020-09-10,False,-5730.645960000008,-0.050277295670229476
evaluation,BASE,4,2021-01-05,2021-01-04,94253.64696,1522.199999999997,37.97712,106.20000000000402,1274.3999999999999,18,1,1,2021-01-29,2021-01-28,False,2652.422879999993,0.028141328909274416
evaluation,BASE,5,2021-07-29,2021-07-28,199061.00424,8079.399999999994,81.17564000000002,243.60000000000923,0.0,9,1,1,2021-08-11,2021-08-10,False,7754.624359999984,0.03895601948561728
evaluation,BASE,6,2021-10-25,2021-10-22,36689.8365,-670.3999999999978,17.3365,43.80000000000166,0.0,20,1,2,2021-11-22,2021-11-19,False,-731.5364999999995,-0.019938396291299895
evaluation,BASE,7,2021-11-25,2021-11-24,46018.401840000006,-416.3000000000029,20.974880000000002,55.19999999999597,0.0,10,1,2,2021-12-09,2021-12-08,False,-492.47487999999885,-0.01070169454628759
evaluation,BASE,8,2022-05-13,2022-05-12,50683.1346,1155.699999999997,20.487640000000003,63.499999999993,0.0,6,1,1,2022-05-23,2022-05-20,False,1071.712360000004,0.021145344865864002
evaluation,BASE,9,2022-06-08,2022-06-07,43982.7948,-272.9999999999927,17.5224,63.00000000000239,0.0,2,1,1,2022-06-10,2022-06-09,False,-353.5223999999951,-0.008037742976714956
evaluation,BASE,10,2022-08-10,2022-08-09,74022.8016,-404.79999999998836,29.50112,105.600000000004,0.0,12,1,1,2022-08-26,2022-08-25,False,-539.9011199999924,-0.007293713671058788
evaluation,BASE,11,2023-02-02,2023-02-01,140475.0894,-3874.399999999965,55.36384,200.4000000000076,0.0,3,1,1,2023-02-07,2023-02-06,False,-4130.163839999973,-0.02940139677177506
evaluation,BASE,12,2023-04-06,2023-04-04,136975.3896,-1876.0,54.3638,201.00000000000762,0.0,12,1,1,2023-04-24,2023-04-21,False,-2131.363800000008,-0.015560195201664226
evaluation,BASE,13,2023-06-19,2023-06-16,136177.43003999998,-1846.8000000000175,54.06336,136.79999999998495,0.0,9,1,1,2023-07-04,2023-07-03,False,-2037.6633600000025,-0.014963297217471874
evaluation,BASE,14,2024-06-18,2024-06-17,71389.37502,-160.8000000000029,28.501800000000003,80.40000000000006,0.0,22,1,1,2024-07-18,2024-07-17,False,-269.701800000003,-0.0037778983206456845
