period,model,block_length,replications,two_cost_joint_threshold_fraction,is_future_success_probability
evaluation,SELECTED_MIX_BAND00_SIMPLE3,5,2000,0.431,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,5,2000,0.4335,False
evaluation,SELECTED_MIX_BAND00_FULL,5,2000,0.4365,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,20,2000,0.431,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,20,2000,0.4355,False
evaluation,SELECTED_MIX_BAND00_FULL,20,2000,0.441,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,60,2000,0.4245,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,60,2000,0.4285,False
evaluation,SELECTED_MIX_BAND00_FULL,60,2000,0.436,False
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,5,2000,0.5095,False
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,5,2000,0.4965,False
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,5,2000,0.4995,False
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,20,2000,0.4985,False
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,20,2000,0.493,False
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,20,2000,0.495,False
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,60,2000,0.4785,False
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,60,2000,0.4715,False
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,60,2000,0.4735,False
