cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,PRICE_RIDGE_H20,2020—2021,0.18308909179999971,0.08732277141625816,0.08724990937994966,0.08399368661670233,1.0387674704422347,-0.06381988546964841,486,0.3620423811120782,11,279.18164,820.500000000017,False,4.9112713895738125e-11
BASE,PRICE_RIDGE_H20,2022—2023,-0.21431008810523508,-0.1136084883671522,-0.10835580286739238,0.15641422539523508,-0.6927490296588668,-0.24348371521347528,484,0.8209578755380372,11,290.18550000000005,818.8000000000204,False,4.001776687800884e-11
BASE,PRICE_RIDGE_H20,2024—终点,0.21786503963222026,0.07813587590703167,0.08421341441738012,0.13453899800301172,0.6259405500812111,-0.12430839920200912,634,0.45467588168971146,16,468.99548,1459.0999999999788,False,4.865796654485166e-11
BASE,PRICE_RIDGE_H60,2020—2021,0.21434249080000103,0.10153183799630995,0.0987974224312618,0.06458980877011647,1.5296131744699024,-0.03870010842910017,486,0.29280376971670263,5,161.90184000000002,494.0000000000227,False,3.47597506333841e-11
BASE,PRICE_RIDGE_H60,2022—2023,-0.15189268258124258,-0.07907257755089223,-0.0713434945316489,0.1485547807655567,-0.48025041108734423,-0.2291775196111753,484,0.725218206218033,5,127.6477,353.30000000000155,False,3.808153792306257e-11
BASE,PRICE_RIDGE_H60,2024—终点,0.11961281553335608,0.0440694127654129,0.0527308980285769,0.13891799443760147,0.3795829204276507,-0.18018591704272852,634,0.4238718863915098,7,268.22564,859.9000000000115,False,4.001776687800884e-11
BASE,PRICE_ET_H20,2020—2021,-0.029490229599999442,-0.014794778014825018,-0.012378558679514321,0.0709535947772185,-0.17445992297332874,-0.10236640231283935,486,0.25964847373604666,8,158.84592,471.9000000000179,False,5.093170329928398e-11
BASE,PRICE_ET_H20,2022—2023,-0.18792416775446705,-0.09884749778656611,-0.09964124063144586,0.09397902281068404,-1.0602498052375802,-0.2040699005208071,484,0.426660511446774,16,184.84818,529.5999999999865,False,4.547473508864641e-11
BASE,PRICE_ET_H20,2024—终点,0.05744421569529832,0.021548896311291157,0.02403658955861353,0.07381192101041359,0.3256464434142336,-0.08631819008169764,634,0.3348919231756051,18,227.52644,695.0000000000239,False,5.434230843093246e-11
BASE,PRICE_ET_H60,2020—2021,-0.04704194410000026,-0.023707504704126504,-0.021064445207378164,0.07640475387256176,-0.2756954788770383,-0.11173477302524783,486,0.25982348350016915,5,78.68882,229.8000000000087,False,2.7853275241795927e-11
BASE,PRICE_ET_H60,2022—2023,-0.17155637153998193,-0.08981121273660042,-0.08859434181642906,0.10477139219383404,-0.8455966839929323,-0.23816163816953484,484,0.3863162252630293,5,52.60526,139.39999999999816,False,5.3660187404602766e-11
BASE,PRICE_ET_H60,2024—终点,0.04129349397789055,0.015565021262502213,0.01635023308299592,0.042466079002385644,0.38501866588807043,-0.05029859154436711,634,0.15837401932523362,7,64.7883,209.49999999999733,False,3.484501576167531e-11
BASE,FUNDING_RIDGE_H20,2020—2021,0.057178517200001576,0.02807423850642249,0.034307815424911056,0.11505570969748982,0.29818437968106815,-0.13419952225078108,486,0.485617734048848,7,209.89656,618.0000000000234,False,2.808064891723916e-11
BASE,FUNDING_RIDGE_H20,2022—2023,-0.16623776092751574,-0.08689417969630471,-0.08024748415947264,0.14594523724906264,-0.5498465429366934,-0.27637054219928414,484,0.6055885515902238,4,110.89792000000001,311.60000000000514,False,3.072386789426673e-11
