period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,-84387.39802000028,-88410.39999999997,3870.500000000002,-20.00197999999955,-132.4999999997217,-4.229150363244116e-11
evaluation,BASE,REARM_NONE,-51278.81454000008,-44512.90000000011,-2478.699999999999,1107.4145400000002,3179.7999999999743,4.547473508864641e-12
evaluation,BASE,PANIC_LEARNED_HALF,-60833.37360000014,-65153.59999999999,8612.1,1081.8736000000004,3210.000000000153,6.821210263296962e-12
evaluation,BASE,BUY_HOLD,-54504.88656000001,-34612.80000000001,-10856.300000000001,2271.9865600000003,6763.800000000056,5.3660187404602766e-11
evaluation,STRESS,REARM_RIDGE,-82908.13116000016,-86897.4,3707.100000000002,-52.06883999999991,-230.10000000002583,-1.9826984498649836e-10
evaluation,STRESS,REARM_NONE,-54310.46856000001,-43839.50000000012,-2600.199999999997,2144.66856,5726.0999999999085,1.3642420526593924e-11
evaluation,STRESS,PANIC_LEARNED_HALF,-63850.706920000055,-64438.500000000015,8327.100000000002,2092.3069200000004,5646.999999999985,-5.638867150992155e-11
evaluation,STRESS,BUY_HOLD,-62049.208920000034,-34312.200000000026,-11183.7,4448.80892,12104.50000000002,1.2732925824820995e-11
earlier_diagnostic,BASE,REARM_RIDGE,3984.8854000000283,3971.9999999999854,0.0,-2.8853999999998905,-10.0,4.297362465877086e-11
earlier_diagnostic,BASE,REARM_NONE,15807.006400000013,15831.99999999997,0.0,8.993600000000015,15.999999999967258,9.322320693172514e-12
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,61615.02424,61327.8,962.5000000000001,195.07576000000006,480.20000000000255,-1.5916157281026244e-12
earlier_diagnostic,BASE,BUY_HOLD,65085.58254,83451.09999999998,-15124.199999999997,836.51746,2404.799999999975,-1.3642420526593924e-12
earlier_diagnostic,STRESS,REARM_RIDGE,3927.5988799998886,3901.7999999999884,0.0,-5.798879999999826,-20.0,-9.958966984413564e-11
earlier_diagnostic,STRESS,REARM_NONE,15602.084800000011,15651.99999999997,0.0,17.91520000000014,32.0,4.069988790433854e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,60197.43815999996,60689.7,962.5000000000001,384.0618400000001,1070.7000000000044,-3.115019353572279e-11
earlier_diagnostic,STRESS,BUY_HOLD,61095.571559999924,82600.19999999997,-15124.199999999997,1658.9284400000001,4721.50000000001,-3.728928277269006e-11
