period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-02-05,2020-02-04,199940.78016,2587.2000000000407,80.43552,211.20000000002364,0.0,27,1,1,2020-03-13,2020-03-12,False,2295.5644800000173,0.011481221980643578
evaluation,BASE,2,2020-07-01,2020-06-30,201998.39160000003,22172.0,85.15976000000002,289.20000000001096,0.0,13,1,1,2020-07-20,2020-07-17,False,21797.64023999999,0.10790996931878534
evaluation,BASE,3,2020-08-19,2020-08-18,223577.7066,-10878.299999999988,87.18245999999999,275.40000000001044,0.0,17,1,1,2020-09-11,2020-09-10,False,-11240.882459999999,-0.0502772956702294
evaluation,BASE,4,2021-01-05,2021-01-04,211937.57903999998,1074.6000000000058,84.92524,238.80000000000905,2865.6,19,1,1,2021-02-01,2021-01-29,False,3616.4747599999964,0.017063867466927337
evaluation,BASE,5,2021-02-04,2021-02-03,215285.24844000002,827.3999999999942,86.21508,236.40000000000896,0.0,10,1,1,2021-02-25,2021-02-24,False,504.7849199999853,0.0023447260026302676
evaluation,BASE,6,2021-06-08,2021-06-07,216486.08855999997,-19877.399999999965,82.55256,245.4000000000093,0.0,35,1,1,2021-07-28,2021-07-27,False,-20205.352559999974,-0.09333326078548451
evaluation,BASE,7,2021-10-29,2021-10-28,196514.59506,635.2000000000116,78.66952,238.19999999997378,0.0,2,1,1,2021-11-02,2021-11-01,False,318.3304800000378,0.0016198821258179064
evaluation,BASE,8,2021-11-25,2021-11-24,197078.80788000004,-3861.2000000000116,77.99624000000001,236.40000000000896,0.0,2,1,1,2021-11-29,2021-11-26,False,-4175.596240000021,-0.021187444174832402
evaluation,BASE,9,2021-12-02,2021-12-01,192527.79786,2424.2000000000116,77.43364,234.6000000000089,0.0,2,1,1,2021-12-06,2021-12-03,False,2112.1663600000024,0.010970708559892748
evaluation,BASE,10,2022-05-13,2022-05-12,194750.9424,927.1999999999825,78.02144000000001,243.9999999999731,0.0,3,1,1,2022-05-18,2022-05-17,False,605.1785600000094,0.0031074486857015043
evaluation,BASE,11,2022-06-08,2022-06-07,195618.71592,1167.500000000029,78.4093,280.2000000000106,0.0,3,1,1,2022-06-13,2022-06-10,False,808.8907000000185,0.004135037366929765
evaluation,BASE,12,2022-08-10,2022-08-09,195992.1906,2329.999999999971,78.79128,279.6000000000106,0.0,2,1,1,2022-08-12,2022-08-11,False,1971.6087199999604,0.010059628977890308
evaluation,BASE,13,2024-02-19,2024-02-08,198210.83424,821.7999999999884,79.38588,234.79999999997415,0.0,2,1,1,2024-02-21,2024-02-20,False,507.61412000001417,0.002560980694856361
evaluation,BASE,14,2024-06-18,2024-06-17,198895.7712,-336.0,79.43039999999999,224.00000000002507,0.0,2,1,1,2024-06-20,2024-06-19,False,-639.430400000025,-0.0032149019365376283
evaluation,BASE,15,2024-06-28,2024-06-27,197823.95687999998,1138.0,79.29584,227.6000000000002,0.0,2,1,1,2024-07-02,2024-07-01,False,831.1041599999999,0.004201231100155112
evaluation,BASE,16,2024-08-02,2024-08-01,197719.73604000002,-1827.2000000000116,78.66096000000002,228.4000000000002,0.0,2,1,1,2024-08-06,2024-08-05,False,-2134.260960000012,-0.010794374920509891
evaluation,BASE,17,2024-08-28,2024-08-27,196289.65008,-1629.6000000000058,78.12768,232.8000000000002,0.0,2,1,1,2024-08-30,2024-08-29,False,-1940.527680000006,-0.009886041771479661
evaluation,BASE,18,2024-09-04,2024-09-03,194019.39612000002,232.79999999998836,77.59224,232.8000000000002,0.0,2,1,1,2024-09-06,2024-09-05,False,-77.59224000001186,-0.0003999200159968617
evaluation,BASE,19,2024-09-25,2024-09-24,194836.75956,11773.800000000017,80.22924,223.20000000002497,0.0,2,1,1,2024-09-27,2024-09-26,False,11470.370759999993,0.05887169744509988
evaluation,BASE,20,2025-04-10,2025-04-09,206267.2452,1458.0,82.7388,215.9999999999762,0.0,3,1,1,2025-04-15,2025-04-14,False,1159.2612000000238,0.0056201904421421135
evaluation,BASE,21,2025-06-03,2025-05-30,206521.69608,2144.2999999999884,82.97918000000001,209.2000000000002,0.0,3,1,1,2025-06-06,2025-06-05,False,1852.1208199999883,0.00896816583998291
evaluation,BASE,22,2025-06-13,2025-06-12,208841.76,-4959.0,82.48644000000002,208.799999999977,4593.599999999999,3,1,1,2025-06-18,2025-06-17,False,-656.6864399999776,-0.003144421115776737
