fit_index,fit_origin,status,training_cycles,training_rows,whole_cycles_mature,original_support_identical,maximum_gradient_residual
632,2014-12-31,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,True,True,
633,2015-01-05,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,True,True,
653,2015-02-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,2,111,True,True,
668,2015-03-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,True,True,
690,2015-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,True,True,
711,2015-05-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,True,True,
731,2015-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,4,176,True,True,
752,2015-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
775,2015-08-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
796,2015-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
816,2015-10-08,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
833,2015-11-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
854,2015-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,True,True,
877,2016-01-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,6,260,True,True,
897,2016-02-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
913,2016-03-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
936,2016-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
956,2016-05-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
977,2016-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
997,2016-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,True,True,
1018,2016-08-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,True,True,
1041,2016-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,True,True,
1061,2016-10-10,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,True,True,
1077,2016-11-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,True,True,
1099,2016-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,True,True,
1121,2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,True,True,
1139,2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,True,True,
1157,2017-03-01,FIT_COMPLETE,10,438,True,True,1.0581813203458523e-16
1180,2017-04-05,FIT_COMPLETE,10,438,True,True,1.0581813203458523e-16
1198,2017-05-02,FIT_COMPLETE,10,438,True,True,1.0581813203458523e-16
1218,2017-06-01,FIT_COMPLETE,11,497,True,True,1.1882855810441129e-16
1240,2017-07-03,FIT_COMPLETE,11,497,True,True,1.1882855810441129e-16
1261,2017-08-01,FIT_COMPLETE,11,497,True,True,1.1882855810441129e-16
1284,2017-09-01,FIT_COMPLETE,12,556,True,True,9.063930161978817e-17
1305,2017-10-09,FIT_COMPLETE,12,556,True,True,9.063930161978817e-17
1322,2017-11-01,FIT_COMPLETE,12,556,True,True,9.063930161978817e-17
1344,2017-12-01,FIT_COMPLETE,13,615,True,True,7.806255641895632e-17
1365,2018-01-02,FIT_COMPLETE,13,615,True,True,7.806255641895632e-17
1387,2018-02-01,FIT_COMPLETE,13,615,True,True,7.806255641895632e-17
1402,2018-03-01,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1424,2018-04-02,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1442,2018-05-02,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1464,2018-06-01,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1484,2018-07-02,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1506,2018-08-01,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1529,2018-09-03,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1548,2018-10-08,FIT_COMPLETE,14,671,True,True,5.377642775528102e-17
1566,2018-11-01,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1588,2018-12-03,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1608,2019-01-02,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1630,2019-02-01,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1645,2019-03-01,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1666,2019-04-01,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1687,2019-05-06,FIT_COMPLETE,15,678,True,True,1.2967057982926633e-16
1707,2019-06-03,FIT_COMPLETE,16,721,True,True,1.491862189340054e-16
1726,2019-07-01,FIT_COMPLETE,16,721,True,True,1.491862189340054e-16
1749,2019-08-01,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1771,2019-09-02,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1791,2019-10-08,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1809,2019-11-01,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1830,2019-12-02,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1852,2020-01-02,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1868,2020-02-03,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1888,2020-03-02,FIT_COMPLETE,17,759,True,True,6.245004513516506e-17
1910,2020-04-01,FIT_COMPLETE,18,787,True,True,3.495196753550145e-16
1931,2020-05-06,FIT_COMPLETE,18,787,True,True,3.495196753550145e-16
1949,2020-06-01,FIT_COMPLETE,19,829,True,True,7.025630077706069e-17
1969,2020-07-01,FIT_COMPLETE,19,829,True,True,7.025630077706069e-17
1992,2020-08-03,FIT_COMPLETE,19,829,True,True,7.025630077706069e-17
2013,2020-09-01,FIT_COMPLETE,19,829,True,True,7.025630077706069e-17
2035,2020-10-09,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2051,2020-11-02,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2072,2020-12-01,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
2095,2021-01-04,FIT_COMPLETE,20,888,True,True,6.245004513516506e-17
