period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,REDUCE_100_UPPER00,614,55,52,0,0,0.1810588318584631
evaluation,BASE,REDUCE_100_LOWER00,614,56,56,0,0,0.17912958505542065
evaluation,BASE,REDUCE_100_HOLD,614,54,43,0,0,0.20720187139847332
evaluation,BASE,REDUCE_100_HALF,614,55,69,0,0,0.18394162712531795
evaluation,BASE,REDUCE_105_UPPER00,614,55,51,0,0,0.18663930550030725
evaluation,BASE,REDUCE_105_LOWER00,614,56,55,0,0,0.1845418709656702
evaluation,BASE,REDUCE_105_HOLD,614,54,43,0,0,0.21373251073840424
evaluation,BASE,REDUCE_105_HALF,614,55,67,0,0,0.1891665910297543
evaluation,STRESS,REDUCE_100_UPPER00,614,55,52,0,0,0.18151510673898474
evaluation,STRESS,REDUCE_100_LOWER00,614,56,56,0,0,0.17951827702059123
evaluation,STRESS,REDUCE_100_HOLD,614,54,43,0,0,0.20751031459822017
evaluation,STRESS,REDUCE_100_HALF,614,55,69,0,0,0.1843903840189672
evaluation,STRESS,REDUCE_105_UPPER00,614,55,51,0,0,0.1870398980626578
evaluation,STRESS,REDUCE_105_LOWER00,614,56,55,0,0,0.18498860541421408
evaluation,STRESS,REDUCE_105_HOLD,614,54,43,0,0,0.21415781142552417
evaluation,STRESS,REDUCE_105_HALF,614,55,68,0,0,0.18949833341304542
earlier_diagnostic,BASE,REDUCE_100_UPPER00,523,29,31,0,0,0.27273681878776973
earlier_diagnostic,BASE,REDUCE_100_LOWER00,523,29,31,0,0,0.2717682628673031
earlier_diagnostic,BASE,REDUCE_100_HOLD,523,28,24,0,0,0.31590125420490756
earlier_diagnostic,BASE,REDUCE_100_HALF,523,28,35,0,0,0.28133333449789205
earlier_diagnostic,BASE,REDUCE_105_UPPER00,523,29,32,0,0,0.2777977879602881
earlier_diagnostic,BASE,REDUCE_105_LOWER00,523,29,32,0,0,0.2768609961925711
earlier_diagnostic,BASE,REDUCE_105_HOLD,523,28,24,0,0,0.3272549507091063
earlier_diagnostic,BASE,REDUCE_105_HALF,523,28,36,0,0,0.2892235411044925
earlier_diagnostic,STRESS,REDUCE_100_UPPER00,529,30,31,0,0,0.2756948554828649
earlier_diagnostic,STRESS,REDUCE_100_LOWER00,529,30,31,0,0,0.2747694768228453
earlier_diagnostic,STRESS,REDUCE_100_HOLD,529,29,24,0,0,0.31895858269311794
earlier_diagnostic,STRESS,REDUCE_100_HALF,529,29,35,0,0,0.28434183769110566
earlier_diagnostic,STRESS,REDUCE_105_UPPER00,529,29,32,0,0,0.2790862733164515
earlier_diagnostic,STRESS,REDUCE_105_LOWER00,529,29,32,0,0,0.2781730626785145
earlier_diagnostic,STRESS,REDUCE_105_HOLD,529,28,24,0,0,0.32842339157251343
earlier_diagnostic,STRESS,REDUCE_105_HALF,529,28,36,0,0,0.29033494052986897
