model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
REDUCE_100_UPPER00,evaluation,BASE,1.1887756809696532,43,614,202077.90000000008,11879.933679999958,190197.96631999995
REDUCE_100_UPPER00,evaluation,STRESS,1.1343306456102642,43,614,199094.10000000003,21165.621880000028,177928.47812000016
REDUCE_100_UPPER00,earlier_diagnostic,BASE,1.2424274906432617,24,523,137236.4,6398.899460000077,130837.5005400001
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,1.2326708497020904,24,529,142792.3,12279.659639999983,130512.6403599999
REDUCE_100_LOWER00,evaluation,BASE,1.2344638790842042,43,614,195775.09999999998,11932.394379999801,183842.7056200002
REDUCE_100_LOWER00,evaluation,STRESS,1.1760923772079037,43,614,192745.79999999996,21252.129039999985,171493.6709600002
REDUCE_100_LOWER00,earlier_diagnostic,BASE,1.251028231591,24,523,138722.9,6423.73746000007,132299.16254000005
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,1.240987498913952,24,529,144319.8,12326.670239999983,131993.12975999992
REDUCE_100_HOLD,evaluation,BASE,1.18912530280374,43,614,212903.60000000003,11679.399919999902,201224.20008000004
REDUCE_100_HOLD,evaluation,STRESS,1.1391330605173828,43,614,209934.80000000005,20848.00884000004,189086.7911599999
REDUCE_100_HOLD,earlier_diagnostic,BASE,1.1679218798138709,24,523,158321.3,6718.401540000099,151602.89845999982
REDUCE_100_HOLD,earlier_diagnostic,STRESS,1.1620535585405503,24,529,164437.6,12907.20835999998,151530.3916400001
REDUCE_100_HALF,evaluation,BASE,1.2069611053742235,43,614,197699.90000000002,11739.766079999878,185960.13391999993
REDUCE_100_HALF,evaluation,STRESS,1.1517565493318789,43,614,194865.80000000002,20937.785440000018,173928.0145599998
REDUCE_100_HALF,earlier_diagnostic,BASE,1.238265967715554,24,523,142700.8,6459.216420000076,136241.58357999992
REDUCE_100_HALF,earlier_diagnostic,STRESS,1.2297833820218853,24,529,148463.80000000002,12400.17079999998,136063.62919999997
REDUCE_105_UPPER00,evaluation,BASE,1.1957527664986094,43,614,208216.30000000008,12390.038179999945,195826.26182000007
REDUCE_105_UPPER00,evaluation,STRESS,1.1405191857228123,43,614,205160.0000000001,22062.682480000032,183097.31751999998
REDUCE_105_UPPER00,earlier_diagnostic,BASE,1.2268186675082446,24,523,140656.1,6634.758600000072,134021.34139999986
REDUCE_105_UPPER00,earlier_diagnostic,STRESS,1.2408189928832243,24,529,149154.3,12525.187839999984,136629.11215999984
REDUCE_105_LOWER00,evaluation,BASE,1.2241037984839638,43,614,213067.7,12587.282019999799,200480.41798000026
REDUCE_105_LOWER00,evaluation,STRESS,1.168497689974868,43,614,210005.69999999995,22415.653599999987,187590.0464000001
REDUCE_105_LOWER00,earlier_diagnostic,BASE,1.2361356618604138,24,523,142190.1,6658.081240000076,135532.0187599999
REDUCE_105_LOWER00,earlier_diagnostic,STRESS,1.2490118961272827,24,529,150586.9,12570.851599999984,138016.04840000032
REDUCE_105_HOLD,evaluation,BASE,1.1938370824194333,43,614,219667.60000000006,12183.010819999905,207484.58918000024
REDUCE_105_HOLD,evaluation,STRESS,1.1434231352000004,43,614,216405.40000000002,21736.55916000004,194668.84084000002
REDUCE_105_HOLD,earlier_diagnostic,BASE,1.1751849149535045,24,523,167856.9,7061.180660000104,160795.71933999966
REDUCE_105_HOLD,earlier_diagnostic,STRESS,1.1877935421081294,24,529,177047.30000000002,13334.339999999982,163712.96000000014
REDUCE_105_HALF,evaluation,BASE,1.1960339214486408,43,614,207572.30000000005,12291.251379999874,195281.04862000025
REDUCE_105_HALF,evaluation,STRESS,1.1476538543462311,43,614,205746.10000000003,21915.368280000024,183830.73171999998
REDUCE_105_HALF,earlier_diagnostic,BASE,1.2348367927972366,24,523,148842.7,6740.728960000077,142101.97104000003
REDUCE_105_HALF,earlier_diagnostic,STRESS,1.248449219284341,24,529,157462.40000000002,12718.953319999986,144743.44667999994
