model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
REDUCE_100_UPPER00,evaluation,BASE,ADD_GATE_EXPOSURE_105,-11605.348480000568,-11672.899999999907,-679.8999999999996,-181.85152000000016,-565.5999999998749,-0.045535643931595926
REDUCE_100_UPPER00,evaluation,BASE,ADD_GATE_BAND20_LOWER01,5401.152539999806,5171.4000000000815,138.70000000000073,-25.452540000000226,-65.59999999989304,-0.05597609908613421
REDUCE_100_UPPER00,evaluation,BASE,INTENT_MIX_BAND_00,3485.5110599998734,5679.100000000035,-4385.0,-809.1110599999997,-1382.2999999998701,-0.05172570104228136
REDUCE_100_UPPER00,evaluation,BASE,INTENT_MIX_BAND_20,2329.874019999872,3821.9000000000524,-2904.1000000000004,-383.3740200000002,-1028.6999999998698,-0.03415021588944689
REDUCE_100_UPPER00,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,225.55823999963468,2842.20000000007,-4727.800000000001,-465.8582400000005,-1645.2999999998538,-0.0416482895625907
REDUCE_100_UPPER00,evaluation,BASE,BUY_HOLD,136946.90207999994,162949.10000000003,-14498.400000000001,2872.69792,8631.099999999948,0.9008762903144598
REDUCE_100_UPPER00,evaluation,STRESS,ADD_GATE_EXPOSURE_105,-10836.069879999675,-11487.899999999936,-664.0999999999985,-346.8301199999987,-969.1000000000058,-0.044238317345399514
REDUCE_100_UPPER00,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,5465.8893999999855,5171.500000000029,138.70000000000255,-40.88940000000002,-114.79999999999927,-0.05184538773968872
REDUCE_100_UPPER00,evaluation,STRESS,INTENT_MIX_BAND_00,5783.17868000007,6288.899999999994,-4195.0999999999985,-1154.7786799999994,-2534.600000000006,-0.03846795571427286
REDUCE_100_UPPER00,evaluation,STRESS,INTENT_MIX_BAND_20,4429.161239999987,4604.0,-2809.0999999999967,-728.5612399999991,-1905.7000000000153,-0.023220075536615425
REDUCE_100_UPPER00,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,3312.6664400001755,3806.7000000000407,-4527.4,-1046.166439999999,-2987.2000000000116,-0.02679751750079773
REDUCE_100_UPPER00,evaluation,STRESS,BUY_HOLD,124956.74964000014,160055.0,-14588.1,5466.750360000001,15043.400000000038,0.8474222153000366
REDUCE_100_UPPER00,earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,-2463.457939999993,-2506.2000000000116,-175.89999999999964,-54.242060000000265,-164.40000000000418,0.017037564948297
REDUCE_100_UPPER00,earlier_diagnostic,BASE,ADD_GATE_BAND20_LOWER01,647.1645600001793,657.3999999999942,4.599999999999909,3.835439999999835,10.999999999991815,0.0013877563071744703
REDUCE_100_UPPER00,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,-4362.498239999986,-5361.600000000006,-278.6999999999998,-528.2017599999999,-749.6000000000013,0.05842108493683984
REDUCE_100_UPPER00,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,-11923.330859999754,-12204.199999999983,-129.29999999999973,-100.16913999999974,-310.00000000001364,-0.008528404929400768
REDUCE_100_UPPER00,earlier_diagnostic,BASE,TWO_CLOSE_ZERO_EXIT,-10669.155139999872,-11543.099999999977,-203.19999999999982,-220.74486000000024,-856.4000000000078,0.05977269368469229
REDUCE_100_UPPER00,earlier_diagnostic,BASE,BUY_HOLD,88375.30630000008,108068.59999999999,-13656.399999999998,1570.4937,4466.400000000083,0.9637055044907097
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_105,-5429.926840000087,-5475.100000000006,-171.29999999999973,-54.07316000000037,-162.40000000000146,-0.007102450119908843
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,ADD_GATE_BAND20_LOWER01,663.5719599998556,688.1999999999825,4.599999999999909,7.7280399999999645,21.50000000000182,0.0016736597403932407
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,INTENT_MIX_BAND_00,-6481.253480000014,-8227.300000000017,-273.0,-646.94652,-1372.0999999999913,0.04527496429038824
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,INTENT_MIX_BAND_20,-11791.154040000169,-12457.0,-124.69999999999982,-199.04595999999947,-591.4999999999982,-0.007470872996155009
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,TWO_CLOSE_ZERO_EXIT,-12929.912720000139,-14827.5,-194.0,-502.4872799999994,-1589.0999999999913,0.04593426782366983
REDUCE_100_UPPER00,earlier_diagnostic,STRESS,BUY_HOLD,88357.0518799999,113647.49999999999,-13679.399999999998,3065.24812,8545.799999999988,0.9549630755213658
REDUCE_100_LOWER00,evaluation,BASE,ADD_GATE_EXPOSURE_105,-17960.60918000032,-19157.20000000001,501.60000000000036,-165.79082000000017,-529.2000000000317,0.00015255418295501144
REDUCE_100_LOWER00,evaluation,BASE,ADD_GATE_BAND20_LOWER01,-954.1081599999452,-2312.9000000000233,1320.2000000000007,-9.39184000000023,-29.20000000004984,-0.010287900971583275
REDUCE_100_LOWER00,evaluation,BASE,INTENT_MIX_BAND_00,-2869.749639999878,-1805.2000000000698,-3203.5,-793.0503599999997,-1345.900000000027,-0.00603750292773042
REDUCE_100_LOWER00,evaluation,BASE,INTENT_MIX_BAND_20,-4025.3866799998796,-3662.4000000000524,-1722.6000000000004,-367.3133200000002,-992.3000000000266,0.011537982225104049
REDUCE_100_LOWER00,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,-6129.702460000117,-4642.100000000035,-3546.300000000001,-449.7975400000005,-1608.9000000000106,0.004039908551960236
REDUCE_100_LOWER00,evaluation,BASE,BUY_HOLD,130591.64138000019,155464.79999999993,-13316.900000000001,2888.75862,8667.49999999979,0.9465644884290108
REDUCE_100_LOWER00,evaluation,STRESS,ADD_GATE_EXPOSURE_105,-17270.877039999643,-19003.300000000017,503.0,-323.72295999999915,-905.700000000048,-0.002476585747759996
REDUCE_100_LOWER00,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,-968.9177599999821,-2343.9000000000524,1305.800000000001,-17.782240000000456,-51.40000000004147,-0.010083656142049202
REDUCE_100_LOWER00,evaluation,STRESS,INTENT_MIX_BAND_00,-651.6284799998975,-1226.5000000000873,-3028.0,-1131.6715199999999,-2471.200000000048,0.0032937758833666564
REDUCE_100_LOWER00,evaluation,STRESS,INTENT_MIX_BAND_20,-2005.6459199999808,-2911.4000000000815,-1641.9999999999982,-705.4540799999995,-1842.3000000000575,0.018541656061024092
REDUCE_100_LOWER00,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,-3122.140719999792,-3708.7000000000407,-3360.300000000001,-1023.0592799999995,-2923.800000000054,0.014964214096841788
REDUCE_100_LOWER00,evaluation,STRESS,BUY_HOLD,118521.94248000017,152539.59999999992,-13421.000000000002,5489.8575200000005,15106.799999999996,0.8891839468976761
REDUCE_100_LOWER00,earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,-1001.79594000004,-1033.500000000029,-162.0999999999999,-47.9040600000003,-145.90000000001055,0.02563830589603522
REDUCE_100_LOWER00,earlier_diagnostic,BASE,ADD_GATE_BAND20_LOWER01,2108.8265600001323,2130.0999999999767,18.399999999999636,10.1734399999998,29.499999999985448,0.009988497254912687
REDUCE_100_LOWER00,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,-2900.8362400000333,-3888.9000000000233,-264.9000000000001,-521.86376,-731.1000000000076,0.06702182588457806
REDUCE_100_LOWER00,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,-10461.668859999801,-10731.5,-115.5,-93.83113999999978,-291.50000000002,7.233601833744885e-05
REDUCE_100_LOWER00,earlier_diagnostic,BASE,TWO_CLOSE_ZERO_EXIT,-9207.493139999919,-10070.399999999994,-189.4000000000001,-214.40686000000028,-837.9000000000142,0.06837343463243051
REDUCE_100_LOWER00,earlier_diagnostic,BASE,BUY_HOLD,89836.96830000004,109541.29999999997,-13642.599999999997,1576.8317,4484.900000000076,0.9723062454384479
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_105,-3949.437440000067,-3956.8000000000175,-162.0999999999999,-41.462560000000394,-128.00000000000182,0.0012141990919527501
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,ADD_GATE_BAND20_LOWER01,2144.061359999876,2206.499999999971,13.799999999999727,20.33863999999994,55.900000000001455,0.009990308952254834
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,INTENT_MIX_BAND_00,-5000.764079999994,-6709.000000000029,-263.8000000000002,-634.33592,-1337.6999999999916,0.053591613502249835
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,INTENT_MIX_BAND_20,-10310.664640000148,-10938.700000000012,-115.5,-186.4353599999995,-557.0999999999985,0.000845776215706584
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,TWO_CLOSE_ZERO_EXIT,-11449.423320000118,-13309.200000000012,-184.80000000000018,-489.8766799999994,-1554.6999999999916,0.05425091703553142
REDUCE_100_LOWER00,earlier_diagnostic,STRESS,BUY_HOLD,89837.54127999992,115165.79999999997,-13670.199999999997,3077.85872,8580.199999999988,0.9632797247332274
REDUCE_100_HOLD,evaluation,BASE,ADD_GATE_EXPOSURE_105,-579.114720000478,-4552.599999999948,3025.500000000002,-227.1852800000006,-720.799999999932,-0.045186022097509104
REDUCE_100_HOLD,evaluation,BASE,ADD_GATE_BAND20_LOWER01,16427.386299999896,12291.70000000004,3844.100000000002,-70.78630000000067,-220.79999999995016,-0.05562647725204739
REDUCE_100_HOLD,evaluation,BASE,INTENT_MIX_BAND_00,14511.744819999964,12799.399999999994,-679.5999999999985,-854.4448200000002,-1537.4999999999272,-0.051376079208194536
REDUCE_100_HOLD,evaluation,BASE,INTENT_MIX_BAND_20,13356.107779999962,10942.200000000012,801.3000000000011,-428.70778000000064,-1183.8999999999269,-0.03380059405536007
REDUCE_100_HOLD,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,11251.791999999725,9962.50000000003,-1022.3999999999996,-511.1920000000009,-1800.4999999999109,-0.04129866772850388
REDUCE_100_HOLD,evaluation,BASE,BUY_HOLD,147973.13584000003,170069.40000000002,-10793.0,2827.3641599999996,8475.89999999989,0.9012259121485466
REDUCE_100_HOLD,evaluation,STRESS,ADD_GATE_EXPOSURE_105,322.24316000007093,-4264.399999999936,2953.1000000000004,-425.74316,-1207.7999999999956,-0.03943590243828088
REDUCE_100_HOLD,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,16624.20243999973,12395.00000000003,3755.9000000000015,-119.8024400000013,-353.4999999999891,-0.047042972832570085
REDUCE_100_HOLD,evaluation,STRESS,INTENT_MIX_BAND_00,16941.491719999816,13512.399999999994,-577.8999999999996,-1233.6917200000007,-2773.2999999999956,-0.033665540807154226
REDUCE_100_HOLD,evaluation,STRESS,INTENT_MIX_BAND_20,15587.474279999733,11827.5,808.1000000000022,-807.4742800000004,-2144.400000000005,-0.01841766062949679
REDUCE_100_HOLD,evaluation,STRESS,TWO_CLOSE_ZERO_EXIT,14470.979479999922,11030.20000000004,-910.2000000000007,-1125.0794800000003,-3225.9000000000015,-0.021995102593679094
REDUCE_100_HOLD,evaluation,STRESS,BUY_HOLD,136115.0626799999,167278.5,-10970.900000000001,5387.83732,14804.700000000048,0.8522246302071552
REDUCE_100_HOLD,earlier_diagnostic,BASE,ADD_GATE_EXPOSURE_105,18301.939979999734,18416.699999999983,-13.899999999999636,27.360019999999622,73.50000000001819,-0.05746804588109389
REDUCE_100_HOLD,earlier_diagnostic,BASE,ADD_GATE_BAND20_LOWER01,21412.562479999906,21580.29999999999,166.5999999999999,85.43751999999972,248.9000000000142,-0.07311785452221642
REDUCE_100_HOLD,earlier_diagnostic,BASE,INTENT_MIX_BAND_00,16402.89967999974,15561.299999999988,-116.69999999999982,-446.59968000000003,-511.6999999999789,-0.01608452589255105
REDUCE_100_HOLD,earlier_diagnostic,BASE,INTENT_MIX_BAND_20,8842.067059999972,8718.700000000012,32.70000000000027,-18.567059999999856,-72.09999999999127,-0.08303401575879166
REDUCE_100_HOLD,earlier_diagnostic,BASE,TWO_CLOSE_ZERO_EXIT,10096.242779999855,9379.800000000017,-41.19999999999982,-139.14278000000036,-618.4999999999854,-0.014732917144698598
REDUCE_100_HOLD,earlier_diagnostic,BASE,BUY_HOLD,109140.70421999981,128991.49999999999,-13494.399999999998,1652.0957799999999,4704.300000000105,0.8891998936613188
REDUCE_100_HOLD,earlier_diagnostic,STRESS,ADD_GATE_EXPOSURE_105,15587.824440000113,16008.200000000012,-9.299999999999727,112.77555999999959,298.29999999999563,-0.07771974128144898
REDUCE_100_HOLD,earlier_diagnostic,STRESS,ADD_GATE_BAND20_LOWER01,21681.323240000056,22171.5,166.5999999999999,174.57675999999992,482.1999999999989,-0.0689436314211469
REDUCE_100_HOLD,earlier_diagnostic,STRESS,INTENT_MIX_BAND_00,14536.497800000187,13256.0,-111.0,-480.0978,-911.3999999999942,-0.0253423268711519
REDUCE_100_HOLD,earlier_diagnostic,STRESS,INTENT_MIX_BAND_20,9226.597240000032,9026.300000000017,37.30000000000018,-32.19723999999951,-130.8000000000011,-0.07808816415769515
REDUCE_100_HOLD,earlier_diagnostic,STRESS,TWO_CLOSE_ZERO_EXIT,8087.838560000062,6655.8000000000175,-32.0,-335.6385599999994,-1128.3999999999942,-0.024683023337870313
REDUCE_100_HOLD,earlier_diagnostic,STRESS,BUY_HOLD,109374.8031600001,135130.8,-13517.399999999998,3232.09684,9006.499999999985,0.8843457843598257
REDUCE_100_HALF,evaluation,BASE,ADD_GATE_EXPOSURE_105,-15843.180880000582,-17329.49999999997,598.7000000000007,-220.71911999999975,-666.899999999956,-0.027350219527025654
REDUCE_100_HALF,evaluation,BASE,ADD_GATE_BAND20_LOWER01,1163.3201399997924,-485.19999999998254,1417.300000000001,-64.32013999999981,-166.89999999997417,-0.03779067468156394
REDUCE_100_HALF,evaluation,BASE,INTENT_MIX_BAND_00,-752.3213400001405,22.499999999970896,-3106.3999999999996,-847.9786599999993,-1483.5999999999513,-0.033540276637711086
REDUCE_100_HALF,evaluation,BASE,INTENT_MIX_BAND_20,-1907.958380000142,-1834.7000000000116,-1625.5,-422.2416199999998,-1129.999999999951,-0.015964791484876617
REDUCE_100_HALF,evaluation,BASE,TWO_CLOSE_ZERO_EXIT,-4012.274160000379,-2814.399999999994,-3449.2000000000007,-504.72584000000006,-1746.5999999999349,-0.02346286515802043
REDUCE_100_HALF,evaluation,BASE,BUY_HOLD,132709.06967999993,157292.5,-13219.800000000001,2833.8303200000005,8529.799999999866,0.9190617147190301
REDUCE_100_HALF,evaluation,STRESS,ADD_GATE_EXPOSURE_105,-14836.533440000028,-16957.899999999965,577.6000000000004,-411.7665599999991,-1132.0000000000146,-0.026812413623784837
REDUCE_100_HALF,evaluation,STRESS,ADD_GATE_BAND20_LOWER01,1465.4258399996324,-298.5,1380.4000000000015,-105.82584000000043,-277.700000000008,-0.03441948401807404
REDUCE_100_HALF,evaluation,STRESS,INTENT_MIX_BAND_00,1782.715119999717,818.8999999999651,-2953.3999999999996,-1219.7151199999998,-2697.5000000000146,-0.021042051992658184
