period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,addition_allowed_origins,rebalance_band,direction,return_threshold
evaluation,REDUCE_100_UPPER00,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_LOWER00,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_HOLD,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_HALF,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_UPPER00,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_LOWER00,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_HOLD,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_HALF,BASE,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_UPPER00,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_LOWER00,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_HOLD,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_100_HALF,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_UPPER00,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_LOWER00,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_HOLD,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
evaluation,REDUCE_105_HALF,STRESS,1604,615,989,0,259,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_UPPER00,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_LOWER00,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_HOLD,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_HALF,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_UPPER00,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_LOWER00,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_HOLD,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_HALF,BASE,1219,524,695,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_UPPER00,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_LOWER00,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_HOLD,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_100_HALF,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_UPPER00,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_LOWER00,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_HOLD,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
earlier_diagnostic,REDUCE_105_HALF,STRESS,1219,530,689,0,232,0.2,LOWER,0.01
