period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,REDUCE_100_UPPER00,2020,0.20440471510000027,0.20348324995028494,0.18945018846319706,0.09259785899972478,2.045945667747676,-0.026344317520737123,243,0.19312518675231413,13,285.75698,919.9000000000177,False,3.7971403799019754e-11
evaluation,BASE,REDUCE_100_UPPER00,2021,0.1093301652252891,0.10885660345104892,0.1052861537105068,0.06261932383505121,1.6813684221159346,-0.027288553515331115,243,0.18640610539160302,15,362.54670000000004,1013.3999999999512,False,3.456079866737127e-11
evaluation,BASE,REDUCE_100_UPPER00,2022,-0.020501221277294524,-0.020501221277294524,-0.020049962540847566,0.03652496617827314,-0.5489385655550388,-0.03711341249379507,242,0.07701219809059485,21,338.96452,1027.3000000000404,False,5.539391167985741e-11
evaluation,BASE,REDUCE_100_UPPER00,2023,-0.0007313909728943578,-0.0007313909728943578,-0.0006528781672902051,0.012592986092052208,-0.051844587337570004,-0.010596629140697526,242,0.0381098124705402,12,218.63298,681.799999999971,False,4.229150363244116e-11
evaluation,BASE,REDUCE_100_UPPER00,2024,0.3001210236720249,0.3001210236720249,0.2767757096471096,0.1726140513648456,1.6034367275355978,-0.06668211425202616,242,0.3395415012256491,17,622.307,1836.0999999999212,False,8.049028110690415e-11
evaluation,BASE,REDUCE_100_UPPER00,2025,0.15139449397768476,0.1507267186852012,0.14149700303555854,0.04643783037886585,3.047020110137504,-0.008354824486973106,243,0.19149835899969533,15,513.1390200000001,1537.7000000000266,False,6.912159733474255e-11
evaluation,BASE,REDUCE_100_UPPER00,2026,-0.0033844405087345808,-0.005491068166387406,-0.0012951848356529234,0.09201711731626547,-0.014075477187590392,-0.0668334869561258,149,0.27939322966896124,14,617.08648,1905.300000000031,False,7.02584657119587e-11
evaluation,BASE,REDUCE_100_LOWER00,2020,0.2074948414000001,0.20655828899869458,0.19199979182753404,0.09255087900318887,2.0745323425930793,-0.026402305820041622,243,0.19147548373552628,13,286.43172000000004,921.7000000000396,False,4.092726157978177e-11
evaluation,BASE,REDUCE_100_LOWER00,2021,0.09671272844909429,0.09629615930054435,0.09395871918826772,0.06369102402952748,1.4752270138521872,-0.030929779915520685,243,0.1789844471910925,18,397.87586,1119.5999999999306,False,5.638867150992155e-11
evaluation,BASE,REDUCE_100_LOWER00,2022,-0.007053845966540207,-0.007053845966540207,-0.006469200882287196,0.03501845627494434,-0.18473689506741336,-0.03132270547001234,242,0.07053666396878239,21,338.54632000000004,1023.1999999999932,False,4.7350567911053076e-11
evaluation,BASE,REDUCE_100_LOWER00,2023,-0.000734452526085071,-0.000734452526085071,-0.0006559311425776704,0.012593850519179097,-0.05208344672495174,-0.010601812318727736,242,0.03814953044551176,12,219.45128000000005,685.1999999999708,False,4.661870889322017e-11
