model,period,cost,last_normal_close,last_normal_cash,last_normal_shares,last_normal_equity,last_normal_dividend_receivable,terminal_date,terminal_mark_clock,source_normal_target,source_normal_request,terminal_actual_fill,terminal_ending_shares,terminal_fill_differs_from_normal_request,complete_recursive_source_checkpoint_verified
SELECTED_MIX_BAND10_SIMPLE2,evaluation,BASE,2026-08-13,94798.78310000012,64000,397454.7831000001,0.0,2026-08-14,OPEN_TERMINAL,0.761960959644843,0,-64000,0,True,False
SELECTED_MIX_BAND10_SIMPLE2,evaluation,STRESS,2026-08-13,91238.15483999997,61800,383490.35484,0.0,2026-08-14,OPEN_TERMINAL,0.7622760948821008,0,-61800,0,True,False
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,BASE,2019-12-30,5591.734519999882,81400,337296.7345199999,0.0,2019-12-31,OPEN_TERMINAL,0.9839851093725595,0,-81400,0,True,False
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,STRESS,2019-12-30,5277.719000000332,82100,339835.21900000033,0.0,2019-12-31,OPEN_TERMINAL,0.9846905891172616,0,-82100,0,True,False
ADD_GATE_EXPOSURE_115,evaluation,BASE,2026-08-13,66405.33772000013,71800,405947.53772000014,0.0,2026-08-14,OPEN_TERMINAL,0.8376200177966007,0,-71800,0,True,False
ADD_GATE_EXPOSURE_115,evaluation,STRESS,2026-08-13,63771.47423999972,69100,390545.37423999974,0.0,2026-08-14,OPEN_TERMINAL,0.8381815769770992,0,-69100,0,True,False
ADD_GATE_EXPOSURE_115,earlier_diagnostic,BASE,2019-12-30,933.6898400000646,85400,348938.68984000006,0.0,2019-12-31,OPEN_TERMINAL,1.0,0,-85400,0,True,False
ADD_GATE_EXPOSURE_115,earlier_diagnostic,STRESS,2019-12-30,683.9500799999223,86300,352356.4500799999,0.0,2019-12-31,OPEN_TERMINAL,1.0,0,-86300,0,True,False
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,2026-08-13,214776.73154000024,23400,325435.3315400003,0.0,2026-08-14,OPEN_TERMINAL,0.3399393674074074,0,-23400,0,True,False
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,2026-08-13,209774.4398399999,22900,318068.53983999987,0.0,2026-08-14,OPEN_TERMINAL,0.3399393674074074,0,-22900,0,True,False
RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,BASE,2019-12-30,26710.091220000002,65000,291585.09122,0.0,2019-12-31,OPEN_TERMINAL,0.8508999561946504,0,-65000,0,True,False
RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,STRESS,2019-12-30,26536.937880000187,65000,291411.9378800002,0.0,2019-12-31,OPEN_TERMINAL,0.8508999561946504,0,-65000,0,True,False
