node,cost,ledger,decisions,ledger_sha256,decisions_sha256,rows,replay_start,last_normal_date,shares_before_terminal,cash_before_terminal,receivable_before_terminal,normal_request,terminal_fill,complete_checkpoint_verified,restoration
ENTRY_VINTAGE_EXIT,BASE,reports\research\510300_entry_vintage_exit_v1\evaluation\BASE\ENTRY_VINTAGE_EXIT_ledger.parquet,reports\research\510300_entry_vintage_exit_v1\evaluation\BASE\ENTRY_VINTAGE_EXIT_decisions.parquet,da8525233fece4b59eb152f533a3835c067917475cfff6d66cae11e7a72b65c6,5c7d3e7620b0448fe17426290d87ae09b2006ffb90e36081cbb51294f01867c1,1604,2020-01-02,2026-08-13,66000,171.7658600001596,0.0,0,-66000,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
ENTRY_VINTAGE_EXIT,STRESS,reports\research\510300_entry_vintage_exit_v1\evaluation\STRESS\ENTRY_VINTAGE_EXIT_ledger.parquet,reports\research\510300_entry_vintage_exit_v1\evaluation\STRESS\ENTRY_VINTAGE_EXIT_decisions.parquet,b63c8314849483176d0a613923695a4404ee1679f8c8f39900dbe3773771585d,e2ead023ac62e01a14e9a859b73eef6347c9793ac6657e28883152be879dca60,1604,2020-01-02,2026-08-13,64200,294.40208000008715,0.0,0,-64200,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
DOWNSIDE_REFERENCE_RISK,BASE,reports\research\510300_downside_reference_risk_v1\evaluation\BASE\DOWNSIDE_REFERENCE_RISK_ledger.parquet,reports\research\510300_downside_reference_risk_v1\evaluation\BASE\DOWNSIDE_REFERENCE_RISK_decisions.parquet,cb0b1a3642dfbd4279cb66fd7f6e4ff861b3ef5c312adc7ed27610462a2e50b2,d32c5cf83b81fe3466d8067b9fce2aad114a0b4a4dc26cada56175c05826aafc,1604,2020-01-02,2026-08-13,18900,188703.64456,0.0,0,-18900,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
PANIC_ONLY,BASE,reports\research\510300_continuous_reference_min_variance_v1\continuous_references\BASE\PANIC_ONLY_ledger.parquet,reports\research\510300_continuous_reference_min_variance_v1\continuous_references\BASE\PANIC_ONLY_decisions.parquet,f2703a4ba1825f94af96cdec16645a1df2aad5c3b960799d368f016ce927510e,c3a1c349e28059b60aa83105e9b36ee98af454790fd0db1e870c175dbf525f4d,3210,2013-06-03,2026-08-13,0,222060.93666,0.0,0,0,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
REARM_RIDGE_CONTINUOUS,BASE,reports\research\510300_continuous_reference_min_variance_v1\continuous_references\BASE\REARM_RIDGE_ledger.parquet,reports\research\510300_continuous_reference_min_variance_v1\continuous_references\BASE\REARM_RIDGE_decisions.parquet,17eeae0f7dd4272155ee1f0399abea34229c942c7d7e764b4d3ff7fba83777f4,fd6c43e854902c1dfdc768086c7194fb080ccd149cf6334af505e99a0eeae471,3210,2013-06-03,2026-08-13,131200,757.5067400009139,0.0,0,-131200,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,reports\research\510300_continuous_reference_min_variance_v1\evaluation\BASE\CONTINUOUS_REFERENCE_MIN_VARIANCE_ledger.parquet,reports\research\510300_continuous_reference_min_variance_v1\evaluation\BASE\CONTINUOUS_REFERENCE_MIN_VARIANCE_decisions.parquet,864a38a3e707c277b4079cb9ce20648e4bd2409e801682da84187aa2c39d123e,2ed32accbb8537c17a9dd3031b5f540ff3b9e956b2d375167368a3c77b67e92d,1604,2020-01-02,2026-08-13,17900,164238.02910000016,0.0,0,-17900,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,reports\research\510300_return_confirmation_auxiliary_batch_v1\evaluation\BASE\EITHER_CONFIRMED_RUNS_AUXILIARY_ledger.parquet,reports\research\510300_return_confirmation_auxiliary_batch_v1\evaluation\BASE\EITHER_CONFIRMED_RUNS_AUXILIARY_decisions.parquet,d66edaa015915f550f58349ad3d4ae4bdbc95a68585ffea941cbefc03d9f5a34,0ddb6f808574599aa92b42236de1259960ae10e20aef7e2ac66f05f9f88e8f8f,1604,2020-01-02,2026-08-13,22600,207267.82898000017,0.0,0,-22600,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,reports\research\510300_return_confirmation_auxiliary_batch_v1\evaluation\STRESS\EITHER_CONFIRMED_RUNS_AUXILIARY_ledger.parquet,reports\research\510300_return_confirmation_auxiliary_batch_v1\evaluation\STRESS\EITHER_CONFIRMED_RUNS_AUXILIARY_decisions.parquet,c9e1cf61a06b18d541695d559de0b14816dc499ef6d966fae354b04a9f0abad5,cee3f2fc3ce0e751be9d918c61edce58b0d69aba0cf9d5a167151fb4256aee7b,1604,2020-01-02,2026-08-13,22100,202601.2786399998,0.0,0,-22100,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
TWO_CLOSE_ZERO_EXIT,BASE,reports\research\510300_two_close_zero_exit_v1\evaluation\BASE\TWO_CLOSE_ZERO_EXIT_ledger.parquet,reports\research\510300_two_close_zero_exit_v1\evaluation\BASE\TWO_CLOSE_ZERO_EXIT_decisions.parquet,a9046544d5643e3d82db27768325970a22979c4f9a61e636aa92abcabce70baf,15c0cf0c845ea7d156ea8295ef09fb60f2d8ec2a414984de48e2da648e318011,1604,2020-01-02,2026-08-13,57700,116875.23844000034,0.0,0,-57700,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
TWO_CLOSE_ZERO_EXIT,STRESS,reports\research\510300_two_close_zero_exit_v1\evaluation\STRESS\TWO_CLOSE_ZERO_EXIT_ledger.parquet,reports\research\510300_two_close_zero_exit_v1\evaluation\STRESS\TWO_CLOSE_ZERO_EXIT_decisions.parquet,e58be8e9a147385353510cb7b6b50292ed0d6bc1a62bc509bd102aa6672ed95f,39de7c75261eb70932aec452b36971c902f7a5e09b8c61c523edcb9ef8dc8a8e,1604,2020-01-02,2026-08-13,55400,112567.87279999998,0.0,0,-55400,False,先在新目录重放必要来源的原区间，保存原终点强制清仓之前的内部状态，再核对正常区间
