fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_class_parameter_max_error,active_factor_count
1157,2017-03-01,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157,False,6.378518828357967e-16,7
1180,2017-04-05,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157,True,6.378518828357967e-16,7
1198,2017-05-02,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157,True,6.378518828357967e-16,7
1218,2017-06-01,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218,False,1.1929633953551702e-15,7
1240,2017-07-03,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218,True,1.1929633953551702e-15,7
1261,2017-08-01,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218,True,1.1929633953551702e-15,7
1284,2017-09-01,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284,False,1.3605495610758947e-15,7
1305,2017-10-09,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284,True,1.3605495610758947e-15,7
1322,2017-11-01,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284,True,1.3605495610758947e-15,7
1344,2017-12-01,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344,False,2.3031864199803267e-15,7
1365,2018-01-02,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344,True,2.3031864199803267e-15,7
1387,2018-02-01,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344,True,2.3031864199803267e-15,7
1402,2018-03-01,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,False,1.4150080000734063e-15,7
1424,2018-04-02,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1442,2018-05-02,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1464,2018-06-01,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1484,2018-07-02,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1506,2018-08-01,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1529,2018-09-03,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1548,2018-10-08,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402,True,1.4150080000734063e-15,7
1566,2018-11-01,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,False,1.3605495612826899e-15,7
1588,2018-12-03,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1608,2019-01-02,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1630,2019-02-01,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1645,2019-03-01,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1666,2019-04-01,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1687,2019-05-06,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566,True,1.3605495612826899e-15,7
1707,2019-06-03,f0e7b7b993fe5be9b3dfa3beba53d2bbf0e901272a762f9d1aafab2bbc298c08,1707,False,1.859097210130264e-15,7
1726,2019-07-01,f0e7b7b993fe5be9b3dfa3beba53d2bbf0e901272a762f9d1aafab2bbc298c08,1707,True,1.859097210130264e-15,7
1749,2019-08-01,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,False,1.859097210130264e-15,7
1771,2019-09-02,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,True,1.859097210130264e-15,7
1791,2019-10-08,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,True,1.859097210130264e-15,7
1809,2019-11-01,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,True,1.859097210130264e-15,7
1830,2019-12-02,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,True,1.859097210130264e-15,7
1852,2020-01-02,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749,True,1.859097210130264e-15,7
