cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,REARM_NONE,原退出＋等待新机会,0.4587038519000002,0.0778325843687236,0.0834914349024375,0.13004626394777294,0.6420133294714869,-0.1379164435416316,1219,0.27810545717301216,18,912.52962,2665.800000000002,False,5.661604518536478e-11,0.03887135617207968,False
BASE,REARM_RIDGE,线性退出＋等待新机会,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11,0.04740472381543391,False
BASE,REARM_TREE,两层树退出＋等待新机会,0.4910577166999997,0.08253689159126822,0.08658997517194959,0.12005355986939996,0.7212612043003668,-0.1379164435416316,1219,0.24365622728886607,18,916.1566600000001,2672.19999999997,False,4.6270542952697724e-11,0.04357566339462429,False
BASE,D60_INTRA__RIDGE,原线性退出,0.37442877640000066,0.06517384464967012,0.07497221782274696,0.15312423595479233,0.48961692677363894,-0.2053713857748189,1219,0.5275495205558828,38,1937.9447200000002,5790.499999999998,False,1.0982148523908108e-10,0.026212616453026194,False
BASE,D60_INTRA__TREE,原两层树退出,0.3716139911000012,0.06474042169691033,0.07460845280215042,0.15342780741545858,0.4862772535106518,-0.20855288825487184,1219,0.5299639792047539,50,2517.60178,7273.600000000071,False,1.170974428532645e-10,0.025779193500266404,False
BASE,D60_INTRA__CLOSE_NEXT_OPEN,原日内强弱规则,0.3965647507999998,0.06855779095770492,0.07890429760374282,0.1579543960507439,0.49953847171429333,-0.2053713857748189,1219,0.5521540440406889,34,1698.7498400000002,5029.700000000078,False,1.0982148523908108e-10,0.029596562761061,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,REARM_NONE,原退出＋等待新机会,0.43824537619999865,0.07481455243709655,0.08068255356216407,0.13001311921476083,0.6205724010735365,-0.1391665613986051,1219,0.2780370454158312,18,1811.02476,5188.100000000004,False,7.003109203651547e-11,0.03611428035140987,False
STRESS,REARM_RIDGE,线性退出＋等待新机会,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11,0.044636810476877634,False
STRESS,REARM_TREE,两层树退出＋等待新机会,0.4701802533999992,0.07951075690857089,0.08378609168009464,0.12002036190744383,0.69809897544475,-0.1391665613986051,1219,0.24360352702333826,18,1818.24932,5200.900000000004,False,7.003109203651547e-11,0.04081048482288421,False
STRESS,D60_INTRA__RIDGE,原线性退出,0.3359069266000009,0.059179378235369805,0.06934298941016512,0.1532203349342768,0.4525704074456533,-0.2089991592990782,1219,0.5276474429013827,38,3818.11468,10968.899999999929,False,1.0231815394945443e-10,0.02047910614968313,False
STRESS,D60_INTRA__TREE,原两层树退出,0.32141262540000193,0.0568879894326784,0.06722995330833255,0.15358764327990526,0.43773022277455975,-0.21970736769005692,1219,0.5300655661401183,50,4938.77492,13912.899999999852,False,1.0231815394945443e-10,0.018187717346991726,False
STRESS,D60_INTRA__CLOSE_NEXT_OPEN,原日内强弱规则,0.36134381880000144,0.06315294160890451,0.07384538805587401,0.15803210868865677,0.46728091315517883,-0.2089991592990782,1219,0.5522534552348668,34,3352.43624,9629.399999999976,False,1.0231815394945443e-10,0.02445266952321784,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
