period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,DOWNSIDE_REFERENCE_RISK,-34425.50185999996,-24072.700000000033,-12576.0,-555.9981400000001,-1667.2000000000107,-0.18102077340176426
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,-5226.833200000139,-4122.100000000013,0.0,257.7332,846.9999999999764,-0.5723500849413621
evaluation,BASE,EQUAL_REFERENCE_PAIR,-20818.358800000104,-15061.500000000007,-5976.8,-62.141200000000026,-157.80000000000837,-0.45278948508575034
evaluation,STRESS,DOWNSIDE_REFERENCE_RISK,-32145.810839999933,-23923.700000000026,-12361.5,-1103.78916,-3035.6000000000413,-0.17614763534464617
evaluation,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,-6135.438520000025,-4190.700000000026,-8.799999999999955,520.6385200000002,1415.2999999999947,-0.56120513076503
evaluation,STRESS,EQUAL_REFERENCE_PAIR,-20379.85784000007,-14972.60000000002,-5910.0,-125.54215999999974,-377.2000000000198,-0.4405100049414895
earlier_diagnostic,BASE,DOWNSIDE_REFERENCE_RISK,-29294.546779999917,-29990.700000000004,0.0,-183.75321999999994,-512.4000000000278,-0.2577687102056826
earlier_diagnostic,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,12441.999499999947,11387.100000000013,-70.0,-256.4995,-868.3999999999514,0.24184901221802724
earlier_diagnostic,BASE,EQUAL_REFERENCE_PAIR,-9757.578080000065,-10670.799999999981,119.0,-190.0219199999999,-604.1999999999844,-0.12251212240739173
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,-35941.77408000006,-36642.80000000002,0.0,-173.82592,-527.1999999999912,-0.32089907670075335
earlier_diagnostic,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,12557.622239999997,11294.500000000007,-70.0,-315.6222399999999,-1017.4999999999859,0.23764855376121624
earlier_diagnostic,STRESS,EQUAL_REFERENCE_PAIR,-12381.96312,-13283.800000000003,119.0,-182.83688000000006,-599.9999999999814,-0.1554565830356388
