model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-56361.133539999835,-55875.39999999991,-1335.4999999999982,-218.06645999999955,-631.699999999928,-0.1924704897232692
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-32428.74167999986,-32802.699999999895,3295.800000000001,715.5416800000007,2206.3000000000666,-0.14078646885114932
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,BASE,BUY_HOLD,58995.07864000017,83918.30000000006,-12012.2,3166.9213600000003,9744.09999999999,0.8260668980002179
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-65335.18971999991,-66916.3999999999,-1671.2999999999993,-853.7102799999993,-2398.799999999872,-0.2549682322370791
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-45471.13511999999,-44665.39999999988,2731.699999999999,944.7351200000003,2592.7000000002063,-0.21787269674662857
REFERENCE_ACCOUNT_NET_RETURN_GATE,evaluation,STRESS,BUY_HOLD,35633.901680000155,69935.60000000008,-12617.000000000002,5751.4983200000015,15933.200000000139,0.6808061163920853
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-51949.773759999836,-50798.699999999895,0.0,286.77376000000004,864.3000000000675,-0.3022048630592683
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-46028.01130000019,-43642.699999999895,0.0,590.1113,1795.200000000098,-0.39339733177757374
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,BASE,BUY_HOLD,27133.246599999984,51001.30000000003,-15845.199999999997,2013.6534000000001,6009.200000000101,0.4878403083405166
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-52006.152800000156,-49743.2999999999,0.0,575.7527999999993,1687.100000000144,-0.2867379792920318
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-46816.876879999996,-42203.89999999989,0.0,1168.4768799999993,3444.5000000001455,-0.3821891951667561
REFERENCE_ACCOUNT_NET_RETURN_GATE,earlier_diagnostic,STRESS,BUY_HOLD,26667.16063999993,57984.30000000006,-15845.199999999997,4007.2393599999996,11464.700000000088,0.491282168876715
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-70405.37767999992,-68092.7999999999,-1805.800000000001,119.2776800000006,387.5000000000673,-0.2995381175722842
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-46472.98581999994,-45020.09999999989,2825.499999999998,1052.8858200000009,3225.500000000062,-0.24785409670016434
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,BASE,BUY_HOLD,44950.834500000085,71700.90000000007,-12482.500000000004,3504.2655000000004,10763.299999999985,0.7189992701512029
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-56161.11355999997,-54338.79999999996,-1383.8999999999996,155.51355999999942,282.9000000000451,-0.20057928051848095
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-36297.05896000005,-32087.79999999993,3019.0999999999985,1953.958959999999,5274.400000000123,-0.16348374502803042
REFERENCE_ACCOUNT_NAV_MEAN_GATE,evaluation,STRESS,BUY_HOLD,44807.977840000094,82513.20000000003,-12329.600000000002,6760.72216,18614.900000000056,0.7351950681106836
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,BASE,ACCOUNT_VOLATILITY_EXPOSURE,-29318.84007999976,-28249.499999999927,0.0,233.04007999999976,836.300000000092,-0.09972771880625442
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,BASE,EPISODE_ACCOUNT_RISK_BUDGET,-23397.077620000113,-21093.499999999927,0.0,536.3776199999998,1767.2000000001226,-0.19092018752455986
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,BASE,BUY_HOLD,49764.18028000006,73550.5,-15845.199999999997,1959.9197199999999,5981.200000000126,0.6903174525935305
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,-37704.69671999989,-35569.49999999994,0.0,511.4967200000001,1623.7000000000771,-0.16990707398511884
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,-32515.42079999973,-28030.099999999933,0.0,1104.2208,3381.1000000000786,-0.2653582898598431
REFERENCE_ACCOUNT_NAV_MEAN_GATE,earlier_diagnostic,STRESS,BUY_HOLD,40968.616720000195,72158.10000000002,-15845.199999999997,3942.9832800000004,11401.300000000021,0.608113074183628
