period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,direction_allowed_origins,direction_disallowed_origins,auxiliary_admitted_positive_origins,auxiliary_rejected_positive_origins,core_kept_while_direction_disallowed_origins,admitted_auxiliary_only_positive_origins,both_contributing_positive_origins,full_weight_origins,mean_target
evaluation,DUAL_CONFIRMED_RUNS_AUXILIARY,BASE,1604,401,1203,0,338,1266,94,50,238,89,5,35,0.10545038700934137
evaluation,LAG_CONFIRMED_RUNS_AUXILIARY,BASE,1604,411,1193,0,384,1220,104,40,238,99,5,35,0.10856076571530049
evaluation,EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,1604,436,1168,0,724,880,135,9,159,124,11,36,0.12326915234569555
evaluation,DUAL_CONFIRMED_RUNS_AUXILIARY,STRESS,1604,401,1203,0,338,1266,94,50,238,89,5,35,0.10545038700934137
evaluation,LAG_CONFIRMED_RUNS_AUXILIARY,STRESS,1604,411,1193,0,384,1220,104,40,238,99,5,35,0.10856076571530049
evaluation,EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,1604,436,1168,0,724,880,135,9,159,124,11,36,0.12326915234569555
earlier_diagnostic,DUAL_CONFIRMED_RUNS_AUXILIARY,BASE,1219,396,823,0,313,906,94,102,226,94,0,19,0.17622727011889683
earlier_diagnostic,LAG_CONFIRMED_RUNS_AUXILIARY,BASE,1219,397,822,0,362,857,95,101,211,95,0,19,0.1769187846245476
earlier_diagnostic,EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,1219,446,773,0,697,522,192,4,106,144,48,39,0.2184184336926583
earlier_diagnostic,DUAL_CONFIRMED_RUNS_AUXILIARY,STRESS,1219,402,817,0,313,906,94,102,232,94,0,19,0.1803607567645814
earlier_diagnostic,LAG_CONFIRMED_RUNS_AUXILIARY,STRESS,1219,403,816,0,362,857,95,101,217,95,0,19,0.18105227127023218
earlier_diagnostic,EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,1219,452,767,0,697,522,192,4,112,144,48,39,0.22255192033834284
