period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,RETURN_LAG_STATE,2020,0.05311223629999952,0.05288798708023891,0.05393662010387068,0.06935384170334248,0.777701981305979,-0.04817361300321942,243,0.2880974559267742,19,299.75274,957.3999999999864,False,4.274625098332763e-11
evaluation,BASE,RETURN_LAG_STATE,2021,-0.05895041882536371,-0.058715090410781316,-0.05882750390086802,0.05784508945074564,-1.0169835410308925,-0.08415236681181301,243,0.08969562616180962,16,323.88148,919.8000000000068,False,5.5706550483591855e-11
evaluation,BASE,RETURN_LAG_STATE,2022,-0.006767324289440928,-0.006767324289440928,-0.006715682267902978,0.012220924740911533,-0.5495232488766697,-0.0092136783188993,242,0.015288032149896838,2,48.72540000000001,168.59999999998143,False,2.751221472863108e-11
evaluation,BASE,RETURN_LAG_STATE,2023,-0.03431519760948751,-0.0343151976094875,-0.034288891274465105,0.03547752221397976,-0.9664962245010932,-0.03582551057203486,242,0.08044937184459475,9,227.3559,667.1999999999587,False,3.4361846701358445e-11
evaluation,BASE,RETURN_LAG_STATE,2024,0.0567490042088637,0.05674900420886371,0.05732157474761568,0.06529206708070641,0.8779255629441393,-0.03622554761604868,242,0.23419611352956238,15,201.98174000000003,613.5999999999585,False,3.9904080040287226e-11
evaluation,BASE,RETURN_LAG_STATE,2025,0.11079181373439202,0.11031161160761702,0.10652236283171282,0.06117610117045491,1.7412414454937175,-0.03766727865048482,243,0.24583770956571643,11,270.55698,936.3999999999311,False,3.9108272176235914e-11
evaluation,BASE,RETURN_LAG_STATE,2026,-0.005899497839575307,-0.009564080572654883,-0.008922874854050957,0.037098071157308295,-0.24052126096300178,-0.02787921556226017,149,0.05659844759851994,7,229.30684000000002,730.7999999999859,False,2.4442670110147446e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2020,0.11454424840000019,0.11404696269530501,0.10974329011959859,0.05926801351160831,1.8516444810167987,-0.026560198049483116,243,0.08534263043967881,10,148.55032,466.1999999999963,False,3.83124643121846e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2021,0.07402551887772994,0.07370992658389036,0.0717883370874204,0.03652622790593997,1.9653914790294027,-0.00994494708188109,243,0.07860801962491204,11,178.75674,506.4000000000169,False,4.0245140553452075e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2022,0.0004741558756059021,0.0004741558756059021,0.0005634607176349116,0.013406156615049413,0.04202999665111959,-0.010410860630406027,242,0.024869406332597696,7,73.58244000000002,241.09999999999982,False,2.4783730623312294e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2024,0.03655547521334006,0.03655547521334006,0.03644042394530733,0.03291059886113025,1.107254963638661,-0.021434523062132404,242,0.0677121848308904,11,178.51156000000003,532.3999999999826,False,2.97859514830634e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2025,0.05445141654121105,0.054221368813384734,0.05302331008446143,0.020847317727275577,2.5434116166939025,-0.00499557693389392,243,0.07548682175552794,10,189.44592,498.7999999999969,False,7.855760486563668e-11
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,2026,0.01758498312496337,0.028717241788681454,0.029170923983559107,0.04157006568382338,0.7017290808590353,-0.026764983954273968,149,0.12071502032235724,17,235.78038,731.9999999999596,False,5.729816621169448e-11
evaluation,BASE,RETURN_RUNS_STATE,2020,0.05203555129999994,0.05181595895204696,0.05109796708368482,0.03403937603375698,1.501142883259986,-0.010727525673400184,243,0.08227950165200051,6,111.58974,377.1000000000143,False,2.3646862246096134e-11
evaluation,BASE,RETURN_RUNS_STATE,2021,0.03188755252476589,0.03175426631423622,0.031818645760595905,0.033532555120704945,0.9488881967407615,-0.016084950942220035,243,0.0313497565283611,3,36.03222,99.30000000000376,False,2.5011104298755527e-11
evaluation,BASE,RETURN_RUNS_STATE,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,RETURN_RUNS_STATE,2023,0.04168285042986332,0.04168285042986332,0.041109682811780957,0.023294789186537282,1.7647587399305338,-0.012528902855024808,242,0.05729151634451439,5,160.36632000000003,542.100000000006,False,3.319655661471188e-11
evaluation,BASE,RETURN_RUNS_STATE,2024,0.00704679781228226,0.007046797812282259,0.0082182827998315,0.049082281645716194,0.16743889086396568,-0.03422462620570222,242,0.17917183561598699,9,120.85032000000001,353.600000000005,False,3.0041746867937036e-11
