period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,-87362.11854000011,-87290.50000000004,2850.7999999999997,670.5185400000003,2251.8999999999533,-1.4713206664442722
evaluation,BASE,RETURN_RUNS_STATE,-65791.94085999992,-62507.90000000005,1201.3999999999996,1097.3408600000002,3388.0999999998758,-1.1877228930391952
evaluation,BASE,BUY_HOLD,-74211.11014000003,-49456.300000000076,-18227.0,1589.4101400000002,4938.399999999894,-0.46822836878445573
evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,-88903.40844,-86609.10000000005,2778.6000000000004,1293.0084399999996,3779.8999999999896,-1.4702823510617362
evaluation,STRESS,RETURN_RUNS_STATE,-68786.42504000018,-61902.90000000005,1114.500000000001,2112.92504,5885.100000000028,-1.2018826416122015
evaluation,STRESS,BUY_HOLD,-79125.3027200001,-49058.90000000008,-18320.300000000003,3088.60272,8657.500000000024,-0.5253420068590392
earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,-6475.510979999934,-6341.5999999999985,2447.2,633.6109799999999,1947.4999999999748,-0.42879496208637313
earlier_diagnostic,BASE,RETURN_RUNS_STATE,24102.6832,23593.200000000015,2447.2,490.1168,1447.6000000000167,-0.01850607671802207
earlier_diagnostic,BASE,BUY_HOLD,9876.767640000035,28216.899999999976,-13971.999999999996,1095.43236,3272.7000000000075,0.314605731603659
earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,-14346.458399999974,-11975.400000000023,2415.0,1235.0584000000003,3550.9999999999613,-0.5010154705789932
earlier_diagnostic,STRESS,RETURN_RUNS_STATE,21845.67247999995,23172.600000000006,2415.0,959.1275200000002,2782.8000000000156,-0.010193995438340653
earlier_diagnostic,STRESS,BUY_HOLD,4857.8141199999955,27179.39999999997,-14004.199999999997,2153.2858800000004,6164.099999999975,0.2650666580731575
