model,period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
RISK_DAILY_30_10,evaluation,BASE,1,2020-01-02,2019-12-31,191090.83844000002,1845.100000000035,78.08404,277.8000000000105,0.0,13,2,2,2020-01-21,2020-01-20,False,1489.2159600000246,0.007793235783345095
RISK_DAILY_30_10,evaluation,BASE,2,2020-02-05,2020-02-04,123448.28472000001,9060.600000000013,54.25536000000001,160.6000000000102,0.0,18,1,3,2020-03-02,2020-02-28,False,8845.744640000004,0.07165546819920207
RISK_DAILY_30_10,evaluation,BASE,3,2020-07-01,2020-06-30,210003.09222,29791.699999999983,89.88314000000001,298.1999999999672,0.0,4,2,1,2020-07-07,2020-07-06,False,29403.616860000013,0.14001516143960718
RISK_DAILY_30_10,evaluation,BASE,4,2020-08-19,2020-08-18,238779.04625999997,-5257.899999999994,94.38130000000001,298.2000000000113,0.0,30,2,3,2020-09-30,2020-09-29,False,-5650.481300000006,-0.02366405841929426
RISK_DAILY_30_10,evaluation,BASE,5,2020-12-15,2020-12-14,260517.99318000002,25197.20000000001,109.16376,310.20000000001176,1339.1999999999998,25,3,5,2021-01-20,2021-01-19,False,26117.03624,0.10025041234658569
RISK_DAILY_30_10,evaluation,BASE,6,2021-02-03,2021-02-02,32970.5928,1506.0,13.479600000000001,36.000000000001364,0.0,7,1,1,2021-02-19,2021-02-18,False,1456.5203999999987,0.04417634856719952
RISK_DAILY_30_10,evaluation,BASE,7,2021-06-08,2021-06-07,567807.7691,-4331.899999999965,228.0117,647.4000000000153,0.0,30,4,5,2021-07-21,2021-07-20,False,-5207.31169999998,-0.009170906041412212
RISK_DAILY_30_10,evaluation,BASE,8,2021-07-29,2021-07-28,256425.87492,10407.699999999953,104.56862000000001,313.8000000000119,0.0,9,1,1,2021-08-11,2021-08-10,False,9989.331379999941,0.03895601948561713
RISK_DAILY_30_10,evaluation,BASE,9,2021-10-29,2021-10-28,421889.86110000004,10569.599999999977,170.73436,508.8000000000193,0.0,31,3,2,2021-12-13,2021-12-10,False,9890.065639999957,0.023442292768575748
RISK_DAILY_30_10,evaluation,BASE,10,2022-05-13,2022-05-12,538648.50816,4373.599999999977,216.1468,721.1999999999566,0.0,19,3,2,2022-06-10,2022-06-09,False,3436.2532000000197,0.00637939797092934
RISK_DAILY_30_10,evaluation,BASE,11,2022-08-10,2022-08-09,279687.72636,-1140.8999999999905,111.5445,400.20000000001517,0.0,17,2,2,2022-09-02,2022-09-01,False,-1652.6445000000058,-0.005908891754058614
RISK_DAILY_30_10,evaluation,BASE,12,2023-01-17,2023-01-16,205268.0454,148.5,82.06110000000001,297.00000000001125,0.0,1,1,1,2023-01-18,2023-01-17,False,-230.56110000001127,-0.0011232196397189997
RISK_DAILY_30_10,evaluation,BASE,13,2023-04-03,2023-03-31,277643.71764,2578.2000000000116,111.46884,410.40000000001555,0.0,6,2,1,2023-04-12,2023-04-11,False,2056.331159999996,0.007406366610701734
RISK_DAILY_30_10,evaluation,BASE,14,2024-02-19,2024-02-08,279418.3725,7837.700000000012,113.24646000000001,330.4000000000252,0.0,4,2,1,2024-02-23,2024-02-22,False,7394.053539999986,0.02646230265334462
RISK_DAILY_30_10,evaluation,BASE,15,2024-03-05,2024-03-04,344512.48872,6276.400000000023,138.95496000000003,388.79999999999495,0.0,53,2,3,2024-05-24,2024-05-23,False,5748.6450400000285,0.016686318285176006
RISK_DAILY_30_10,evaluation,BASE,16,2024-06-18,2024-06-17,276323.05356,-622.4000000000233,110.3204,311.2000000000003,0.0,22,1,1,2024-07-18,2024-07-17,False,-1043.9204000000236,-0.0037778983206457287
RISK_DAILY_30_10,evaluation,BASE,17,2024-08-02,2024-08-01,290173.62312000006,-2681.5999999999767,115.44288000000002,335.2000000000003,0.0,2,1,1,2024-08-06,2024-08-05,False,-3132.242879999977,-0.01079437492050975
RISK_DAILY_30_10,evaluation,BASE,18,2024-08-28,2024-08-27,288363.6612,-9490.5,113.3559,341.9999999999623,0.0,11,1,1,2024-09-12,2024-09-11,False,-9945.855899999962,-0.03449067007476309
RISK_DAILY_30_10,evaluation,BASE,19,2024-09-25,2024-09-24,278637.51636,32617.599999999977,117.88212000000001,370.59999999998445,0.0,3,1,2,2024-09-30,2024-09-27,False,32129.117879999994,0.11530793950405852
RISK_DAILY_30_10,evaluation,BASE,20,2024-10-09,2024-10-08,78486.09408000001,-5178.900000000009,30.330420000000004,109.79999999999603,0.0,9,1,1,2024-10-22,2024-10-21,False,-5319.030420000005,-0.06777035451118736
RISK_DAILY_30_10,evaluation,BASE,21,2025-04-09,2025-04-08,305647.71732,12942.599999999977,124.75772,327.19999999998873,0.0,10,2,1,2025-04-23,2025-04-22,False,12490.64227999999,0.04086613958553737
RISK_DAILY_30_10,evaluation,BASE,22,2025-06-03,2025-05-30,318243.1359,-7484.700000000012,125.7107,320.79999999996465,7057.599999999999,13,3,1,2025-06-20,2025-06-19,False,-873.6106999999768,-0.002745104611696911
RISK_DAILY_30_10,evaluation,BASE,23,2025-06-23,2025-06-20,310064.70054,8158.5,125.5691,318.400000000031,0.0,3,2,1,2025-06-26,2025-06-25,False,7714.530899999969,0.02488039072672432
RISK_DAILY_30_10,evaluation,BASE,24,2025-06-27,2025-06-26,317826.75264,17352.79999999999,130.49624,397.99999999999153,0.0,22,1,1,2025-07-29,2025-07-28,False,16824.303759999995,0.052935454993169685
RISK_DAILY_30_10,evaluation,BASE,25,2025-09-05,2025-09-04,341613.40902,13640.400000000023,139.25408000000002,460.20000000001744,0.0,6,1,2,2025-09-15,2025-09-12,False,13040.945920000006,0.038174572706062934
RISK_DAILY_30_10,evaluation,BASE,26,2025-12-19,2025-12-18,450237.72954,5614.099999999991,181.06742,572.3999999999842,5584.2,31,4,5,2026-02-04,2026-02-03,False,10444.83258000001,0.023198483589261416
RISK_DAILY_30_10,evaluation,BASE,27,2026-05-06,2026-04-30,364969.57932,-2489.79999999993,145.37116,447.60000000001696,0.0,8,2,1,2026-05-18,2026-05-15,False,-3082.7711599999475,-0.008446652364133117
