period,budget_source_cost,origin_index,origin,old_budget_reference,old_budget_runs,budget_reference,budget_runs,reference_count,reference_return_sum,reference_absolute_return_sum,reference_score,reference_win_cycles,reference_loss_cycles,reference_flat_cycles,reference_cycle_ids,runs_count,runs_return_sum,runs_absolute_return_sum,runs_score,runs_win_cycles,runs_loss_cycles,runs_flat_cycles,runs_cycle_ids,status
evaluation,BASE,1851,2019-12-31,0.5,0.5,0.5,0.5,0,,,,0,0,0,[],0,,,,0,0,0,[],INITIAL_HALF
evaluation,BASE,1852,2020-01-02,0.5,0.5,0.5,0.5,0,,,,0,0,0,[],0,,,,0,0,0,[],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1868,2020-02-03,0.5,0.5,0.5,0.5,0,,,,0,0,0,[],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1888,2020-03-02,0.5,0.5,0.5,0.5,1,,,,0,0,0,[1],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1910,2020-04-01,0.5,0.5,0.5,0.5,1,,,,0,0,0,[1],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1931,2020-05-06,0.5,0.5,0.5,0.5,1,,,,0,0,0,[1],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1949,2020-06-01,0.5,0.5,0.5,0.5,1,,,,0,0,0,[1],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1969,2020-07-01,0.5,0.5,0.5,0.5,1,,,,0,0,0,[1],1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,1992,2020-08-03,0.5,0.5,0.5,0.5,2,,,,0,0,0,"[1, 2]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2013,2020-09-01,0.5,0.5,0.5,0.5,2,,,,0,0,0,"[1, 2]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2035,2020-10-09,0.5,0.5,0.5,0.5,3,,,,0,0,0,"[1, 2, 3]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2051,2020-11-02,0.5,0.5,0.5,0.5,3,,,,0,0,0,"[1, 2, 3]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2072,2020-12-01,0.5,0.5,0.5,0.5,3,,,,0,0,0,"[1, 2, 3]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2095,2021-01-04,0.5,0.5,0.5,0.5,3,,,,0,0,0,"[1, 2, 3]",1,,,,0,0,0,[1],INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2115,2021-02-01,0.5,0.5,0.5,0.5,4,,,,0,0,0,"[1, 2, 3, 4]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2130,2021-03-01,0.5,0.5,0.5,0.5,5,0.2886928516261833,0.3621313820898031,0.7972047326033507,4,1,0,"[1, 2, 3, 4, 5]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2153,2021-04-01,0.5,0.5,0.5,0.5,5,0.2886928516261833,0.3621313820898031,0.7972047326033507,4,1,0,"[1, 2, 3, 4, 5]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2174,2021-05-06,0.5,0.5,0.5,0.5,5,0.2886928516261833,0.3621313820898031,0.7972047326033507,4,1,0,"[1, 2, 3, 4, 5]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2192,2021-06-01,0.5,0.5,0.5,0.5,5,0.2886928516261833,0.3621313820898031,0.7972047326033507,4,1,0,"[1, 2, 3, 4, 5]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2213,2021-07-01,0.5,0.5,0.5,0.5,5,0.2886928516261833,0.3621313820898031,0.7972047326033507,4,1,0,"[1, 2, 3, 4, 5]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2235,2021-08-02,0.5,0.5,0.5,0.5,6,0.2662433086087906,0.3845809251071958,0.6922946283271316,4,2,0,"[1, 2, 3, 4, 5, 6]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
evaluation,BASE,2257,2021-09-01,0.5,0.5,0.5,0.5,7,0.3051993280944078,0.42353694459281305,0.7205967082466097,5,2,0,"[1, 2, 3, 4, 5, 6, 7]",2,,,,0,0,0,"[1, 2]",INSUFFICIENT_MATURE_CYCLES
