period,origin,status,sample_count,window_start,window_end,independent_budget_reference,independent_budget_runs,saved_budget_reference,saved_budget_runs,budget_absolute_error,whole_window_at_or_before_origin
evaluation,2019-12-31,INITIAL_HALF,0,,,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-01-02,INSUFFICIENT_WINDOW,1,2020-01-02,2020-01-02,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-02-03,INSUFFICIENT_WINDOW,17,2020-01-02,2020-02-03,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-03-02,INSUFFICIENT_WINDOW,37,2020-01-02,2020-03-02,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-04-01,INSUFFICIENT_WINDOW,59,2020-01-02,2020-04-01,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-05-06,INSUFFICIENT_WINDOW,80,2020-01-02,2020-05-06,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-06-01,INSUFFICIENT_WINDOW,98,2020-01-02,2020-06-01,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-07-01,INSUFFICIENT_WINDOW,118,2020-01-02,2020-07-01,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-08-03,INSUFFICIENT_WINDOW,141,2020-01-02,2020-08-03,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-09-01,INSUFFICIENT_WINDOW,162,2020-01-02,2020-09-01,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-10-09,INSUFFICIENT_WINDOW,184,2020-01-02,2020-10-09,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-11-02,INSUFFICIENT_WINDOW,200,2020-01-02,2020-11-02,0.5,0.5,0.5,0.5,0.0,True
evaluation,2020-12-01,INSUFFICIENT_WINDOW,221,2020-01-02,2020-12-01,0.5,0.5,0.5,0.5,0.0,True
evaluation,2021-01-04,UPDATED_POSITIVE_MEAN,242,2020-01-06,2021-01-04,0.6715544329459954,0.3284455670540046,0.6715544329459954,0.3284455670540046,0.0,True
evaluation,2021-02-01,UPDATED_POSITIVE_MEAN,242,2020-02-11,2021-02-01,0.5963726696350328,0.4036273303649673,0.5963726696350328,0.4036273303649673,0.0,True
evaluation,2021-03-01,UPDATED_POSITIVE_MEAN,242,2020-03-03,2021-03-01,0.556269349979439,0.44373065002056106,0.556269349979439,0.443730650020561,5.551115123125783e-17,True
evaluation,2021-04-01,UPDATED_POSITIVE_MEAN,242,2020-04-03,2021-04-01,0.556269349979439,0.44373065002056106,0.556269349979439,0.443730650020561,5.551115123125783e-17,True
evaluation,2021-05-06,UPDATED_POSITIVE_MEAN,242,2020-05-08,2021-05-06,0.556269349979439,0.44373065002056106,0.556269349979439,0.443730650020561,5.551115123125783e-17,True
evaluation,2021-06-01,UPDATED_POSITIVE_MEAN,242,2020-06-03,2021-06-01,0.556269349979439,0.44373065002056106,0.556269349979439,0.443730650020561,5.551115123125783e-17,True
evaluation,2021-07-01,UPDATED_POSITIVE_MEAN,242,2020-07-06,2021-07-01,0.4344533757085277,0.5655466242914723,0.4344533757085277,0.5655466242914723,0.0,True
