model,period,cost,comparison,terminal_equity_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,sharpe_difference
RUNS_OPPORTUNITY_MAX,evaluation,BASE,RUNS_COVARIANCE_BUDGET,55090.44065999985,54801.3,4071.1999999999994,901.6593400000002,2880.3999999999905,-0.08045854580607226
RUNS_OPPORTUNITY_MAX,evaluation,BASE,RUNS_REFERENCE_BLEND,64559.15151999978,63833.0,4966.7,1023.3484800000001,3217.199999999976,-0.001418615646250121
RUNS_OPPORTUNITY_MAX,evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,53384.58861999982,51084.899999999994,5451.299999999999,754.4113800000002,2397.2000000000207,0.2941182190902385
RUNS_OPPORTUNITY_MAX,evaluation,BASE,RETURN_RUNS_STATE,74954.76630000002,75867.5,3801.8999999999996,1181.2337000000002,3533.3999999999432,0.5777159924953155
RUNS_OPPORTUNITY_MAX,evaluation,BASE,BUY_HOLD,66535.5970199999,88919.09999999996,-15626.500000000002,1673.3029800000002,5083.6999999999625,1.297210516750055
RUNS_OPPORTUNITY_MAX,evaluation,STRESS,RUNS_COVARIANCE_BUDGET,51081.26843999984,53957.8,4000.199999999999,1814.03156,5062.699999999993,-0.08561384419491369
RUNS_OPPORTUNITY_MAX,evaluation,STRESS,RUNS_REFERENCE_BLEND,60117.525479999895,62931.6,4896.499999999999,2033.27452,5677.300000000009,-0.00853942863598034
RUNS_OPPORTUNITY_MAX,evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,49883.993480000005,50162.5,5376.299999999999,1479.6065199999998,4175.199999999983,0.2788704794534087
RUNS_OPPORTUNITY_MAX,evaluation,STRESS,RETURN_RUNS_STATE,70000.97687999983,74868.7,3712.2,2299.52312,6280.4000000000215,0.5472701889029434
RUNS_OPPORTUNITY_MAX,evaluation,STRESS,BUY_HOLD,59662.09919999991,87712.69999999997,-15722.600000000002,3275.2008,9052.800000000017,1.2238108236561058
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,BASE,RUNS_COVARIANCE_BUDGET,28432.334700000065,30827.89999999998,0.0,591.9653,1803.5999999999988,0.02893677528243188
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,BASE,RUNS_REFERENCE_BLEND,23763.528640000033,26239.29999999998,0.0,619.47136,1856.300000000009,-0.09286147136609235
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,9675.531520000077,12395.499999999978,0.0,671.76848,2048.19999999998,-0.0624273196091204
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,BASE,RETURN_RUNS_STATE,40253.72570000001,42330.29999999999,0.0,528.2743,1548.300000000022,0.34786156575923066
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,BASE,BUY_HOLD,26027.810140000045,46953.999999999956,-16419.199999999997,1133.58986,3373.400000000013,0.6809733740809117
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,STRESS,RUNS_COVARIANCE_BUDGET,28062.820480000228,32604.399999999958,0.0,1179.1795200000001,3362.3999999999733,0.022147636599272658
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,STRESS,RUNS_REFERENCE_BLEND,23539.583240000095,28245.099999999962,0.0,1227.91676,3477.5999999999785,-0.09511585278623003
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,STRESS,TREND_NOISE_REFERENCE_BLEND,6648.94084000017,11734.999999999949,0.0,1328.75916,3757.299999999949,-0.09897111009702708
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,STRESS,RETURN_RUNS_STATE,42841.071720000095,46882.99999999998,0.0,1052.82828,2989.100000000003,0.39185036504362547
RUNS_OPPORTUNITY_MAX,earlier_diagnostic,STRESS,BUY_HOLD,25853.21336000014,50889.799999999945,-16419.199999999997,2246.98664,6370.399999999962,0.6671110185551237
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,RUNS_COVARIANCE_BUDGET,60833.95582000021,60641.7,4190.499999999998,957.14418,3041.099999999993,-0.07662285159541105
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,RUNS_REFERENCE_BLEND,70302.66668000014,69673.4,5085.999999999999,1078.83332,3377.8999999999787,0.0024170785644110904
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,TREND_NOISE_REFERENCE_BLEND,59128.10378000018,56925.29999999999,5570.5999999999985,809.8962200000001,2557.9000000000233,0.2979539133008997
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,RETURN_RUNS_STATE,80698.28146000038,81707.9,3921.199999999999,1236.7185399999998,3694.099999999946,0.5815516867059767
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,BASE,BUY_HOLD,72279.11218000026,94759.49999999996,-15507.200000000003,1728.78782,5244.399999999965,1.3010462109607162
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,RUNS_COVARIANCE_BUDGET,56541.335479999776,59702.09999999999,4128.299999999999,1924.0645200000004,5364.999999999998,-0.08040346993792125
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,RUNS_REFERENCE_BLEND,65577.59251999983,68675.9,5024.599999999999,2143.3074800000004,5979.600000000014,-0.0033290543789878946
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,TREND_NOISE_REFERENCE_BLEND,55344.06051999994,55906.79999999999,5504.4,1589.6394800000003,4477.499999999988,0.28408085371040115
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,RETURN_RUNS_STATE,75461.04391999976,80612.99999999999,3840.3,2409.5560800000003,6582.700000000026,0.5524805631599359
RUNS_OPPORTUNITY_CAPPED_SUM,evaluation,STRESS,BUY_HOLD,65122.166239999846,93456.99999999996,-15594.500000000002,3385.2337600000005,9355.100000000022,1.2290211979130983
RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,BASE,RUNS_COVARIANCE_BUDGET,50889.56354,53547.89999999998,574.0000000000001,800.13646,2432.1999999999953,0.10594239227325042
RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,BASE,RUNS_REFERENCE_BLEND,46220.75747999997,48959.29999999998,574.0000000000001,827.6425200000001,2484.900000000006,-0.015855854375273815
RUNS_OPPORTUNITY_CAPPED_SUM,earlier_diagnostic,BASE,TREND_NOISE_REFERENCE_BLEND,32132.760360000015,35115.49999999998,574.0000000000001,879.93964,2676.7999999999765,0.014578297381698135
