date,window_start,known_cash_reference,positive_risk_reference,complete_known_cash_days,active_past_mean,active_sample_variance
2014-06-03,2013-06-03,learned,panic,242,2.6713821720896623e-06,4.865654207342818e-06
2014-08-01,2013-08-06,panic,learned,242,5.060929807045665e-06,1.352736465540633e-06
2014-09-01,2013-09-04,panic,learned,242,5.122326130204764e-05,7.394657997912905e-06
2014-10-08,2013-10-14,panic,learned,242,0.00026326844183627296,1.607841014723551e-05
2014-11-03,2013-11-07,panic,learned,242,0.00021351497865519962,2.0180923490342967e-05
2014-12-01,2013-12-05,panic,learned,242,0.0005743451490625094,3.0355138859227637e-05
2015-01-05,2014-01-08,panic,learned,242,0.0016735795897214172,0.00010755026505546964
2015-02-02,2014-02-12,panic,learned,242,0.0012926869129851225,0.00015701680637684052
2015-03-02,2014-03-05,panic,learned,242,0.0015097602899295974,0.00016226300718696202
2015-04-01,2014-04-04,panic,learned,242,0.0020696620591868263,0.00018239780512004273
2015-05-04,2014-05-08,panic,learned,242,0.0027042485352947463,0.00020129340262220712
2015-06-01,2014-06-06,panic,learned,242,0.0026228947896029357,0.00021585986674786559
2017-03-01,2016-03-04,panic,learned,242,0.00011954206356752042,2.56768321692264e-05
2017-04-05,2016-04-07,panic,learned,242,0.00011954206356752042,2.5676832169226394e-05
2017-05-02,2016-05-04,panic,learned,242,4.976418819938572e-05,2.4505519507198832e-05
2017-06-01,2016-06-01,panic,learned,242,0.00021661869388702902,1.66734193026874e-05
2017-07-03,2016-07-05,panic,learned,242,0.00035660671596015974,1.2361612566872609e-05
2017-08-01,2016-08-03,panic,learned,242,0.00048361234219090014,1.2180422771349623e-05
2017-09-01,2016-09-05,panic,learned,242,0.0003513828701946594,1.452890241498532e-05
2017-10-09,2016-10-13,panic,learned,242,0.0003513828701946594,1.4528902414985318e-05
2017-11-01,2016-11-07,panic,learned,242,0.0003513828701946594,1.4528902414985315e-05
2017-12-01,2016-12-07,panic,learned,242,0.0003513828701946594,1.4528902414985312e-05
2018-01-02,2017-01-06,panic,learned,242,0.0003513828701946594,1.4528902414985308e-05
2018-02-01,2017-02-14,panic,learned,242,0.0003513828701946594,1.4528902414985305e-05
2018-09-03,2017-09-07,learned,panic,242,0.0001250964811984653,4.752558233579163e-06
2018-10-08,2017-10-11,learned,panic,242,0.0001250964811984653,4.752558233579164e-06
2019-11-01,2018-11-05,panic,learned,242,0.00027196387911886626,2.2284377280943556e-05
2019-12-02,2018-12-04,panic,learned,242,0.00027196387911886626,2.2284377280943556e-05
2020-01-02,2019-01-07,panic,learned,242,0.00027196387911886626,2.228437728094356e-05
2020-02-03,2019-01-29,panic,learned,242,0.00027196387911886626,2.228437728094356e-05
2021-03-01,2020-03-03,panic,learned,242,0.0005172271887467871,6.959178126541893e-05
2021-04-01,2020-04-03,panic,learned,242,0.0005172271887467871,6.959178126541898e-05
2021-05-06,2020-05-08,panic,learned,242,0.0005172271887467871,6.959178126541905e-05
2021-06-01,2020-06-03,panic,learned,242,0.0005172271887467871,6.959178126541909e-05
2021-07-01,2020-07-06,panic,learned,242,0.00023175756331613112,6.850212623111903e-05
2022-09-01,2021-09-02,panic,learned,242,0.00010546574020974125,1.3790740942208747e-05
2022-10-10,2021-10-12,panic,learned,242,0.00010546574020974125,1.3790740942208726e-05
2022-11-01,2021-11-03,panic,learned,242,0.00013610187839510556,1.3123729550225442e-05
2022-12-01,2021-12-03,panic,learned,242,0.00014348906816015827,1.0049237660840794e-05
2023-01-03,2022-01-05,panic,learned,242,2.7273193309768395e-05,8.729802074442334e-06
2023-02-01,2022-01-27,panic,learned,242,2.7273193309768395e-05,8.729802074442332e-06
2023-03-01,2022-03-03,panic,learned,242,2.7273193309768395e-05,8.729802074442329e-06
2023-04-03,2022-04-07,panic,learned,242,2.7273193309768395e-05,8.729802074442327e-06
2023-05-04,2022-05-09,panic,learned,242,2.7273193309768395e-05,8.729802074442325e-06
2024-03-01,2023-03-03,panic,learned,242,0.00011595912741997192,1.1581770344721096e-06
2024-04-01,2023-04-03,panic,learned,242,0.00011595912741997192,1.1581770344721098e-06
2024-05-06,2023-05-05,panic,learned,242,0.00011595912741997192,1.1581770344721104e-06
2024-06-03,2023-06-02,panic,learned,242,0.00011595912741997192,1.1581770344721106e-06
2024-07-01,2023-07-03,panic,learned,242,5.695466875991821e-05,1.995084694301659e-06
2024-08-01,2023-08-03,panic,learned,242,0.00010172483324847849,3.98969683927588e-06
2024-09-02,2023-09-04,panic,learned,242,8.615587085258432e-06,6.877884477393138e-06
2024-10-08,2023-10-09,panic,learned,242,0.0004941696327194794,3.8794764315455634e-05
2024-11-01,2023-11-02,panic,learned,242,0.0004941696327194794,3.8794764315455674e-05
2024-12-02,2023-12-01,panic,learned,242,0.0004941696327194794,3.879476431545571e-05
2025-01-02,2024-01-03,panic,learned,242,0.0004941696327194794,3.879476431545574e-05
2025-02-05,2024-01-29,panic,learned,242,0.0004941696327194794,3.879476431545578e-05
2025-03-03,2024-03-01,panic,learned,242,0.0003782105052995075,3.772466515951024e-05
2025-04-01,2024-04-01,panic,learned,242,0.0003782105052995075,3.77246651595102e-05
2026-05-06,2025-05-07,panic,learned,242,0.00024567972343541444,4.7724075269629806e-06
2026-06-01,2025-06-03,panic,learned,242,0.00016740934106940816,7.651585360627339e-06
2026-07-01,2025-07-02,panic,learned,242,0.0002645063524986368,1.6578487445235352e-05
2026-08-03,2025-08-04,panic,learned,242,0.00017868479743623976,2.307321162797643e-05
