period,cost,comparison,budget_state,days,pnl_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference,new_holding_close,parent_holding_close,both_original_states_idle
evaluation,BASE,ROUND98_MINUS_ROUND91,无新估计，沿用此前非现金预算,392,-6526.325860000012,-6462.900000000022,0.0,26.125859999999992,37.299999999974986,77.0,47.0,314.0
evaluation,BASE,ROUND98_MINUS_ROUND91,本月有效切点预算,748,-4448.391940000118,-5089.0,598.4,-4.708059999999989,-37.49999999999005,113.0,99.0,615.0
evaluation,BASE,ROUND98_MINUS_ROUND91,本月明确现金选择,181,-2017.7972200000368,-2131.0999999999995,0.0,-28.90278,-84.40000000000008,0.0,4.0,177.0
evaluation,BASE,ROUND98_MINUS_ROUND91,无新估计，沿用此前现金选择,283,-16442.903980000032,-17250.19999999999,0.0,-209.99602,-597.2999999999711,0.0,48.0,235.0
evaluation,BASE,ROUND98_MINUS_ROUND97,无新估计，沿用此前非现金预算,392,1441.5168999999296,919.9000000000069,0.0,-124.11690000000003,-397.4999999999743,77.0,77.0,314.0
evaluation,BASE,ROUND98_MINUS_ROUND97,本月有效切点预算,748,-20301.570080000034,-17907.40000000004,-4086.3999999999996,-401.72992000000005,-1290.499999999996,113.0,133.0,615.0
evaluation,BASE,ROUND98_MINUS_ROUND97,本月明确现金选择,181,-3739.1408200000005,-3949.0999999999985,0.0,-53.55918,-156.40000000000015,0.0,4.0,177.0
evaluation,BASE,ROUND98_MINUS_ROUND97,无新估计，沿用此前现金选择,283,-20729.73153999998,-21958.299999999974,0.0,-315.5684600000001,-912.9999999999455,0.0,48.0,235.0
evaluation,STRESS,ROUND98_MINUS_ROUND91,无新估计，沿用此前非现金预算,392,-6613.486119999987,-6448.700000000022,0.0,55.08611999999998,109.69999999999952,77.0,47.0,314.0
evaluation,STRESS,ROUND98_MINUS_ROUND91,本月有效切点预算,748,-4374.779479999997,-5036.9000000000015,598.4,-11.520520000000005,-52.20000000001403,113.0,99.0,615.0
evaluation,STRESS,ROUND98_MINUS_ROUND91,本月明确现金选择,181,-1895.4683999999834,-2120.9999999999995,0.0,-57.531600000000005,-168.00000000000014,0.0,4.0,177.0
evaluation,STRESS,ROUND98_MINUS_ROUND91,无新估计，沿用此前现金选择,283,-15567.424359999975,-17150.499999999985,0.0,-417.07564,-1166.0000000000175,0.0,48.0,235.0
evaluation,STRESS,ROUND98_MINUS_ROUND97,无新估计，沿用此前非现金预算,392,1863.4407599999977,949.8000000000043,0.0,-239.84076000000005,-673.7999999999746,77.0,77.0,314.0
evaluation,STRESS,ROUND98_MINUS_ROUND97,本月有效切点预算,748,-18707.753880000033,-17769.900000000045,-4026.3999999999996,-818.64612,-2269.9000000000497,113.0,133.0,615.0
evaluation,STRESS,ROUND98_MINUS_ROUND97,本月明确现金选择,181,-3493.077480000007,-3908.6999999999994,0.0,-106.02252000000001,-309.60000000000025,0.0,4.0,177.0
evaluation,STRESS,ROUND98_MINUS_ROUND97,无新估计，沿用此前现金选择,283,-19258.68843999997,-21646.99999999997,0.0,-623.0115599999999,-1765.3000000000095,0.0,48.0,235.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND91,无新估计，沿用此前现金选择,120,-8106.71828000003,-7820.699999999992,-976.5000000000001,-169.18172,-521.2999999999677,0.0,87.0,33.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND91,本月有效切点预算,615,15596.68299999996,15036.99999999996,0.0,-116.083,-443.6000000000264,132.0,148.0,467.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND91,无新估计，沿用此前非现金预算,324,-5199.923679999978,-5116.199999999993,0.0,18.523680000000002,65.20000000000337,72.0,76.0,248.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND91,本月明确现金选择,160,-3887.788900000043,-4050.9000000000024,0.0,-43.911100000000005,-119.20000000000219,0.0,28.0,132.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND97,无新估计，沿用此前现金选择,120,-8671.598080000025,-8347.999999999993,-1036.0,-174.80192,-537.599999999967,0.0,87.0,33.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND97,本月有效切点预算,615,6812.7651799999585,6654.199999999964,0.0,-26.965180000000004,-131.60000000002566,132.0,148.0,467.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND97,无新估计，沿用此前非现金预算,324,-7145.4463200000755,-7057.49999999999,0.0,19.74632000000001,68.20000000000564,72.0,76.0,248.0
earlier_diagnostic,BASE,ROUND98_MINUS_ROUND97,本月明确现金选择,160,-10977.066120000003,-11280.00000000001,0.0,-81.13388,-221.80000000000842,0.0,28.0,132.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND91,无新估计，沿用此前现金选择,120,-7511.827719999943,-7820.699999999992,-976.5000000000001,-338.37228,-946.9999999999951,0.0,87.0,33.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND91,本月有效切点预算,615,16059.024799999926,15098.099999999948,0.0,-233.02480000000003,-727.8999999999918,132.0,148.0,467.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND91,无新估计，沿用此前非现金预算,324,-5208.7811999999685,-5034.799999999996,0.0,38.78120000000001,135.20000000000678,72.0,76.0,248.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND91,本月明确现金选择,160,-3677.904440000013,-4000.300000000002,0.0,-86.79556000000001,-235.6000000000002,0.0,28.0,132.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND97,无新估计，沿用此前现金选择,120,-8090.855719999992,-8382.699999999993,-1036.0,-349.24428,-978.5999999999957,0.0,87.0,33.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND97,本月有效切点预算,615,6949.48339999991,6701.899999999965,0.0,-56.183400000000034,-191.39999999999498,132.0,148.0,467.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND97,无新估计，沿用此前非现金预算,324,-7162.144960000005,-6982.3999999999905,0.0,40.54496,139.20000000001127,72.0,76.0,248.0
earlier_diagnostic,STRESS,ROUND98_MINUS_ROUND97,本月明确现金选择,160,-10526.511360000004,-11126.40000000001,0.0,-160.68864000000002,-439.2000000000004,0.0,28.0,132.0
