input,model,same_as
294,W50_NONE,3
321,OLD_EQUAL,3
323,TREND_ONLY,23
327,CYCLE_ENTRY_RIDGE,31
331,EQUAL_HALF,34
344,ORIGINAL_TWO,49
345,REBOUND_ONLY,22
353,OLD_PANIC_BLEND,49
354,OLD_SESSION_VOLUME,5
357,OLD_REGIME,23
368,RIDGE_CUSUM_EXIT,31
416,PAIRED_FORECAST_MSE_EXIT,31
424,PANIC_PROFIT_LIMIT_THROUGH,122
432,MARKET_PATH_EXIT,126
440,BAYESIAN_EXPANDING,0
521,ACCOUNT_VOLATILITY_EXPOSURE,202
522,BINARY_SIGNAL_EXPOSURE,204
523,BUY_HOLD,0
524,EPISODE_ACCOUNT_RISK_BUDGET,203
527,ACCOUNT_VOLATILITY_EXPOSURE,202
528,BUY_HOLD,0
529,EPISODE_ACCOUNT_RISK_BUDGET,203
532,ACCOUNT_VOLATILITY_EXPOSURE,202
533,BUY_HOLD,0
534,EPISODE_ACCOUNT_RISK_BUDGET,203
536,ACCOUNT_VOLATILITY_EXPOSURE,202
537,BUY_HOLD,0
538,EPISODE_ACCOUNT_RISK_BUDGET,203
541,K2_MONTH_EDGE,1
542,ACCOUNT_VOLATILITY_EXPOSURE,202
543,BUY_HOLD,0
545,IDLE_MONTH_EDGE_OPPORTUNITY,216
546,ACCOUNT_VOLATILITY_EXPOSURE,202
547,BUY_HOLD,0
548,ENTRY_VINTAGE_EXIT,141
550,ACCOUNT_VOLATILITY_EXPOSURE,202
551,BUY_HOLD,0
553,EPISODE_ACCOUNT_RISK_BUDGET,203
556,ACCOUNT_VOLATILITY_EXPOSURE,202
557,BUY_HOLD,0
558,EITHER_CONFIRMED_RUNS_AUXILIARY,193
559,ACCOUNT_VOLATILITY_EXPOSURE,202
560,BUY_HOLD,0
563,R2_Z_CONFIRM,22
