period,cost,phase,rows,negative_days,positive_days,net_pnl,price_pnl,dividend,costs,negative_pnl,positive_pnl
evaluation,BASE,入场首日,43,20,23,8683.071479999664,12836.50000000008,0.0,4153.428520000094,-18829.78930000012,27512.860779999784
evaluation,BASE,第2至5日,168,75,92,133096.97630000013,135140.7,0.0,2043.7236999999586,-69430.46497999958,202527.4412799997
evaluation,BASE,第6至10日,174,87,84,16029.831200000452,18613.19999999998,97.5,2680.8687999998383,-69871.61397999988,85901.44518000033
evaluation,BASE,第11日以后,272,142,128,28902.576279999834,20542.399999999965,13553.5,5193.323719999936,-139312.10968000023,168214.68596000006
evaluation,BASE,空仓及应收结算,947,0,0,0.0,0.0,0.0,0.0,0.0,0.0
evaluation,STRESS,入场首日,43,20,23,5246.582439999969,12600.100000000079,0.0,7353.517560000109,-19525.62767999989,24772.210119999858
evaluation,STRESS,第2至5日,168,75,92,128719.24648000003,132347.40000000002,0.0,3628.1535200000394,-68471.23924000002,197190.48572000006
evaluation,STRESS,第6至10日,174,85,86,13849.960960000084,18375.39999999998,97.5,4622.939039999937,-69656.01188000015,83505.97284000024
evaluation,STRESS,第11日以后,272,145,125,24329.509560000006,20305.999999999964,13273.9,9250.390439999946,-139995.9863200003,164325.4958800003
evaluation,STRESS,空仓及应收结算,947,0,0,0.0,0.0,0.0,0.0,0.0,0.0
earlier_diagnostic,BASE,入场首日,24,13,11,10014.919599999848,12787.599999999999,0.0,2772.680400000101,-4584.558860000136,14599.478459999984
earlier_diagnostic,BASE,第2至5日,90,42,45,11680.840060000046,12620.100000000053,0.0,939.2599400000222,-57733.48562000014,69414.32568000018
earlier_diagnostic,BASE,第6至10日,95,46,46,24565.19379999989,22790.599999999868,2471.0,696.406199999931,-48357.85080000013,72923.04460000002
earlier_diagnostic,BASE,第11日以后,338,150,186,88939.0453200003,90992.90000000008,1214.5000000000002,3268.354680000025,-212613.76739999978,301552.81272000005
earlier_diagnostic,BASE,空仓及应收结算,672,0,0,0.0,0.0,0.0,0.0,0.0,0.0
earlier_diagnostic,STRESS,入场首日,24,13,11,7613.237280000001,12882.999999999998,0.0,5269.762720000015,-5754.036560000037,13367.273840000038
earlier_diagnostic,STRESS,第2至5日,90,42,45,10950.309039999993,12615.800000000048,0.0,1665.4909599999903,-57103.56572000004,68053.87476000004
earlier_diagnostic,STRESS,第6至10日,95,46,46,22931.281519999902,21725.599999999882,2438.8,1233.118479999995,-47964.913920000196,70896.1954400001
earlier_diagnostic,STRESS,第11日以后,344,153,189,95499.06600000002,100411.40000000008,1218.0000000000002,6130.333999999975,-216234.3557200001,311733.4217200001
earlier_diagnostic,STRESS,空仓及应收结算,666,0,0,0.0,0.0,0.0,0.0,0.0,0.0
