period,cost,date,own_cycle,own_entry_date,own_shares,single_entry_so_far,pure_learned_at_entry,reference_learning_status,status,own_prediction,reference_prediction,sign_disagreement,confirmed_exit_disagreement,own_log_holding_days,own_cycle_return,own_cycle_drawdown,own_entry_mode,own_mom5,own_mom20,own_sma120,own_vol20,own_negative_count,reference_negative_count,prediction_difference,entry_age_difference,return_input_difference,drawdown_input_difference
evaluation,BASE,2020-02-05,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.005719816487448608,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-06,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.005148054572524014,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-07,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.016740230123023173,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-10,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.05102766175568929,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-11,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.037633513477146,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-12,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.035263470595416214,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-13,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.01971142949280985,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-14,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.023555114889319974,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-17,1,2020-02-05,52800,True,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.026000951376583977,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-18,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.02122471200301909,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-19,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.015980943045507318,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-20,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.020816778675284923,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-21,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.017526508141620538,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-24,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.005294276744436537,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-25,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.008260705553494051,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-26,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,0.001181635235215848,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-27,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,-0.008202097604523256,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-02-28,1,2020-02-05,4900,False,False,PREDICTION_AVAILABLE,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,-0.027561035829298582,False,False,,,,,,,,,,,,,,
evaluation,BASE,2020-08-19,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.04720993231685713,0.04633675419296319,False,False,0.6931471805599453,-0.025609756097561,-0.025609756097561,1.0,0.019377185894314676,0.00041727519904429314,0.15726519453714793,0.24239528660308174,0.0,0.0,0.000873178123893939,0.0,-0.009807167128701777,-0.009807167128701777
evaluation,BASE,2020-08-20,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0383673772459491,0.03750348825103273,False,False,1.0986122886681098,-0.03597560975609759,-0.03597560975609759,1.0,0.011877127954875544,-0.00483753178110569,0.1434058693066762,0.2445871947734513,0.0,0.0,0.0008638889949163717,0.0,-0.009702835563503043,-0.009702835563503043
evaluation,BASE,2020-08-21,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.02961898236017159,0.028747807773900257,False,False,1.3862943611198906,-0.02784552845528454,-0.02784552845528454,1.0,0.0010459157945421384,0.04906199705661202,0.15140183916162475,0.18414854185117052,0.0,0.0,0.0008711745862713324,0.0,-0.009784664242090346,-0.009784664242090346
evaluation,BASE,2020-08-24,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.020430856598728085,0.01955421781894052,False,False,1.6094379124341003,-0.02174796747967489,-0.02174796747967489,1.0,-0.013209686406943151,0.04918500628966871,0.15658191954630651,0.1841800861356856,0.0,0.0,0.0008766387797875669,0.0,-0.009846035751030935,-0.009846035751030935
evaluation,BASE,2020-08-25,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0194762874226549,0.018598009384812465,False,False,1.791759469228055,-0.01991869918699185,-0.01991869918699185,1.0,-0.009905157335518888,0.04344363623412773,0.15701620030633046,0.18323216669986336,0.0,0.0,0.0008782780378424337,0.0,-0.009864447203713045,-0.009864447203713045
evaluation,BASE,2020-08-26,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.03012012429448415,0.029252592503890312,False,False,1.9459101490553132,-0.03191056910569101,-0.03191056910569101,1.0,-0.006487414193469061,0.0029436522517387563,0.14128481401905768,0.1622898919550476,0.0,0.0,0.0008675317905938382,0.0,-0.009743749902796583,-0.009743749902796583
evaluation,BASE,2020-08-27,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.030777598141927563,0.029903509319114237,False,False,2.0794415416798357,-0.024593495934959297,-0.024593495934959297,1.0,0.011737715980664032,0.017870758362169344,0.1483127650792324,0.16172917100712872,0.0,0.0,0.0008740888228133264,0.0,-0.009817395713525356,-0.009817395713525356
evaluation,BASE,2020-08-28,2,2020-08-19,100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.026432877184991196,0.027322001513469883,False,False,2.1972245773362196,-0.0006097560975609762,-0.0006097560975609762,1.0,0.027630623731642545,0.03455397038325276,0.17486828429088574,0.18034125938561651,0.0,0.0,-0.0008891243284786868,0.0,-0.01005879031535828,-0.0006097560975609762
