pair,origin,reason
REPO_ALL_VS_PRICE,2020-02-03,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2020-10-09,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2021-02-18,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2021-10-08,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2022-02-07,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2024-10-08,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2025-02-05,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2025-10-09,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-02-24,ORIGINAL_FORECAST_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-17,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-20,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-21,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-22,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-23,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-24,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-27,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-28,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-29,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-30,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
REPO_ALL_VS_PRICE,2026-07-31,LABEL_NOT_MATURE_OR_ORIGINAL_INPUT_UNAVAILABLE
