date,history_available,reference_year_net_return,positive_history
2012-05-28,False,,False
2012-05-29,False,,False
2012-05-30,False,,False
2012-05-31,False,,False
2012-06-01,False,,False
2012-06-04,False,,False
2012-06-05,False,,False
2012-06-06,False,,False
2012-06-07,False,,False
2012-06-08,False,,False
2012-06-11,False,,False
2012-06-12,False,,False
2012-06-13,False,,False
2012-06-14,False,,False
2012-06-15,False,,False
2012-06-18,False,,False
2012-06-19,False,,False
2012-06-20,False,,False
2012-06-21,False,,False
2012-06-25,False,,False
2012-06-26,False,,False
2012-06-27,False,,False
2012-06-28,False,,False
2012-06-29,False,,False
2012-07-02,False,,False
2012-07-03,False,,False
2012-07-04,False,,False
2012-07-05,False,,False
2012-07-06,False,,False
2012-07-09,False,,False
2012-07-10,False,,False
2012-07-11,False,,False
2012-07-12,False,,False
2012-07-13,False,,False
2012-07-16,False,,False
2012-07-17,False,,False
2012-07-18,False,,False
2012-07-19,False,,False
2012-07-20,False,,False
2012-07-23,False,,False
2012-07-24,False,,False
2012-07-25,False,,False
2012-07-26,False,,False
2012-07-27,False,,False
2012-07-30,False,,False
2012-07-31,False,,False
2012-08-01,False,,False
2012-08-02,False,,False
2012-08-03,False,,False
2012-08-06,False,,False
2012-08-07,False,,False
2012-08-08,False,,False
2012-08-09,False,,False
2012-08-10,False,,False
2012-08-13,False,,False
2012-08-14,False,,False
2012-08-15,False,,False
2012-08-16,False,,False
2012-08-17,False,,False
2012-08-20,False,,False
2012-08-21,False,,False
2012-08-22,False,,False
2012-08-23,False,,False
2012-08-24,False,,False
2012-08-27,False,,False
2012-08-28,False,,False
2012-08-29,False,,False
2012-08-30,False,,False
2012-08-31,False,,False
2012-09-03,False,,False
2012-09-04,False,,False
2012-09-05,False,,False
2012-09-06,False,,False
2012-09-07,False,,False
2012-09-10,False,,False
2012-09-11,False,,False
2012-09-12,False,,False
2012-09-13,False,,False
2012-09-14,False,,False
2012-09-17,False,,False
2012-09-18,False,,False
2012-09-19,False,,False
2012-09-20,False,,False
2012-09-21,False,,False
2012-09-24,False,,False
2012-09-25,False,,False
2012-09-26,False,,False
2012-09-27,False,,False
2012-09-28,False,,False
2012-10-08,False,,False
2012-10-09,False,,False
2012-10-10,False,,False
2012-10-11,False,,False
2012-10-12,False,,False
2012-10-15,False,,False
2012-10-16,False,,False
2012-10-17,False,,False
2012-10-18,False,,False
2012-10-19,False,,False
2012-10-22,False,,False
2012-10-23,False,,False
2012-10-24,False,,False
2012-10-25,False,,False
2012-10-26,False,,False
2012-10-29,False,,False
2012-10-30,False,,False
2012-10-31,False,,False
2012-11-01,False,,False
2012-11-02,False,,False
2012-11-05,False,,False
2012-11-06,False,,False
2012-11-07,False,,False
2012-11-08,False,,False
2012-11-09,False,,False
2012-11-12,False,,False
2012-11-13,False,,False
2012-11-14,False,,False
2012-11-15,False,,False
2012-11-16,False,,False
2012-11-19,False,,False
2012-11-20,False,,False
2012-11-21,False,,False
2012-11-22,False,,False
2012-11-23,False,,False
2012-11-26,False,,False
2012-11-27,False,,False
2012-11-28,False,,False
2012-11-29,False,,False
2012-11-30,False,,False
2012-12-03,False,,False
2012-12-04,False,,False
2012-12-05,False,,False
2012-12-06,False,,False
2012-12-07,False,,False
2012-12-10,False,,False
2012-12-11,False,,False
2012-12-12,False,,False
2012-12-13,False,,False
2012-12-14,False,,False
2012-12-17,False,,False
2012-12-18,False,,False
2012-12-19,False,,False
2012-12-20,False,,False
2012-12-21,False,,False
2012-12-24,False,,False
2012-12-25,False,,False
2012-12-26,False,,False
2012-12-27,False,,False
2012-12-28,False,,False
2012-12-31,False,,False
2013-01-04,False,,False
2013-01-07,False,,False
2013-01-08,False,,False
2013-01-09,False,,False
2013-01-10,False,,False
2013-01-11,False,,False
2013-01-14,False,,False
